flow,amount,categories,unit
Aluminium,175.09307553158803,"('water', 'ground-, long-term')",kilogram
"Iron, ion",6.647029070766325,"('water', 'ground-, long-term')",kilogram
Aluminium,3.8528695530789854,"('air',)",kilogram
Aluminium,1.1224453515986892,"('air', 'low population density, long-term')",kilogram
Molybdenum,0.7922926835442335,"('water', 'ground-, long-term')",kilogram
Aluminium,0.647092345611783,"('water', 'surface water')",kilogram
"Iron, ion",0.6390476131918277,"('water', 'ground-')",kilogram
"Nickel, ion",0.373657917097117,"('water', 'ground-, long-term')",kilogram
"Copper, ion",0.33253445092224576,"('water', 'ground-, long-term')",kilogram
Molybdenum,0.32907944703624703,"('water', 'surface water')",kilogram
Aluminium,0.2423950410595152,"('soil', 'agricultural')",kilogram
Aluminium,0.18161228492554315,"('soil', 'industrial')",kilogram
"Silver, ion",0.14368775172337012,"('water', 'ground-, long-term')",kilogram
Molybdenum,0.12458245416972995,"('water', 'ground-')",kilogram
"Silver, ion",0.09375963623743734,"('water',)",kilogram
Iron,0.09259234105073302,"('air', 'low population density, long-term')",kilogram
Aluminium,0.07659425972120222,"('water', 'ground-')",kilogram
Aluminium,0.0610705581071122,"('air', 'urban air close to ground')",kilogram
Manganese,0.0458056428423481,"('water', 'ground-, long-term')",kilogram
Iron,0.04056486539867138,"('soil',)",kilogram
Aluminium,0.037872514203631906,"('water', 'ocean')",kilogram
Iron,0.0275539013064389,"('soil', 'industrial')",kilogram
"Iron, ion",0.022628295545335297,"('water', 'surface water')",kilogram
"Zinc, ion",0.021291201431766296,"('water', 'ground-, long-term')",kilogram
Iron,0.02069398120297099,"('soil', 'agricultural')",kilogram
Aluminium,0.01663430764733646,"('water',)",kilogram
"Silver, ion",0.011310576257084131,"('water', 'surface water')",kilogram
Silver,0.008529594004548832,"('air', 'low population density, long-term')",kilogram
Molybdenum,0.008265984214988526,"('air', 'low population density, long-term')",kilogram
"Iron, ion",0.006609100554707556,"('water',)",kilogram
"Silver, ion",0.005381908486255487,"('water', 'ground-')",kilogram
Chromium VI,0.004554740943738978,"('water', 'ground-, long-term')",kilogram
Molybdenum,0.003977492253522021,"('air', 'urban air close to ground')",kilogram
Nickel,0.003388534244945752,"('air', 'urban air close to ground')",kilogram
Iron,0.0029164738587921383,"('air', 'urban air close to ground')",kilogram
Molybdenum,0.002893609856554573,"('air',)",kilogram
Molybdenum,0.0027847063595944493,"('air', 'non-urban air or from high stacks')",kilogram
Uranium,0.0023020444146647882,"('air', 'urban air close to ground')",kilogram
Nickel,0.0017332717421591384,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.001494374795774832,"('air', 'non-urban air or from high stacks')",kilogram
Iron,0.001299706506924955,"('air',)",kilogram
"Nickel, ion",0.001167089580421745,"('water', 'ground-')",kilogram
Copper,0.001013518116578581,"('air', 'low population density, long-term')",kilogram
Lead,0.0007754833606121485,"('water', 'ground-, long-term')",kilogram
Copper,0.0007226378404107819,"('air', 'urban air close to ground')",kilogram
Chromium,0.0005945389396297727,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,0.0005136799174109337,"('water', 'surface water')",kilogram
"Nickel, ion",0.0005096280008234932,"('water', 'surface water')",kilogram
Copper,0.00041497604737365595,"('air',)",kilogram
Manganese,0.000396796777814875,"('water', 'ground-')",kilogram
"Silver, ion",0.00038341098951756873,"('water', 'ocean')",kilogram
Manganese,0.00036628498762703173,"('soil', 'agricultural')",kilogram
Aluminium,0.0002621897476483473,"('air', 'non-urban air or from high stacks')",kilogram
"Zinc, ion",0.00023975394441929038,"('water', 'ocean')",kilogram
Nickel,0.00021488288130120842,"('air', 'low population density, long-term')",kilogram
Copper,0.00020382046905681445,"('soil', 'agricultural')",kilogram
"Copper, ion",0.00020030325819007683,"('water', 'surface water')",kilogram
Molybdenum,0.00018323023169686722,"('soil', 'agricultural')",kilogram
Zinc,0.00017629794817974897,"('air', 'non-urban air or from high stacks')",kilogram
"Iron, ion",0.00013070684136715094,"('water', 'ocean')",kilogram
Aluminium,0.0001270428415974856,"('soil',)",kilogram
Lead,0.0001254578821869062,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",0.00012290330670108038,"('water',)",kilogram
"Copper, ion",0.00011299355147800071,"('water', 'ground-')",kilogram
"Zinc, ion",0.0001089281409109337,"('water', 'surface water')",kilogram
Lead,0.00010460198420286977,"('water', 'surface water')",kilogram
Molybdenum,9.624340748329439e-05,"('water', 'ocean')",kilogram
Manganese,9.557063711485556e-05,"('water', 'surface water')",kilogram
Zinc,9.4002494488613e-05,"('air', 'urban air close to ground')",kilogram
Zinc,8.83580164252223e-05,"('soil', 'agricultural')",kilogram
Molybdenum,8.568978814810838e-05,"('water',)",kilogram
"Copper, ion",8.465833509397987e-05,"('water',)",kilogram
"Zinc, ion",6.925708051861247e-05,"('water', 'ground-')",kilogram
Nickel,6.76861269027106e-05,"('soil', 'agricultural')",kilogram
"Tin, ion",5.793949542451711e-05,"('water', 'ground-, long-term')",kilogram
Chromium VI,5.1380772521899945e-05,"('water', 'ground-')",kilogram
