flow,amount,categories,unit
"Iron, 46% in ore, 25% in crude ore, in ground",3.3037482051296376e-08,"('natural resource', 'in ground')",kilogram
"Clay, unspecified, in ground",3.0971572477916e-08,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",2.767052812792695e-08,"('natural resource', 'in ground')",kilogram
"Aluminium, in ground",2.0953567943239685e-08,"('natural resource', 'in ground')",kilogram
"Uranium, in ground",1.9750080021257024e-08,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",5.869410792410934e-09,"('natural resource', 'in ground')",kilogram
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",3.1150073928479044e-09,"('natural resource', 'in ground')",kilogram
"Clay, bentonite, in ground",2.161306891888952e-09,"('natural resource', 'in ground')",kilogram
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",8.769779112190845e-10,"('natural resource', 'in ground')",kilogram
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",5.32647651948023e-10,"('natural resource', 'in ground')",kilogram
"Zinc, Zn 0.63%, in mixed ore, in ground",1.780210145613854e-10,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",1.6238032277452742e-10,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",1.5159992836312858e-10,"('natural resource', 'in ground')",kilogram
"Lead, Pb 0.014%, in mixed ore, in ground",1.502393598930366e-10,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",1.407618507667756e-10,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",1.4031221090417813e-10,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",1.2910139745575206e-10,"('natural resource', 'in ground')",kilogram
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",1.1767131434542242e-10,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",1.0717936212199428e-10,"('natural resource', 'in ground')",kilogram
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",9.195148708520754e-11,"('natural resource', 'in ground')",kilogram
"Phosphorus, 18% in apatite, 4% in crude ore, in ground",9.042636701959717e-11,"('natural resource', 'in ground')",kilogram
