name,k(x=xm),MW
Aluminium - Bauxite (Gibbsite),520.3155405,78
Antimony (Stibnite),39.75287543,339.71
Arsenic (Arsenopyrite),62.69419822,162.83
Barite,94.68540327,233.39
Beryllium (Beryl),25.61867837,537.5
Bismuth (Bismuthinite),93.86237551,514.16
Cadmium (Greenockite),3609.453801,144.476
Cerium (Monazite),2257.017944,240.21
Chromium (Chromite),17.54222581,223.83
Cobalt (Linnaeite),-,305.057
Copper (Chalcopyrite),207.7129459,183.5195657
Fluorite,24.85293379,78.07
Gadolinium-Monazite,245.3785591,221.25
Gallium (in Bauxite),25473798.87,69.72
Germanium (in Zinc),21665.66574,72.64
Gold,2181572.698,196.966
Graphite,2.336392483,12
Gypsum,34.61280602,172.18
Hafnium,,183.31
Indium (in Zinc),228308.7134,114.82
Iron ore (Hematite),78.30670671,159.688209
Lanthanum-Monazite,733.5211329,239.9
Lead (Galena),20.72856175,239.281
Lime,9.182250192,100.0869733
Lithium (Spodumene),88.46176571,186.089
Magnesite (from ocean),206.1864834,84.3139
Manganese (Pyrolusite),8.337160562,86.936
Mercury (Cinnabar),2153.921376,232.663528
Molybdenum (Molybdenite),659.6547744,161.84
Neodymium-Monazite,1068.137229,240.72
Nickel (sulphides) Pentlandite,585.0201265,771.94
Nickel (laterites) Garnierite,135.7085443,345.88
Niobium (ferrocolumbite),2689.403215,337.65
Palladium,526087.9722,186.91
Phosphate rock (Apatite),29.40242152,503.67
PGM (average value for all PGM),578627.5603,186.91
Platinum,964379.2672,186.91
Potassium (Sylvite),24.59063769,74.55
Praseodymium-Monazite,148.1529573,239.9
REE (Bastnaesite),213,218.5
Rhenium,1337.473088,186.207
Selenium,,
Silicon (Quartz),9.393278723,60
Silver (Argentite),8813.131452,247.796
Sodium (Halite),5.69773932,58.44
Strontium,10.10083058,183.68
Tantalum (Tantalite),111449.2299,441.89
Tellurium-Tetradymite,4289814.522,705
Thallium,42883.17121,204.38
Tin (Cassiterite),133.0227037,150.71
Titanium (Ilmenite),104.7905347,151.71
Titanium (Rutile),67.09480568,79.877
Uranium (Uraninite),3697.155685,270.02
Vanadium,632.4790282,50.942
Wolfram (Scheelite),3033.287549,287.92
Yttrium-Monazite,26.86192552,240.21
Zinc (Sphalerite),12.96323574,97.44
Zirconium (Zircon),4537.964065,183.31
