name,k(x=xm),MW,xm[kg/kg](mineral),xm[kg/kg](metal),ERC[MJ/kg],E_tot[MJ/kg],xr[kg/kg](mineral)
Aluminium-Bauxite (Gibbsite),5.20E+02,7.80E+01,7.03E-01,2.43E-01,6.27E+02,30.5,0.95
Antimony-Stibnite,3.98E+01,3.40E+02,5.27E-02,3.78E-02,4.74E+02,1.4,0.9
Arsenic-Arsenopyrite,6.27E+01,1.63E+02,2.17E-02,9.98E-03,4.00E+02,9,0.9
Barium-Barite,9.47E+01,2.33E+02,9.50E-01,5.59E-01,3.80E+01,0.94955,0.9
Beryllium-Beryl,2.56E+01,5.38E+02,7.80E-02,3.92E-03,2.53E+02,7.2,0.9
Bismuth-Bismuthinite,9.39E+01,5.14E+02,2.46E-03,2.00E-03,4.89E+02,3.6,0.9
Cadmium-Greenockite,3.61E+03,1.44E+02,1.28E-04,9.96E-05,5.90E+03,263.916,0.003855743772973807
Cerium-Monazite,2.26E+03,2.40E+02,3.00E-04,1.14E-04,9.70E+01,523.05,0.9
Chromium-Chromite,1.75E+01,2.24E+02,6.37E-01,2.96E-01,5.00E+00,0.08,0.81
Cobalt-Linnaeite,-,3.05E+02,1.90E-03,1.1E-03,1.09E+04,9.20,0.04559869393808753
Copper-Chalcopyrite,2.08E+02,1.84E+02,1.67E-02,5.80E-03,2.92E+02,35.31,0.8086409056778144
Fluor-Fluorite,2.49E+01,7.81E+01,2.50E-01,2.50E-01,1.83E+02,1.45,0.9
Gadolinium-Monazite,2.45E+02,2.21E+02,3.00E-04,1.95E-06,4.78E+02,3607.25,0.9
Gallium (in Bauxite),2.55E+07,6.97E+01,5.00E-05,5.00E-05,1.45E+05,610000,0.9
Germanium (in Zinc),2.17E+04,7.26E+01,3.00E-03,3.00E-03,2.37E+04,497.955,0.9
Gold,2.18E+06,1.97E+02,2.24E-06,2.24E-06,5.53E+05,110057.00,0.000138
Graphite,2.34E+00,1.20E+01,1.50E-01,1.50E-01,2.00E+01,1.12,0.87
Calcium-Gypsum,3.46E+01,1.72E+02,8.00E-01,8.00E-01,1.50E+01,0.202,0.95
Hafnium-Zircon,,1.83E+02,4.02E-03,2.00E-03,2.18E+04,738.5,0.9
Indium (in Zinc),2.28E+05,1.15E+02,4.50E-04,4.50E-04,3.61E+05,3319.697,0.9
Iron-Hematite,7.83E+01,1.60E+02,7.30E-01,7.30E-01,1.80E+01,0.69942,0.95
Lanthanum-Monazite,7.34E+02,2.40E+02,3.00E-04,6.53E-05,3.90E+01,296.75,0.9
Lead-Galena,2.07E+01,2.39E+02,2.37E-02,2.05E-02,3.70E+01,0.8925,0.635111259945265
Calcium-Limestone,9.18E+00,1.00E+02,6.00E-01,3.36E-01,3.00E+00,0.360714,0.95
Lithium-Spodumene,8.85E+01,1.86E+02,8.04E-01,3.00E-02,5.46E+02,12.5,0.95
Magnesium-Magnesite,2.06E+02,8.43E+01,4.20E-01,4.20E-01,1.36E+02,9.53,0.9995
Manganese-Pyrolusite,8.34E+00,8.69E+01,5.00E-01,3.16E-01,1.60E+01,0.162064,0.6709603911825677
Mercury-Cinnabar,2.15E+03,2.33E+02,4.41E-03,3.80E-03,2.83E+04,157,0.9
Molybdenum-Molybdenite,6.60E+02,1.62E+02,5.01E-04,3.00E-04,9.08E+02,136.00,0.9176761103880937
Neodymium-Monazite,1.07E+03,2.41E+02,3.00E-04,4.75E-05,7.80E+01,591.7,0.9
Nickel-Pentlandite(sulphides),5.85E+02,7.72E+02,3.36E-02,1.15E-02,7.61E+02,15.50,0.4678362573099415
Nickel-Garnierite(laterites),1.36E+02,3.46E+02,4.42E-02,1.5E-02,1.67E+02,1.72,0.08036281130544029
Niobium-Ferrocolumbite,2.69E+03,3.38E+02,2.00E-02,1.1E-02,4.42E+03,132,0.6
Palladium,5.26E+05,1.87E+02,8.02E-07,1.37E-07,8.98E+06,583333.333,0.9
Phosphorus-Apatite,2.94E+01,5.04E+02,5.97E-03,1.69E-02,3.50E-01,0.286968,0.9
PGM (average value for all PGM),5.79E+05,1.87E+02,8.02E-07,5.02E-07,2.70E+06,175000,0.9
Platinum,9.64E+05,1.87E+02,8.02E-07,5.02E-07,4.49E+06,291666.667,0.9
Potassium-Sylvite,2.46E+01,7.46E+01,3.99E-01,2.5E-01,6.65E+02,1.668,0.9
Praseodymium-Monazite,1.48E+02,2.40E+02,3.00E-04,1.32E-05,5.77E+02,296.275,0.9
REE-Bastnaesite,2.13E+02,2.19E+02,6.00E-02,4.56E-02,3.48E+02,10.2,0.855
Rhenium,1.34E+03,1.86E+02,2.33E-04,2.33E-04,1.03E+05,156,0.9
Selenium,,,,,2.24E+06,589366.053,
Silicon-Quartz,9.39E+00,6.00E+01,6.50E-01,3.06E-01,1.00E+00,0.72,0.98
Silver-Argentite,8.81E+03,2.48E+02,4.27E-06,3.72E-06,7.37E+03,1281.42,0.9
Sodium-Halite,5.70E+00,5.84E+01,2.00E-01,7.87E-02,1.70E+01,1.28,0.9
Strontium,1.01E+01,1.84E+02,4.00E-01,1.88E-01,4.20E+00,0.192025,0.92
Tantalum-Tantalite,1.11E+05,4.42E+02,7.44E-03,6.09E-03,4.83E+05,3082.828,0.38
Tellurium-Tetradymite,4.29E+06,7.05E+02,1.00E-06,3.60E-07,2.24E+06,589366.053,0.9
Thallium,4.29E+04,2.04E+02,5.00E-04,5.00E-04,4.35E+04,4337.309,0.995
Tin-Cassiterite,1.33E+02,1.51E+02,6.09E-03,4.80E-03,4.26E+02,15.233636,0.8632947389802966
Titanium-Ilmenite,1.05E+02,1.52E+02,2.42E-02,2.42E-02,5.00E+00,7.245,0.9
Titanium-Rutile,6.71E+01,7.99E+01,2.10E-03,2.10E-03,9.00E+00,13.7862,0.9
Uranium-Uraninite,3.70E+03,2.70E+02,3.18E-03,3.33E-03,9.01E+02,1.89E+02,0.75
Vanadium,6.32E+02,5.09E+01,2.00E-02,2.00E-02,1.06E+03,136,0.9
Tungsten-Wolfram,3.03E+03,2.88E+02,8.94E-03,5.71E-03,7.43E+03,213,0.9
Yttrium-Monazite,2.69E+01,2.40E+02,3.00E-04,5.91E-07,1.59E+02,1198.25,0.9
Zinc-Sphalerite,1.30E+01,9.74E+01,6.05E-02,4.06E-02,2.50E+01,1.493864,0.789865871833085
Zirconium-Zircon,4.54E+03,1.83E+02,4.02E-03,2.00E-03,6.54E+02,738.5,0.9
