name,k(x=xm),MW,xm[g/g]
Aluminium - Bauxite (Gibbsite),520.3155405,78,7.03E-01
Antimony (Stibnite),39.75287543,339.71,5.27E-02
Arsenic (Arsenopyrite),62.69419822,162.83,2.17E-02
Barite,94.68540327,233.39,9.50E-01
Beryllium (Beryl),25.61867837,537.5,7.80E-02
Bismuth (Bismuthinite),93.86237551,514.16,2.46E-03
Cadmium (Greenockite),3609.453801,144.476,1.28E-04
Cerium (Monazite),2257.017944,240.21,3.00E-04
Chromium (Chromite),17.54222581,223.83,6.37E-01
Cobalt (Linnaeite),-,305.057,1.90E-03
Copper (Chalcopyrite),207.7129459,183.5195657,1.67E-02
Fluorite,24.85293379,78.07,2.50E-01
Gadolinium-Monazite,245.3785591,221.25,3.00E-04
Gallium (in Bauxite),25473798.87,69.72,5.00E-05
Germanium (in Zinc),21665.66574,72.64,3.00E-03
Gold,2181572.698,196.966,2.24E-06
Graphite,2.336392483,12,1.50E-01
Gypsum,34.61280602,172.18,8.00E-01
Hafnium,,183.31,
Indium (in Zinc),228308.7134,114.82,4.50E-04
Iron ore (Hematite),78.30670671,159.688209,7.30E-01
Lanthanum-Monazite,733.5211329,239.9,3.00E-04
Lead (Galena),20.72856175,239.281,2.37E-02
Lime,9.182250192,100.0869733,6.00E-01
Lithium (Spodumene),88.46176571,186.089,8.04E-01
Magnesite (from ocean),206.1864834,84.3139,4.20E-01
Manganese (Pyrolusite),8.337160562,86.936,5.00E-01
Mercury (Cinnabar),2153.921376,232.663528,4.41E-03
Molybdenum (Molybdenite),659.6547744,161.84,5.01E-04
Neodymium-Monazite,1068.137229,240.72,3.00E-04
Nickel (sulphides) Pentlandite,585.0201265,771.94,3.36E-02
Nickel (laterites) Garnierite,135.7085443,345.88,4.42E-02
Niobium (ferrocolumbite),2689.403215,337.65,2.00E-02
Palladium,526087.9722,186.91,8.02E-07
Phosphate rock (Apatite),29.40242152,503.67,5.97E-03
PGM (average value for all PGM),578627.5603,186.91,8.02E-07
Platinum,964379.2672,186.91,8.02E-07
Potassium (Sylvite),24.59063769,74.55,3.99E-01
Praseodymium-Monazite,148.1529573,239.9,3.00E-04
REE (Bastnaesite),213,218.5,6.00E-02
Rhenium,1337.473088,186.207,2.33E-04
Selenium,,,
Silicon (Quartz),9.393278723,60,6.50E-01
Silver (Argentite),8813.131452,247.796,4.27E-06
Sodium (Halite),5.69773932,58.44,2.00E-01
Strontium,10.10083058,183.68,4.00E-01
Tantalum (Tantalite),111449.2299,441.89,7.44E-03
Tellurium-Tetradymite,4289814.522,705,1.00E-06
Thallium,42883.17121,204.38,5.00E-04
Tin (Cassiterite),133.0227037,150.71,6.09E-03
Titanium (Ilmenite),104.7905347,151.71,2.42E-02
Titanium (Rutile),67.09480568,79.877,2.10E-03
Uranium (Uraninite),3697.155685,270.02,3.18E-03
Vanadium,632.4790282,50.942,2.00E-02
Wolfram (Scheelite),3033.287549,287.92,8.94E-03
Yttrium-Monazite,26.86192552,240.21,3.00E-04
Zinc (Sphalerite),12.96323574,97.44,6.05E-02
Zirconium (Zircon),4537.964065,183.31,4.02E-03
