Metal,Symbol,alpha,beta,URR,A,Rr,CME,xi
Aluminium,Al,-1.35,0.1,13400000000000000,10500000000000,14800000000000,1040000000000,0.6678919739165617
Antimony,Sb,-2.06,0.42,66100000000,2870000,1800000000,6790000000,0.3167245955081107
Chromium,Cr,-1.15,0.12,15200000000000,6080000000,148000000000,206000000000,0.5296724447610553
Cobalt,Co,-4.86,0.17,2860000000000,16200000000,7200000000,2280000000,0.02606172984476733
Copper,Cu,-3.61,0.17,4360000000000,2150000000000,690000000000,592000000000,0.03705451064441092
Gold,Au,-11.9,0.2,72000000,64700000,54000000,144000000,
Iron,Fe,-0.57,0.13,6460000000000000,55200000000000,81000000000000,34100000000000,1.1174432879201284
Lead,Pb,-2.61,0.21,2810000000000,571000000000,89000000000,235000000000,0.12157110668041766
Lithium,Li,-4.95,0.11,3470000000000,715000000,13000000000,9810000000,0.013503915692324174
Manganese,Mn,-1.19,0.08,127000000000000,1250000000000,570000000000,580000000000,0.4680158808494906
Molybdenum,Mo,-6.43,0.27,182000000000,56900000000,11000000000,6620000000,0.0039059748442546328
Nickel,Ni,-4.26,0.16,7760000000000,173000000000,74000000000,55300000000,0.031113609980710624
Niobium,Nb,-4.39,0.27,480000000000,8520000000,4300000000,1070000000,0.06444467766319051
Phosphorus,P,-2.14,0.1,19000000000000,14200000000000,2180000000000,978000000000,0.15745491499042788
Silver,Ag,-8.08,0.26,20000000000,1210000000,520000000,1130000000,0.000643873994917794
Tin,Sn,-4.95,0.21,220000000000,1930000000,4700000000,20000000000,0.01148794412485913
Uranium,U,-5.54,0.5,430000000000,456000000,2520000000,2710000000,0.04930435586196103
Zinc,Zn,-1.62,0.15,11100000000000,986000000000,250000000000,458000000000,0.3172244154676301
