flow,amount,categories,unit
"Carbon dioxide, fossil",1995376031110.0745,"('air', 'non-urban air or from high stacks')",kilogram
Selenium,1425335700214.8196,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",847675585949.5276,"('water', 'ground-, long-term')",kilogram
Aluminium,554825136529.105,"('water', 'ground-, long-term')",kilogram
Magnesium,226818293980.1832,"('water', 'ground-, long-term')",kilogram
Selenium,146821579409.69916,"('water', 'surface water')",kilogram
Selenium,127203157630.92825,"('air', 'non-urban air or from high stacks')",kilogram
"Potassium, ion",51497113013.98356,"('water', 'surface water')",kilogram
Cobalt,36624935653.28279,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",29932539125.276257,"('water', 'ground-, long-term')",kilogram
"Methane, fossil",26409529941.665115,"('air', 'non-urban air or from high stacks')",kilogram
"Carbon dioxide, fossil",20242626014.753883,"('air', 'urban air close to ground')",kilogram
"Carbon dioxide, fossil",14574054296.354134,"('air',)",kilogram
Aluminium,13851466568.924114,"('air',)",kilogram
"Calcium, ion",8889185983.558603,"('water', 'ground-, long-term')",kilogram
Selenium,7606223595.370561,"('water', 'ground-')",kilogram
"Iron, ion",5895876892.272819,"('water', 'ground-, long-term')",kilogram
Silicon,5148929347.675455,"('water', 'ground-, long-term')",kilogram
"Vanadium, ion",4432023029.799254,"('water', 'ground-, long-term')",kilogram
"Carbon monoxide, fossil",2995040725.1951065,"('air', 'non-urban air or from high stacks')",kilogram
Magnesium,2829772477.5041437,"('water', 'ground-')",kilogram
Thallium,2655317058.8386335,"('water', 'ground-, long-term')",kilogram
"Nickel, ion",2606838108.1752872,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",2277497757.0365825,"('water', 'ground-')",kilogram
"Lithium, ion",2222651403.6472,"('water',)",kilogram
"Carbon dioxide, non-fossil",2185489630.478243,"('air', 'urban air close to ground')",kilogram
Manganese,2008148214.2399507,"('water', 'ground-, long-term')",kilogram
Tungsten,1597363634.888198,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",1451668070.8942866,"('water', 'surface water')",kilogram
Mercury,1243088148.8213618,"('water', 'ground-, long-term')",kilogram
"Copper, ion",861267536.9029096,"('water', 'ground-, long-term')",kilogram
Aluminium,796481885.3526094,"('water', 'surface water')",kilogram
"Cadmium, ion",780353671.3148057,"('water', 'ground-, long-term')",kilogram
Tungsten,716468572.2940913,"('water', 'surface water')",kilogram
Selenium,715312199.4114374,"('air', 'urban air close to ground')",kilogram
Molybdenum,701633239.9214375,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",657284142.4128039,"('water',)",kilogram
Platinum,575365712.0014625,"('air',)",kilogram
"Zinc, ion",481915402.8415655,"('water', 'ground-, long-term')",kilogram
"Titanium, ion",421608867.04251724,"('water', 'ground-, long-term')",kilogram
"Carbon dioxide, from soil or biomass stock",360702357.0756633,"('air', 'non-urban air or from high stacks')",kilogram
"Carbon monoxide, fossil",334983070.4712117,"('air',)",kilogram
Magnesium,323084657.4208027,"('water',)",kilogram
Scandium,315179451.9827389,"('water', 'ground-, long-term')",kilogram
Molybdenum,312611199.51844037,"('water', 'surface water')",kilogram
"Arsenic, ion",283297102.5918617,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",274042433.9555844,"('water', 'ocean')",kilogram
Mercury,268856177.96099776,"('air', 'non-urban air or from high stacks')",kilogram
"Arsenic, ion",268803473.11081684,"('water', 'surface water')",kilogram
Strontium,267921572.98648322,"('water', 'ground-, long-term')",kilogram
Barium,235682155.85769197,"('water', 'ground-, long-term')",kilogram
Aluminium,216369094.88974717,"('water', 'ground-')",kilogram
"Sodium, ion",208155287.0202902,"('water', 'ocean')",kilogram
"Sodium, ion",203120322.4321706,"('water', 'ground-')",kilogram
"Iron, ion",195332566.38246512,"('water', 'ground-')",kilogram
"Carbon dioxide, non-fossil",190280896.00253493,"('air', 'non-urban air or from high stacks')",kilogram
"Methane, fossil",186164249.92656118,"('air',)",kilogram
Magnesium,181962724.4125672,"('water', 'ocean')",kilogram
"DOC, Dissolved Organic Carbon",172187143.29304555,"('water', 'ground-, long-term')",kilogram
"Calcium, ion",154488404.14341632,"('water', 'ground-')",kilogram
Magnesium,143620757.66968238,"('water', 'surface water')",kilogram
