flow,amount,categories,unit
"Carbon dioxide, fossil",377415644443.0837,"('air', 'non-urban air or from high stacks')",kilogram
Selenium,250592874322.7697,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",136992971175.02805,"('water', 'ground-, long-term')",kilogram
Aluminium,84397227069.80948,"('water', 'ground-, long-term')",kilogram
"Carbon dioxide, fossil",68375365513.30432,"('air', 'urban air close to ground')",kilogram
Magnesium,39027967665.24293,"('water', 'ground-, long-term')",kilogram
Selenium,23117800335.78099,"('water', 'surface water')",kilogram
"Carbon dioxide, non-fossil",22644265334.75024,"('air', 'urban air close to ground')",kilogram
Selenium,11362046547.736462,"('air', 'non-urban air or from high stacks')",kilogram
"Potassium, ion",7195931710.776196,"('water', 'surface water')",kilogram
Cobalt,6880839441.652817,"('water', 'ground-, long-term')",kilogram
"Carbon dioxide, fossil",6389045468.61974,"('air',)",kilogram
Selenium,5280730674.462918,"('water', 'ground-')",kilogram
"Sodium, ion",4916251675.4322605,"('water', 'ground-, long-term')",kilogram
"Carbon dioxide, from soil or biomass stock",4553684891.869033,"('air', 'non-urban air or from high stacks')",kilogram
"Methane, fossil",3823838710.316053,"('air', 'non-urban air or from high stacks')",kilogram
Aluminium,1857135158.2827113,"('air',)",kilogram
"Carbon dioxide, non-fossil",1774991149.901531,"('air', 'non-urban air or from high stacks')",kilogram
"Calcium, ion",1689170960.5788302,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",1230092371.878765,"('water', 'surface water')",kilogram
"Iron, ion",1212505922.6379,"('water', 'ground-, long-term')",kilogram
Selenium,1160263234.7819164,"('air', 'urban air close to ground')",kilogram
Selenium,966439953.0926458,"('air', 'low population density, long-term')",kilogram
Silicon,802794920.0083529,"('water', 'ground-, long-term')",kilogram
"Copper, ion",700205380.0295383,"('water', 'ground-, long-term')",kilogram
"Vanadium, ion",695233351.4695336,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",687241386.6595767,"('water', 'ground-')",kilogram
Potassium,674082407.8720381,"('air', 'urban air close to ground')",kilogram
Aluminium,541033818.297609,"('air', 'low population density, long-term')",kilogram
"Nickel, ion",460080563.5244776,"('water', 'ground-, long-term')",kilogram
Magnesium,453076073.91546005,"('water', 'ground-')",kilogram
"Lithium, ion",397620891.6006196,"('water',)",kilogram
Thallium,396440315.4027742,"('water', 'ground-, long-term')",kilogram
Manganese,356969481.3456851,"('water', 'ground-, long-term')",kilogram
Tungsten,326476553.8003453,"('water', 'ground-, long-term')",kilogram
Potassium,323259656.03106123,"('soil', 'agricultural')",kilogram
Aluminium,311907249.6837874,"('water', 'surface water')",kilogram
