flow,amount,categories,unit
Selenium,250592874322.7697,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",136992971175.02803,"('water', 'ground-, long-term')",kilogram
Aluminium,84397227069.80946,"('water', 'ground-, long-term')",kilogram
Magnesium,39027967665.24293,"('water', 'ground-, long-term')",kilogram
Selenium,23117800335.780987,"('water', 'surface water')",kilogram
Selenium,11362046547.736462,"('air', 'non-urban air or from high stacks')",kilogram
"Potassium, ion",7195931710.776194,"('water', 'surface water')",kilogram
Cobalt,6880839441.652817,"('water', 'ground-, long-term')",kilogram
Selenium,5280730674.462918,"('water', 'ground-')",kilogram
"Sodium, ion",4916251675.4322605,"('water', 'ground-, long-term')",kilogram
Aluminium,1857135158.2827108,"('air',)",kilogram
"Calcium, ion",1689170960.5788305,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",1230092371.878765,"('water', 'surface water')",kilogram
"Iron, ion",1212505922.6379,"('water', 'ground-, long-term')",kilogram
Selenium,1160263234.7819161,"('air', 'urban air close to ground')",kilogram
Selenium,966439953.0926456,"('air', 'low population density, long-term')",kilogram
Fluoride,953313985.9452993,"('water', 'ground-, long-term')",kilogram
Silicon,802794920.0083528,"('water', 'ground-, long-term')",kilogram
Hydrogen fluoride,730371750.7027416,"('air', 'non-urban air or from high stacks')",kilogram
"Copper, ion",700205380.0295384,"('water', 'ground-, long-term')",kilogram
"Vanadium, ion",695233351.4695336,"('water', 'ground-, long-term')",kilogram
"Potassium, ion",687241386.6595767,"('water', 'ground-')",kilogram
Potassium,674082407.8720381,"('air', 'urban air close to ground')",kilogram
Aluminium,541033818.2976089,"('air', 'low population density, long-term')",kilogram
"Nickel, ion",460080563.5244776,"('water', 'ground-, long-term')",kilogram
Magnesium,453076073.91546005,"('water', 'ground-')",kilogram
"Lithium, ion",397620891.60061955,"('water',)",kilogram
Thallium,396440315.4027742,"('water', 'ground-, long-term')",kilogram
Manganese,356969481.3456851,"('water', 'ground-, long-term')",kilogram
Tungsten,326476553.8003453,"('water', 'ground-, long-term')",kilogram
Potassium,323259656.03106123,"('soil', 'agricultural')",kilogram
Aluminium,311907249.6837874,"('water', 'surface water')",kilogram
Magnesium,241067386.05708906,"('water', 'surface water')",kilogram
Mercury,223978758.11799306,"('water', 'ground-, long-term')",kilogram
"Cadmium, ion",183480934.04701492,"('water', 'ground-, long-term')",kilogram
Molybdenum,130704980.23094769,"('water', 'ground-, long-term')",kilogram
"Sodium, ion",118192732.10379742,"('water',)",kilogram
Aluminium,116837683.37946077,"('soil', 'agricultural')",kilogram
