flow,amount,categories,unit
Aluminium III,68537370028.94398,"('water', 'ground-, long-term')",kilogram
Cobalt II,12771451555.696495,"('water', 'ground-, long-term')",kilogram
Iron ion,2327057935.4798903,"('water', 'ground-, long-term')",kilogram
Copper ion,1535662201.9375753,"('water', 'ground-, long-term')",kilogram
Aluminium III,1066468446.5087707,"('air',)",kilogram
Nickel II,837540425.6288232,"('water', 'ground-, long-term')",kilogram
Manganese II,670238238.4885765,"('water', 'ground-, long-term')",kilogram
Iron ion,636390714.4392571,"('water', 'ground-')",kilogram
Aluminium III,234452710.39043245,"('air', 'low population density, long-term')",kilogram
Molybdenum VI,213785163.0912659,"('water', 'ground-, long-term')",kilogram
Zinc II,135523080.89460152,"('water', 'ground-, long-term')",kilogram
Aluminium III,132192812.21974108,"('water', 'surface water')",kilogram
Silver I,118078446.98383819,"('water', 'ground-, long-term')",kilogram
Aluminium III,83301677.68444389,"('soil', 'industrial')",kilogram
Aluminium III,71080185.01613536,"('soil', 'agricultural')",kilogram
Aluminium III,54608547.67287891,"('water', 'ground-')",kilogram
Aluminium III,35174391.788873605,"('water', 'ocean')",kilogram
Tin ion,30680576.456541963,"('water', 'ground-, long-term')",kilogram
Aluminium III,29919202.21487897,"('soil',)",kilogram
Molybdenum VI,28963036.953126382,"('water', 'ground-')",kilogram
Cobalt II,22410177.43425562,"('water', 'ground-')",kilogram
Phosphate,18779084.22859926,"('water', 'ground-, long-term')",kilogram
Antimony ion,16514509.248790247,"('water', 'ground-, long-term')",kilogram
Lead II,13534712.793670397,"('water', 'ground-, long-term')",kilogram
Cobalt II,9438270.648490706,"('air', 'urban air close to ground')",kilogram
Lithium I,8923404.026663296,"('water', 'ocean')",kilogram
Molybdenum VI,8412670.708989646,"('water', 'surface water')",kilogram
Iron ion,8071750.142033776,"('soil',)",kilogram
Iron ion,7321473.15274525,"('air', 'low population density, long-term')",kilogram
Cobalt II,6575310.928796017,"('air', 'non-urban air or from high stacks')",kilogram
Iron ion,4762655.578367482,"('soil', 'industrial')",kilogram
Manganese II,4481414.358732344,"('water', 'ground-')",kilogram
Lithium I,4291257.610301277,"('water', 'surface water')",kilogram
Cobalt II,3715983.0173438755,"('water', 'surface water')",kilogram
