flow,amount,categories,unit
"Aluminium, in ground",4970787257.84664,"('natural resource', 'in ground')",kilogram
"Iron, 46% in ore, 25% in crude ore, in ground",3471414300.662498,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",38046352.4338678,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",11243281.48153964,"('natural resource', 'in ground')",kilogram
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",10913320.22151245,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",5130952.0183212,"('natural resource', 'in ground')",kilogram
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",1756781.4921332523,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",1493851.8650903672,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",1282794.9782382732,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",1163465.3674611684,"('natural resource', 'in ground')",kilogram
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",1072290.486762496,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",986459.7426382964,"('natural resource', 'in ground')",kilogram
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",919221.5368132957,"('natural resource', 'in ground')",kilogram
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",809207.6068950654,"('natural resource', 'in ground')",kilogram
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",685107.3393066281,"('natural resource', 'in ground')",kilogram
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",663595.3013266235,"('natural resource', 'in ground')",kilogram
"Uranium, in ground",647300.8240472267,"('natural resource', 'in ground')",kilogram
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",498714.65609445254,"('natural resource', 'in ground')",kilogram
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",353780.4344460572,"('natural resource', 'in ground')",kilogram
"Aluminium, 24% in bauxite, 11% in crude ore, in ground",333829.9083600977,"('natural resource', 'in ground')",kilogram
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",244937.5527262758,"('natural resource', 'in ground')",kilogram
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground",181942.39743363022,"('natural resource', 'in ground')",kilogram
"Iron, 72% in magnetite, 14% in crude ore, in ground",151401.36017621367,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",92286.03732242562,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground",51011.7301392018,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground",29801.01611231593,"('natural resource', 'in ground')",kilogram
"Zinc, Zn 0.63%, in mixed ore, in ground",25873.771055635578,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground",23650.90127426519,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground",17357.140878682832,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground",15302.682692394945,"('natural resource', 'in ground')",kilogram
"Phosphorus, 18% in apatite, 4% in crude ore, in ground",7458.562743935665,"('natural resource', 'in ground')",kilogram
"Nickel, Ni 2.5E+0%, in mixed ore, in ground",7424.5016815098,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground",5026.990537281479,"('natural resource', 'in ground')",kilogram
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground",4241.330580246443,"('natural resource', 'in ground')",kilogram
"Cobalt, in ground",3184.6266951936677,"('natural resource', 'in ground')",kilogram
