flow,amount,categories,unit
"Aluminium, in ground",14380508898.362867,"('natural resource', 'in ground')",kilogram
"Iron, 46% in ore, 25% in crude ore, in ground",3471414300.662497,"('natural resource', 'in ground')",kilogram
"Magnesite, 60% in crude ore, in ground",150576931.53886613,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",38109516.01372542,"('natural resource', 'in ground')",kilogram
"Barite, 15% in crude ore, in ground",36458543.383000724,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",11243281.48153964,"('natural resource', 'in ground')",kilogram
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",10913320.221512454,"('natural resource', 'in ground')",kilogram
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",6309686.863885224,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",5130952.018321201,"('natural resource', 'in ground')",kilogram
"Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground",4717533.254274304,"('natural resource', 'in ground')",kilogram
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",4555026.604611632,"('natural resource', 'in ground')",kilogram
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",1756781.4921332526,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",1493851.8650903676,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",1282794.9782382736,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",1163465.3674611687,"('natural resource', 'in ground')",kilogram
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",1072290.4867624957,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",986459.7426382967,"('natural resource', 'in ground')",kilogram
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",809207.6068950657,"('natural resource', 'in ground')",kilogram
"Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground",801563.0257590411,"('natural resource', 'in ground')",kilogram
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",685107.3393066283,"('natural resource', 'in ground')",kilogram
"Uranium, in ground",618143.1385382869,"('natural resource', 'in ground')",kilogram
"Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",562071.6598083737,"('natural resource', 'in ground')",kilogram
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",498714.6560944524,"('natural resource', 'in ground')",kilogram
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",353780.4344460572,"('natural resource', 'in ground')",kilogram
"Aluminium, 24% in bauxite, 11% in crude ore, in ground",333829.9083600978,"('natural resource', 'in ground')",kilogram
"Cadmium, 0.30% in sulfide, Cd 0.18%, Pb, Zn, Ag, In, in ground",286274.8908017348,"('natural resource', 'in ground')",kilogram
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",244937.55272627584,"('natural resource', 'in ground')",kilogram
"Zirconium, 50% in zircon, 0.39% in crude ore, in ground",231802.52501687378,"('natural resource', 'in ground')",kilogram
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground",181942.39743363022,"('natural resource', 'in ground')",kilogram
"Iron, 72% in magnetite, 14% in crude ore, in ground",151401.3601762137,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",92286.03732242566,"('natural resource', 'in ground')",kilogram
"TiO2, 54% in ilmenite, 2.6% in crude ore, in ground",85284.1672506847,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground",51011.730139201805,"('natural resource', 'in ground')",kilogram
"TiO2, 54% in ilmenite, 18% in crude ore, in ground",43750.17380367829,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground",29801.016112315945,"('natural resource', 'in ground')",kilogram
"Zinc, Zn 0.63%, in mixed ore, in ground",25873.77105563558,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground",23650.901274265194,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground",17357.140878682836,"('natural resource', 'in ground')",kilogram
"Kieserite, 25% in crude ore, in ground",15507.497152531738,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground",15302.682692394947,"('natural resource', 'in ground')",kilogram
"Phosphorus, 18% in apatite, 4% in crude ore, in ground",7458.562743935666,"('natural resource', 'in ground')",kilogram
"Nickel, Ni 2.5E+0%, in mixed ore, in ground",7424.5016815098,"('natural resource', 'in ground')",kilogram
"Cobalt, in ground",5500.718698987707,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground",5026.990537281481,"('natural resource', 'in ground')",kilogram
"Indium, 0.005% in sulfide, In 0.003%, Pb, Zn, Ag, Cd, in ground",4865.51999792834,"('natural resource', 'in ground')",kilogram
"Pt, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground",3680.347269028149,"('natural resource', 'in ground')",kilogram
"Phosphorus, 18% in apatite, 12% in crude ore, in ground",2834.285732717617,"('natural resource', 'in ground')",kilogram
"Zinc, Zn 3.1%, in mixed ore, in ground",2189.006577044078,"('natural resource', 'in ground')",kilogram
"Tin, 79% in cassiterite, 0.1% in crude ore, in ground",2170.5986958465446,"('natural resource', 'in ground')",kilogram
