flow,amount,categories,unit
"Gravel, in ground",93389939352.60446,"('natural resource', 'in ground')",kilogram
"Clay, unspecified, in ground",27583479930.89579,"('natural resource', 'in ground')",kilogram
"Carbon dioxide, in air",24868183752.944042,"('natural resource', 'in air')",kilogram
"Aluminium, in ground",6372860971.346898,"('natural resource', 'in ground')",kilogram
"Calcite, in ground",3169728948.35717,"('natural resource', 'in ground')",kilogram
"Clay, bentonite, in ground",2244320739.6766825,"('natural resource', 'in ground')",kilogram
"Iron, 46% in ore, 25% in crude ore, in ground",2098364278.2223952,"('natural resource', 'in ground')",kilogram
"Sodium chloride, in ground",194150661.70283842,"('natural resource', 'in ground')",kilogram
"Magnesite, 60% in crude ore, in ground",110202687.23322566,"('natural resource', 'in ground')",kilogram
"Sylvite, 25 % in sylvinite, in ground",86438274.40076417,"('natural resource', 'in ground')",kilogram
"Barite, 15% in crude ore, in ground",76583981.32364199,"('natural resource', 'in ground')",kilogram
"Dolomite, in ground",51059284.03857756,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",13498837.361195887,"('natural resource', 'in ground')",kilogram
"Carbon, organic, in soil or biomass stock",10834694.805355465,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",9713016.37900698,"('natural resource', 'in ground')",kilogram
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",7719721.955755761,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",7187801.54348111,"('natural resource', 'in ground')",kilogram
"Uranium, in ground",4957801.503149421,"('natural resource', 'in ground')",kilogram
"Tantalum, 81.9% in tantalite, 1.6E-4% in crude ore, in ground",4695303.709330862,"('natural resource', 'in ground')",kilogram
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",4073994.549534539,"('natural resource', 'in ground')",kilogram
"Fluorspar, 92%, in ground",3937193.4270166247,"('natural resource', 'in ground')",kilogram
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",2941057.7892080816,"('natural resource', 'in ground')",kilogram
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",1538222.659043059,"('natural resource', 'in ground')",kilogram
"Sand, unspecified, in ground",1263227.188138339,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",1179346.4158434116,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",1148498.4919124336,"('natural resource', 'in ground')",kilogram
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",1114653.0007594689,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",1019872.0547646949,"('natural resource', 'in ground')",kilogram
"Aluminium, 24% in bauxite, 11% in crude ore, in ground",951305.4298902368,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",808785.6838513179,"('natural resource', 'in ground')",kilogram
"Talc, in ground",634465.4807475976,"('natural resource', 'in ground')",kilogram
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",571370.6056940408,"('natural resource', 'in ground')",kilogram
