flow,amount,categories,unit
Aluminium,10536243.904736986,"('water', 'ground-, long-term')",kilogram
Aluminium,263042.2102385028,"('air',)",kilogram
"Lithium, ion",205550.4774310946,"('water',)",kilogram
Cobalt,20906.220556848744,"('water', 'ground-, long-term')",kilogram
Aluminium,15125.355462945277,"('water', 'surface water')",kilogram
"Nickel, ion",5161.2077710397125,"('water', 'ground-, long-term')",kilogram
Aluminium,4108.893788531458,"('water', 'ground-')",kilogram
Aluminium,2482.448619804662,"('air', 'urban air close to ground')",kilogram
Molybdenum,2100.866787726298,"('water', 'ground-, long-term')",kilogram
Aluminium,1279.7968022652728,"('air', 'low population density, long-term')",kilogram
Manganese,957.7241778933786,"('water', 'ground-, long-term')",kilogram
Molybdenum,936.0367342532236,"('water', 'surface water')",kilogram
Aluminium,832.1944647734134,"('water',)",kilogram
Aluminium,823.2078001987604,"('soil', 'industrial')",kilogram
Phosphate,382.9415932739689,"('water', 'ground-, long-term')",kilogram
"Zinc, ion",267.1812950088013,"('water', 'ground-, long-term')",kilogram
Aluminium,208.92769654653168,"('soil', 'agricultural')",kilogram
"Copper, ion",179.98252191435367,"('water', 'ground-, long-term')",kilogram
Aluminium,154.47866777045053,"('water', 'ocean')",kilogram
Cobalt,73.74643240519912,"('air', 'non-urban air or from high stacks')",kilogram
Phosphate,53.08639298837406,"('water', 'ground-')",kilogram
Molybdenum,48.24966653666205,"('water', 'ground-')",kilogram
Cobalt,47.41047276388677,"('water', 'ground-')",kilogram
"Nickel, ion",19.402320832021072,"('water', 'ground-')",kilogram
Molybdenum,10.806871975974792,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,9.703671881000759,"('water', 'ground-')",kilogram
Molybdenum,5.355994340795122,"('air',)",kilogram
"Silver, ion",4.850839541773883,"('water',)",kilogram
Cobalt,4.411325030156298,"('air', 'urban air close to ground')",kilogram
Aluminium,4.36128329630453,"('soil',)",kilogram
Antimony,4.171699259474328,"('water', 'ground-, long-term')",kilogram
Aluminium,2.851374103901477,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,2.8039199551864837,"('water', 'surface water')",kilogram
"Silver, ion",2.144757649174756,"('water', 'ground-, long-term')",kilogram
Antimony,1.2945762007335555,"('water', 'surface water')",kilogram
"Nickel, ion",0.9815056637143614,"('water', 'surface water')",kilogram
"Zinc, ion",0.9617591851304222,"('water', 'ground-')",kilogram
Manganese,0.932504828988543,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,0.6962061686319626,"('air', 'urban air close to ground')",kilogram
Chromium VI,0.614479408419303,"('water', 'ground-, long-term')",kilogram
"Nickel, ion",0.556796080721472,"('water',)",kilogram
Cobalt,0.5371989910841015,"('air', 'low population density, long-term')",kilogram
Cobalt,0.5221614534989614,"('water',)",kilogram
Molybdenum,0.5085999852422489,"('air', 'low population density, long-term')",kilogram
Antimony,0.5044024900860414,"('air',)",kilogram
"Silver, ion",0.3205005419304457,"('water', 'ground-')",kilogram
