flow,amount,categories,unit
Aluminium,17601133.531384986,"('water', 'ground-, long-term')",kilogram
Aluminium,439420.4527399942,"('air',)",kilogram
Cobalt,130186.40390863933,"('water', 'ground-, long-term')",kilogram
"Lithium, ion",100625.42055108203,"('water',)",kilogram
Aluminium,25267.39164544889,"('water', 'surface water')",kilogram
Molybdenum,19807.59977589602,"('water', 'ground-, long-term')",kilogram
Molybdenum,8825.234001481138,"('water', 'surface water')",kilogram
"Nickel, ion",7884.2592903031855,"('water', 'ground-, long-term')",kilogram
Aluminium,6864.0389205213505,"('water', 'ground-')",kilogram
Aluminium,4147.010076554878,"('air', 'urban air close to ground')",kilogram
"Iron, ion",3116.54734719294,"('water', 'ground-, long-term')",kilogram
Aluminium,2137.9416244894614,"('air', 'low population density, long-term')",kilogram
Aluminium,1390.2075569806154,"('water',)",kilogram
Aluminium,1375.1950454432624,"('soil', 'industrial')",kilogram
Manganese,949.0204108500511,"('water', 'ground-, long-term')",kilogram
Phosphate,892.203057804702,"('water', 'ground-, long-term')",kilogram
"Zinc, ion",851.4018388133823,"('water', 'ground-, long-term')",kilogram
"Copper, ion",821.4741448220946,"('water', 'ground-, long-term')",kilogram
"Silver, ion",513.7324275047591,"('water',)",kilogram
Cobalt,459.23091693296357,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,454.9122722402498,"('water', 'ground-')",kilogram
Aluminium,349.02042118319605,"('soil', 'agricultural')",kilogram
Cobalt,295.23265288220324,"('water', 'ground-')",kilogram
Aluminium,258.06157144442375,"('water', 'ocean')",kilogram
"Silver, ion",227.142444937897,"('water', 'ground-, long-term')",kilogram
Phosphate,123.68424580654988,"('water', 'ground-')",kilogram
"Iron, ion",103.25235799572243,"('water', 'ground-')",kilogram
Molybdenum,101.8904178884772,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,50.49791491979888,"('air',)",kilogram
"Silver, ion",33.94289174164436,"('water', 'ground-')",kilogram
"Nickel, ion",29.638978909482873,"('water', 'ground-')",kilogram
Cobalt,27.470031734649577,"('air', 'urban air close to ground')",kilogram
Cobalt,17.460461340718954,"('water', 'surface water')",kilogram
Antimony,14.743284339595718,"('water', 'ground-, long-term')",kilogram
Manganese,9.615485217797898,"('water', 'ground-')",kilogram
Aluminium,7.285663691967379,"('soil',)",kilogram
Molybdenum,6.564039771744193,"('air', 'urban air close to ground')",kilogram
"Silver, ion",5.052502434862523,"('water', 'surface water')",kilogram
Molybdenum,4.7952326213924374,"('air', 'low population density, long-term')",kilogram
Aluminium,4.7633119358730225,"('air', 'non-urban air or from high stacks')",kilogram
Antimony,4.575187193406025,"('water', 'surface water')",kilogram
Cobalt,3.3452246733175204,"('air', 'low population density, long-term')",kilogram
Cobalt,3.2515835038614243,"('water',)",kilogram
"Zinc, ion",3.0647487455614275,"('water', 'ground-')",kilogram
"Iron, ion",2.2757717678711176,"('water',)",kilogram
Molybdenum,2.2307937664066966,"('water',)",kilogram
Antimony,1.7826187532693067,"('air',)",kilogram
"Nickel, ion",1.4993477284612897,"('water', 'surface water')",kilogram
"Copper, ion",1.2386976896795197,"('water', 'ground-')",kilogram
Manganese,0.9240302545905706,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",0.8505615094329614,"('water',)",kilogram
Chromium VI,0.7432263986315046,"('water', 'ground-, long-term')",kilogram
"Zinc, ion",0.7150691493507254,"('water', 'ocean')",kilogram
"Tin, ion",0.6000416930131206,"('water', 'ground-, long-term')",kilogram
"Iron, ion",0.5685435948932707,"('water', 'surface water')",kilogram
Cobalt,0.5673467836004601,"('soil', 'agricultural')",kilogram
Cobalt,0.5600529714348946,"('soil',)",kilogram
"Zinc, ion",0.4248441136567187,"('water', 'surface water')",kilogram
Antimony,0.3950525565204544,"('air', 'non-urban air or from high stacks')",kilogram
"Copper, ion",0.3293047573070426,"('water',)",kilogram
Cobalt,0.2981141053826355,"('air',)",kilogram
Antimony,0.2626778761508097,"('water', 'ground-')",kilogram
Nickel,0.23775956566985712,"('air', 'non-urban air or from high stacks')",kilogram
"Copper, ion",0.23329909081160033,"('water', 'surface water')",kilogram
Molybdenum,0.1827539465996094,"('water', 'ocean')",kilogram
Lead,0.17385468674944168,"('water', 'ground-, long-term')",kilogram
Iron,0.172001562951113,"('soil',)",kilogram
Copper,0.1707229976080886,"('air', 'non-urban air or from high stacks')",kilogram
"Silver, ion",0.16966289532514017,"('water', 'ocean')",kilogram
"Zinc, ion",0.14703040697695285,"('water',)",kilogram
Manganese,0.11846313543878549,"('soil', 'agricultural')",kilogram
Manganese,0.09664485668465388,"('water', 'surface water')",kilogram
Lead,0.09152937380550334,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,0.08642565619879107,"('soil', 'agricultural')",kilogram
Molybdenum,0.08130034660299808,"('soil',)",kilogram
Chromium VI,0.07120498934899959,"('water', 'surface water')",kilogram
Zinc,0.05882813759392253,"('air', 'non-urban air or from high stacks')",kilogram
