flow,amount,categories,unit
Aluminium,397965.3848561377,"('water', 'ground-, long-term')",kilogram
Aluminium,8757.106526551095,"('air',)",kilogram
Aluminium,2551.1825351903667,"('air', 'low population density, long-term')",kilogram
Cobalt,2052.0702107276493,"('water', 'ground-, long-term')",kilogram
Aluminium,1470.7626419663611,"('water', 'surface water')",kilogram
Aluminium,550.9346129742653,"('soil', 'agricultural')",kilogram
Aluminium,412.78275937278477,"('soil', 'industrial')",kilogram
Molybdenum,299.0516964659604,"('water', 'ground-, long-term')",kilogram
Aluminium,174.08948900563496,"('water', 'ground-')",kilogram
"Lithium, ion",167.3234378686899,"('water',)",kilogram
"Iron, ion",140.28854859798264,"('water', 'ground-, long-term')",kilogram
Aluminium,138.8059926795416,"('air', 'urban air close to ground')",kilogram
"Nickel, ion",130.94171327254605,"('water', 'ground-, long-term')",kilogram
Phosphate,128.77447716825262,"('water', 'ground-, long-term')",kilogram
Molybdenum,124.21137914341914,"('water', 'surface water')",kilogram
"Copper, ion",97.1377728099891,"('water', 'ground-, long-term')",kilogram
Aluminium,86.07964446771526,"('water', 'ocean')",kilogram
Manganese,52.98285105326004,"('water', 'ground-, long-term')",kilogram
Molybdenum,47.02377674710721,"('water', 'ground-')",kilogram
Aluminium,37.80776952252104,"('water',)",kilogram
"Silver, ion",34.90623665156294,"('water', 'ground-, long-term')",kilogram
"Silver, ion",22.777140094510514,"('water',)",kilogram
Phosphate,17.922171592241664,"('water', 'ground-')",kilogram
"Zinc, ion",17.204080169584852,"('water', 'ground-, long-term')",kilogram
"Iron, ion",13.487388303140191,"('water', 'ground-')",kilogram
Cobalt,10.014239441781237,"('air', 'urban air close to ground')",kilogram
Cobalt,5.764298262338776,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,3.97578164272615,"('water', 'ground-')",kilogram
Molybdenum,3.1200043289496806,"('air', 'low population density, long-term')",kilogram
"Silver, ion",2.7476917605017683,"('water', 'surface water')",kilogram
Cobalt,2.253203417264844,"('air', 'low population density, long-term')",kilogram
Molybdenum,1.5013085830541664,"('air', 'urban air close to ground')",kilogram
"Silver, ion",1.3074334381678137,"('water', 'ground-')",kilogram
Molybdenum,1.0921960463427123,"('air',)",kilogram
Molybdenum,1.0510903082822363,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,0.8636059014540786,"('water', 'surface water')",kilogram
Aluminium,0.5959255870708836,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,0.5230792091827454,"('soil', 'agricultural')",kilogram
"Iron, ion",0.4775803905029867,"('water', 'surface water')",kilogram
Manganese,0.4589701895405454,"('water', 'ground-')",kilogram
Manganese,0.42367755888246755,"('soil', 'agricultural')",kilogram
"Nickel, ion",0.4089856047750778,"('water', 'ground-')",kilogram
Antimony,0.352767459137149,"('water', 'ground-, long-term')",kilogram
Aluminium,0.2887530143385915,"('soil',)",kilogram
"Zinc, ion",0.19373007643474607,"('water', 'ocean')",kilogram
"Nickel, ion",0.17858998968338896,"('water', 'surface water')",kilogram
"Iron, ion",0.13948805014796659,"('water',)",kilogram
Manganese,0.1105454375730356,"('water', 'surface water')",kilogram
"Silver, ion",0.09314248830809306,"('water', 'ocean')",kilogram
"Zinc, ion",0.08801797657879153,"('water', 'surface water')",kilogram
Antimony,0.08113562478229039,"('water', 'surface water')",kilogram
Silver,0.06962621434884292,"('air', 'low population density, long-term')",kilogram
Molybdenum,0.06916044130014981,"('soil', 'agricultural')",kilogram
"Copper, ion",0.058511268030143934,"('water', 'surface water')",kilogram
Antimony,0.058085688226281976,"('air',)",kilogram
"Zinc, ion",0.05596228890004708,"('water', 'ground-')",kilogram
Iron,0.049611694937683186,"('air', 'low population density, long-term')",kilogram
Cobalt,0.048803928829122836,"('water',)",kilogram
Manganese,0.046078658760001834,"('air', 'low population density, long-term')",kilogram
"Nickel, ion",0.043069258832585916,"('water',)",kilogram
"Tin, ion",0.0429532280867731,"('water', 'ground-, long-term')",kilogram
Chromium VI,0.040881278088878197,"('water', 'ground-, long-term')",kilogram
Molybdenum,0.03632717413568923,"('water', 'ocean')",kilogram
"Copper, ion",0.033006931769094416,"('water', 'ground-')",kilogram
Molybdenum,0.032343699554143214,"('water',)",kilogram
Lead,0.030928616664675848,"('water', 'ground-, long-term')",kilogram
"Copper, ion",0.02472983505325224,"('water',)",kilogram
Antimony,0.02468228360396574,"('water', 'ground-')",kilogram
Iron,0.021734969701699015,"('soil',)",kilogram
Manganese,0.01984826075060234,"('air', 'urban air close to ground')",kilogram
Manganese,0.01955616198484596,"('air', 'non-urban air or from high stacks')",kilogram
Nickel,0.01720504494382946,"('air', 'urban air close to ground')",kilogram
Iron,0.01476359416389607,"('soil', 'industrial')",kilogram
Phosphate,0.014215956055175975,"('water', 'surface water')",kilogram
Manganese,0.013262368691322137,"('soil', 'industrial')",kilogram
Cobalt,0.012528992874003882,"('soil',)",kilogram
Cobalt,0.011136743394869947,"('water', 'ocean')",kilogram
Iron,0.01108799573309653,"('soil', 'agricultural')",kilogram
Cobalt,0.009881511527560389,"('soil', 'industrial')",kilogram
Cobalt,0.00971424271265909,"('air',)",kilogram
Nickel,0.008800565692437019,"('air', 'non-urban air or from high stacks')",kilogram
"Zinc, ion",0.006380919009590848,"('water',)",kilogram
Antimony,0.006088341982702068,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.005092739787543127,"('air', 'non-urban air or from high stacks')",kilogram
Lead,0.005003638946756919,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,0.00461055673895464,"('water', 'surface water')",kilogram
Lead,0.004171842796499529,"('water', 'surface water')",kilogram
