flow,amount,categories,unit
Aluminium,46134.2830316737,"('natural resource', 'in ground')",kilogram
Iron,23860.796961901928,"('natural resource', 'in ground')",kilogram
Uranium,12379.48086998327,"('natural resource', 'in ground')",kilogram
Molybdenum,6425.940497641868,"('natural resource', 'in ground')",kilogram
Copper,2820.2904233864315,"('natural resource', 'in ground')",kilogram
Nickel,927.2065643945516,"('natural resource', 'in ground')",kilogram
Silver,104.00740618678114,"('natural resource', 'in ground')",kilogram
Manganese,11.426913779537262,"('natural resource', 'in ground')",kilogram
Zinc,4.696161916221932,"('natural resource', 'in ground')",kilogram
Chromium,2.4310921286990332,"('natural resource', 'in ground')",kilogram
Phosphorus,1.2165038833185753,"('natural resource', 'in ground')",kilogram
Cobalt,0.253333566214532,"('natural resource', 'in ground')",kilogram
Lead,0.2431783683020558,"('natural resource', 'in ground')",kilogram
Tin,0.04894152067909028,"('natural resource', 'in ground')",kilogram
Niobium,5.5525754861449574e-05,"('natural resource', 'in ground')",kilogram
Antimony,2.141963364298459e-06,"('natural resource', 'in ground')",kilogram
Lithium,1.134386016391685e-06,"('natural resource', 'in ground')",kilogram
