flow,amount,categories,unit
Aluminium III,259747.0213405626,"('water', 'ground-, long-term')",kilogram
Cobalt II,7020.258933845094,"('water', 'ground-, long-term')",kilogram
Aluminium III,4041.765860250627,"('air',)",kilogram
Silver I,1085.271520038603,"('water', 'ground-, long-term')",kilogram
Aluminium III,888.542894823925,"('air', 'low population density, long-term')",kilogram
Iron ion,603.1820060583702,"('water', 'ground-, long-term')",kilogram
Molybdenum VI,592.4542858480025,"('water', 'ground-, long-term')",kilogram
Aluminium III,500.99222077254154,"('water', 'surface water')",kilogram
Phosphate,496.18632466748426,"('water', 'ground-, long-term')",kilogram
Copper ion,468.0302821559931,"('water', 'ground-, long-term')",kilogram
Nickel II,434.7398070711754,"('water', 'ground-, long-term')",kilogram
Aluminium III,315.70167694016044,"('soil', 'industrial')",kilogram
Aluminium III,269.3839335603366,"('soil', 'agricultural')",kilogram
Aluminium III,206.95873786482042,"('water', 'ground-')",kilogram
Manganese II,184.88180748403758,"('water', 'ground-, long-term')",kilogram
Iron ion,164.95482210382974,"('water', 'ground-')",kilogram
Aluminium III,133.30601233702805,"('water', 'ocean')",kilogram
Aluminium III,113.38958079247617,"('soil',)",kilogram
Molybdenum VI,80.26410778903502,"('water', 'ground-')",kilogram
Phosphate,59.199776208923865,"('water', 'ground-')",kilogram
Zinc II,39.15604595285156,"('water', 'ground-, long-term')",kilogram
Molybdenum VI,23.313698410591403,"('water', 'surface water')",kilogram
Cobalt II,12.318509580198377,"('water', 'ground-')",kilogram
Silver I,8.755269804198043,"('water', 'ground-')",kilogram
Aluminium III,8.401598923618973,"('air', 'urban air close to ground')",kilogram
Cobalt II,5.188063670848835,"('air', 'urban air close to ground')",kilogram
Aluminium III,4.38095251297612,"('air', 'non-urban air or from high stacks')",kilogram
Silver I,3.7919320959943277,"('air', 'low population density, long-term')",kilogram
Cobalt II,3.6143413369563655,"('air', 'non-urban air or from high stacks')",kilogram
Silver I,2.5065625056474374,"('water', 'ocean')",kilogram
Iron ion,2.0922274296835797,"('soil',)",kilogram
Cobalt II,2.0426153489099086,"('water', 'surface water')",kilogram
Iron ion,1.897752864784034,"('air', 'low population density, long-term')",kilogram
Cobalt II,1.8023302920597868,"('air', 'low population density, long-term')",kilogram
Molybdenum VI,1.6372962479632494,"('air', 'low population density, long-term')",kilogram
Silver I,1.5905781528744278,"('water', 'surface water')",kilogram
Molybdenum VI,1.5131979168824736,"('air',)",kilogram
Manganese II,1.2361753465390748,"('water', 'ground-')",kilogram
Iron ion,1.234497904897397,"('soil', 'industrial')",kilogram
Nickel II,0.9780142580207565,"('air', 'non-urban air or from high stacks')",kilogram
Nickel II,0.9400697128983208,"('water', 'ground-')",kilogram
Cobalt II,0.7024750221007984,"('soil', 'agricultural')",kilogram
Nickel II,0.5925125275605305,"('air', 'urban air close to ground')",kilogram
Iron ion,0.5828501580137135,"('water', 'surface water')",kilogram
Iron ion,0.5735903613609682,"('soil', 'agricultural')",kilogram
Molybdenum VI,0.48298987145652933,"('air', 'urban air close to ground')",kilogram
Manganese II,0.4740316275480183,"('soil', 'agricultural')",kilogram
Tin ion,0.3971305642756583,"('water', 'ground-, long-term')",kilogram
Aluminium III,0.3459777313786653,"('water',)",kilogram
Antimony ion,0.34545339040421247,"('water', 'ground-, long-term')",kilogram
Copper ion,0.29465584347062423,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum VI,0.29450283487896683,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt II,0.29155408548448986,"('air',)",kilogram
Copper ion,0.2849226092648862,"('air',)",kilogram
Copper ion,0.2827096843960542,"('air', 'low population density, long-term')",kilogram
Lead II,0.20304543087010107,"('water', 'ground-, long-term')",kilogram
Silver I,0.18464927176761559,"('soil', 'industrial')",kilogram
Iron ion,0.18060302509840062,"('water',)",kilogram
Copper ion,0.1557822137533237,"('air', 'urban air close to ground')",kilogram
Copper ion,0.14103057650668552,"('water', 'ground-')",kilogram
Iron ion,0.13228378011845637,"('air',)",kilogram
Nickel II,0.12526422415444244,"('water', 'surface water')",kilogram
Lithium I,0.12480198230460177,"('water', 'ocean')",kilogram
Nickel II,0.12107093240611068,"('air',)",kilogram
Silver I,0.10630953191352067,"('soil', 'agricultural')",kilogram
Manganese II,0.09211265493773153,"('water', 'surface water')",kilogram
Copper ion,0.08943361297240579,"('water', 'surface water')",kilogram
