flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,CF1,composition,grade_fraction,grade_source
"('ecoinvent-3.4-biosphere', 'c3b2ba62-b158-47b1-8e1e-e76156e5292a')","Zinc, Zn 3.1%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Zinc,Zn,65.4,1.0836576745711442e-13,{'Zn': 1.0},0.031,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '45ed0c16-0e34-45f1-8bf9-3b1ce8489e73')","Silver, Ag 1.8E-6%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.8e-08,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')","Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Manganese,Mn,54.93804,6.485008032108113e-14,{'Mn': 1.0},0.142,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')","Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground","('natural resource', 'in ground')",kilogram,Cu,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.00037,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')","Lead, Pb 0.014%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Lead,Pb,207.0,1.1855254708054448e-13,{'Pb': 1.0},0.00014000000000000001,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')","Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},0.00041,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '5514ccd2-469f-4074-9905-529154e7f742')","Molybdenum, 0.014% in sulfide, Mo 8.2E-3% and Cu 0.81% in crude ore, in ground","('natural resource', 'in ground')",kilogram,multi_element_ore,multi,,1.6532043483883647e-13,{'Mo': 1.0},8.2e-05,parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('natural resource', 'in ground')",kilogram,Zinc,Zn,65.4,1.0836576745711442e-13,{'Zn': 1.0},0.09,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'd02343bd-b00d-4fb3-9bda-2e8183f3b012')","Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},2.1000000000000002e-06,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'cfaa80f4-8e19-4fd6-942a-eaea14812896')","Silver, Ag 9.7E-4%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},9.7e-06,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')","Zinc, Zn 0.63%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Zinc,Zn,65.4,1.0836576745711442e-13,{'Zn': 1.0},0.0063,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')","Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Chromium,Cr,51.996,3.1278613038877847e-13,{'Cr': 1.0},0.11599999999999999,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'a64e65fe-3c33-44f1-bd2d-ab7fac07653f')","Phosphorus, 18% in apatite, 12% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Phosphorus,P,30.973762,1.6973366253890836e-14,{'P': 1.0},0.12,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')","Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('natural resource', 'in ground')",kilogram,Cu,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.023,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')","Tin, 79% in cassiterite, 0.1% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Tin,Sn,118.71,1.3268575464212294e-13,{'Sn': 1.0},0.001,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'febbfa6e-44d4-42a0-abcd-aec8a428f75e')","Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground","('natural resource', 'in ground')",kilogram,Ni,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.00052,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')","Aluminium, 24% in bauxite, 11% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Aluminium,Al,26.981538,6.422536676269254e-14,{'Al': 1.0},0.11,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')","Iron, 46% in ore, 25% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Iron,Fe,55.84,9.645225823667623e-15,{'Fe': 1.0},0.25,parsed_crude_ore
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('natural resource', 'in ground')",kilogram,Ni,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.032,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')","Phosphorus, 18% in apatite, 4% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Phosphorus,P,30.973762,1.6973366253890836e-14,{'P': 1.0},0.04,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'ed8c57b5-6012-4f21-8b70-92a85923786a')","Silver, Ag 1.5E-4%, Au 6.8E-4%, in ore, in ground","('natural resource', 'in ground')",kilogram,Silver,Ag,107.868,1.5701960660375504e-13,{'Ag': 1.0},1.4999999999999998e-06,parsed_in_mineral
"('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')","Copper, Cu 0.38%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Copper,Cu,63.55,1.231243333335009e-14,{'Cu': 1.0},0.0038,parsed_in_mineral
"('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')","Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.0104,parsed_crude_ore
"('ecoinvent-3.4-biosphere', 'f09c3144-a268-4bed-8ca2-63005b6ef75f')","Nickel, Ni 2.5E+0%, in mixed ore, in ground","('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,9.066741688482605e-14,{'Ni': 1.0},0.025,parsed_in_mineral
