flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,fraction,grade_source
"('ecoinvent-3.4-biosphere', 'c09f409d-a35b-435e-974b-ae527b8546d5')",Gold,"('water', 'surface water')",kilogram,Gold,Au,196.96657,"[['Au', 1]]",{'Au': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '9dc481e4-e4cd-4cb1-a03e-d539f774e958')",Acenaphthylene,"('water', 'ocean')",kilogram,Acenaphthylene,C12H8,152.19,"[['C', 12], ['H', 8]]","{'C': 0.9470530258229845, 'H': 0.05298639858072147}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a5e13836-93f3-4a63-8e5e-944ac627bced')",Cesium,"('water', 'ground-')",kilogram,Cesium,Cs,132.905452,"[['Cs', 1]]",{'Cs': 1.0},1.0,dissipation
"('ecoinvent-3.4-biosphere', '85807a72-053a-48bf-8604-47b242211d1f')",Chlorimuron-ethyl,"('air', 'non-urban air or from high stacks')",kilogram,Chlorimuron-ethyl,C15H15ClN4O6S,414.8,"[['C', 15], ['H', 15], ['Cl', 1], ['N', 4], ['O', 6], ['S', 1]]","{'C': 0.43434185149469623, 'H': 0.036451301832208294, 'Cl': 0.08547010607521698, 'N': 0.13507232401157185, 'O': 0.23142237222757955, 'S': 0.07730231436837029}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a3833724-a816-4c9e-b6fd-ac43e8aeedc2')","Toluene, 2-chloro","('air', 'urban air close to ground')",kilogram,Toluene,C7H8,92.14,"[['C', 7], ['H', 8]]","{'C': 0.9124918602127198, 'H': 0.08751899283698719}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '36bc473e-7f7c-4447-967d-18af3d5220bc')",Cumene,"('water', 'ground-, long-term')",kilogram,Cumene,C9H12,120.19,"[['C', 9], ['H', 12]]","{'C': 0.8994009484982111, 'H': 0.10064065230052417}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'c2f5d202-daf5-4e73-87ec-2c4fc75b832c')",Methyl acetate,"('water',)",kilogram,Methyl acetate,C3H6O2,74.08,"[['C', 3], ['H', 6], ['O', 2]]","{'C': 0.4864065874730022, 'H': 0.08164146868250541, 'O': 0.4319384449244061}",1.0,dissipation
"('ecoinvent-3.4-biosphere', 'a0399529-bdc0-49bc-a09b-9aea421fbd34')",Carbon disulfide,"('air', 'lower stratosphere + upper troposphere')",kilogram,Carbon disulfide,CS2,76.15,"[['C', 1], ['S', 2]]","{'C': 0.1577281680892974, 'S': 0.8421536441234404}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '873d28d3-e53b-46a6-aaa0-63b923f0a56c')",Clethodim,"('soil', 'agricultural')",kilogram,Clethodim,C17H26ClNO3S,359.9,"[['C', 17], ['H', 26], ['Cl', 1], ['N', 1], ['O', 3], ['S', 1]]","{'C': 0.5673437065851625, 'H': 0.07282022784106697, 'Cl': 0.09850791886635178, 'N': 0.03891914420672409, 'O': 0.13336204501250348, 'S': 0.08909419283134204}",1.0,dissipation
"('ecoinvent-3.4-biosphere', '10319ea8-90db-4340-be33-b7182dca01db')",Tungsten,"('water', 'ground-, long-term')",kilogram,Tungsten,W,183.84,"[['W', 1]]",{'W': 1.0},1.0,dissipation
