flow_key,name,categories,unit,cleaned_name,molecular_formula,molecular_weight,parts,composition,grade_fraction,grade_source
"('ecoinvent-3.12-biosphere', 'fab932d4-0a58-491c-9d7f-294d07a7953d')",Sodium,"('natural resource', 'in ground')",kilogram,Sodium,Na,22.9897693,"[['Na', 1]]",{'Na': 1.0},0.0787,valero_fallback
"('ecoinvent-3.12-biosphere', 'c7ef04b7-15e1-5cb9-a2c8-93d15d4e36a4')",Ruthenium,"('natural resource', 'in ground')",kilogram,Ruthenium,Ru,101.1,"[['Ru', 1]]",{'Ru': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '9c77a9ae-fcb2-48ed-ae10-4dda59dd6c61')","Carbon, organic, increase in soil or biomass stock","('natural resource', 'in ground')",kilogram,Carbon,C,12.011,"[['C', 1]]",{'C': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '1836d8db-abda-5275-8445-4904f7a8f91d')",Hafnium,"('natural resource', 'in ground')",kilogram,Hafnium,Hf,178.49,"[['Hf', 1]]",{'Hf': 1.0},0.002,valero_fallback
"('ecoinvent-3.12-biosphere', 'd9a2f8e5-f04a-5ffa-8c75-8133ac7f525c')",Lutetium,"('natural resource', 'in ground')",kilogram,Lutetium,Lu,174.9667,"[['Lu', 1]]",{'Lu': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '00143719-33a7-5738-aa1b-131f97b4fef3')",Silicon,"('natural resource', 'in ground')",kilogram,Silicon,Si,28.085,"[['Si', 1]]",{'Si': 1.0},0.306,valero_fallback
"('ecoinvent-3.12-biosphere', '7d2c1cdd-a64a-5936-a577-5b82db0c0d1b')",Lithium,"('natural resource', 'in ground')",kilogram,Lithium,Li,7.0,"[['Li', 1]]",{'Li': 1.0},0.03,valero_fallback
"('ecoinvent-3.12-biosphere', 'c5f5aeb8-7558-4a0c-9594-27621b9cfbc5')",Chrysotile,"('natural resource', 'in ground')",kilogram,Chrysotile,H4Mg3O9Si2,277.11,"[['H', 4], ['Mg', 3], ['O', 9], ['Si', 2]]","{'H': 0.014550178629425137, 'Mg': 0.2631265562412038, 'O': 0.5196167586878857, 'Si': 0.2027065064414853}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '423ef039-6057-4f63-94bd-e9410d024bd0')","Sand, unspecified","('natural resource', 'in ground')",kilogram,Sand,O2Si,60.084,"[['O', 2], ['Si', 1]]","{'O': 0.5325544238066706, 'Si': 0.46744557619332927}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '47262180-8308-5d4c-9332-c77617e032ef')",Antimony,"('natural resource', 'in ground')",kilogram,Antimony,Sb,121.76,"[['Sb', 1]]",{'Sb': 1.0},0.0378,valero_fallback
"('ecoinvent-3.12-biosphere', 'd7cadc9a-f42c-4711-a8e2-0b626c0a4c7a')",Olivine,"('natural resource', 'in ground')",kilogram,Olivine,Fe2Mg8O20Si5,766.55,"[['Fe', 2], ['Mg', 8], ['O', 20], ['Si', 5]]","{'Fe': 0.1457047811623508, 'Mg': 0.2536559911290849, 'O': 0.4174287391559586, 'Si': 0.18319744308916577}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c73e75dc-c02d-4192-ab43-faf29c119fae')",Pyrite,"('natural resource', 'in ground')",kilogram,Pyrite,FeS2,119.98,"[['Fe', 1], ['S', 2]]","{'Fe': 0.4654525754292382, 'S': 0.5345057509584931}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '45d6f26b-596b-5182-8c08-d6d975ff4efe')",Bromine,"('natural resource', 'in water')",kilogram,Bromine,Br2,159.81,"[['Br', 2]]",{'Br': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '5bbcdc6d-b1a7-4b63-b625-76060c767de7')",Sodium sulfate,"('natural resource', 'in ground')",kilogram,Sodium sulfate,Na2O4S,142.04,"[['Na', 2], ['O', 4], ['S', 1]]","{'Na': 0.3237116305266122, 'O': 0.45054914108701777, 'S': 0.2257462686567164}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'df8d7d19-797a-5677-8136-88d31d9d0305')",Rubidium,"('natural resource', 'in ground')",kilogram,Rubidium,Rb,85.468,"[['Rb', 1]]",{'Rb': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '4803f22f-6950-489b-914d-fa953a8081f6')",Rhodium,"('natural resource', 'in ground')",kilogram,Rhodium,Rh,102.9055,"[['Rh', 1]]",{'Rh': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '53d5ef26-66d8-4536-afa2-2f6b114189ba')",Tin,"('natural resource', 'in ground')",kilogram,Tin,Sn,118.71,"[['Sn', 1]]",{'Sn': 1.0},0.0048,valero_fallback
"('ecoinvent-3.12-biosphere', '68f7bc03-0665-55a1-bd99-96530eab30e2')",Beryllium,"('natural resource', 'in ground')",kilogram,Beryllium,Be,9.012183,"[['Be', 1]]",{'Be': 1.0},0.00392,valero_fallback
"('ecoinvent-3.12-biosphere', '6df9ea09-115a-4678-9f30-d92c877a46ec')",Anhydrite,"('natural resource', 'in ground')",kilogram,Anhydrite,CaO4S,136.14,"[['Ca', 1], ['O', 4], ['S', 1]]","{'Ca': 0.29438812986631413, 'O': 0.4700749228735126, 'S': 0.23552960188041722}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0878c1c6-4c1d-4f90-a2de-a9383855d5c6')",Gallium,"('natural resource', 'in ground')",kilogram,Gallium,Ga,69.723,"[['Ga', 1]]",{'Ga': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '3d73ec21-de4d-5b68-b504-4ef59e15bd0e')",Europium,"('natural resource', 'in ground')",kilogram,Europium,Eu,151.964,"[['Eu', 1]]",{'Eu': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '6ec6a8a8-4c94-5bc5-93c5-62928fcf3935')",Terbium,"('natural resource', 'in ground')",kilogram,Terbium,Tb,158.92535,"[['Tb', 1]]",{'Tb': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '7aaf1a4e-f72f-5dc6-b999-de4e99948eb8')",Indium,"('natural resource', 'in ground')",kilogram,Indium,In,114.818,"[['In', 1]]",{'In': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'fbcb9c7a-eea7-4694-ba6c-568e01d28883')",Lead,"('natural resource', 'in ground')",kilogram,Lead,Pb,207.0,"[['Pb', 1]]",{'Pb': 1.0},0.0205,valero_fallback
"('ecoinvent-3.12-biosphere', '35da65ff-7287-571d-b859-13d398ac5182')",Praseodymium,"('natural resource', 'in ground')",kilogram,Praseodymium,Pr,140.90766,"[['Pr', 1]]",{'Pr': 1.0},1.32e-05,valero_fallback
"('ecoinvent-3.12-biosphere', '110a04f0-af53-5499-b22e-79b1b91e5a66')",Erbium,"('natural resource', 'in ground')",kilogram,Erbium,Er,167.26,"[['Er', 1]]",{'Er': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '8459e05b-786c-4438-b630-bf2a8fa9320f')",Silicon dioxide,"('natural resource', 'in ground')",kilogram,Silicon dioxide,O2Si,60.084,"[['O', 2], ['Si', 1]]","{'O': 0.5325544238066706, 'Si': 0.46744557619332927}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'af01e564-f816-4906-bd4f-b7c932f926b9')",Oxygen,"('natural resource', 'in air')",kilogram,Oxygen,O2,31.999,"[['O', 2]]",{'O': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e16fd15c-0ebc-55ba-8d3b-9704f13663cb')",Arsenic,"('natural resource', 'in ground')",kilogram,Arsenic,As,74.92159,"[['As', 1]]",{'As': 1.0},0.00998,valero_fallback
"('ecoinvent-3.12-biosphere', 'f7519ca9-5ffc-41c3-a33e-806da82cfc0e')","Clay, unspecified","('natural resource', 'in ground')",kilogram,Clay,Al2O5Si,162.05,"[['Al', 2], ['O', 5], ['Si', 1]]","{'Al': 0.33300833076211045, 'O': 0.49364393705646403, 'Si': 0.17331687750694227}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '15545dca-018d-4f7f-aa1f-796b707180af')",Cinnabar,"('natural resource', 'in ground')",kilogram,Cinnabar,HgS,232.66,"[['Hg', 1], ['S', 1]]","{'Hg': 0.8621679704289522, 'S': 0.13781913521877417}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '483ae3c5-4eb0-46e4-b811-a72ad391716b')",Phosphorus,"('natural resource', 'in ground')",kilogram,Phosphorus,P,30.973762,"[['P', 1]]",{'P': 1.0},0.0169,valero_fallback
"('ecoinvent-3.12-biosphere', 'f3380341-7f76-5423-9704-c25ccf777a39')",Kieserite,"('natural resource', 'in ground')",kilogram,Kieserite,H4MgO5S+2,140.4,"[['H', 4], ['Mg', 1], ['O', 5], ['S', 1]]","{'H': 0.028717948717948718, 'Mg': 0.1731125356125356, 'O': 0.5697649572649572, 'S': 0.22838319088319087}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '2f033407-6060-4e1e-868c-9f362d10fdb2')",Titanium,"('natural resource', 'in ground')",kilogram,Titanium,Ti,47.867,"[['Ti', 1]]",{'Ti': 1.0},0.0021,valero_fallback
"('ecoinvent-3.12-biosphere', 'a34e010c-6f68-5c79-8b45-2955b91f7dc2')",Thulium,"('natural resource', 'in ground')",kilogram,Thulium,Tm,168.93422,"[['Tm', 1]]",{'Tm': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '8b9510df-0f5b-4cdd-9406-cb604df65981')",Calcium II,"('natural resource', 'in water')",kilogram,Calcium,Ca,40.08,"[['Ca', 1]]",{'Ca': 1.0},0.336,valero_fallback
"('ecoinvent-3.12-biosphere', 'a99250bc-bf0c-5d06-8fe3-ec126461c616')",Protactinium,"('natural resource', 'in ground')",kilogram,Protactinium,Pa,231.03588,"[['Pa', 1]]",{'Pa': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d')",Cerium,"('natural resource', 'in ground')",kilogram,Cerium,Ce,140.116,"[['Ce', 1]]",{'Ce': 1.0},0.000114,valero_fallback
"('ecoinvent-3.12-biosphere', '5324b57a-96f1-4dc3-9dc5-544881960f4f')",Spodumene,"('natural resource', 'in ground')",kilogram,Spodumene,AlLiO6Si2,186.1,"[['Al', 1], ['Li', 1], ['O', 6], ['Si', 2]]","{'Al': 0.1449865663621709, 'Li': 0.037297152068780225, 'O': 0.5158194519075766, 'Si': 0.30183772165502415}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'f0e37b5f-3f67-516a-afd5-442c83e094bc')",Thallium,"('natural resource', 'in ground')",kilogram,Thallium,Tl,204.383,"[['Tl', 1]]",{'Tl': 1.0},0.0005,valero_fallback
"('ecoinvent-3.12-biosphere', '775fdf03-b0bb-5c25-b14d-107231d5b2f0')",Tantalum,"('natural resource', 'in ground')",kilogram,Tantalum,Ta,180.9479,"[['Ta', 1]]",{'Ta': 1.0},0.00609,valero_fallback
"('ecoinvent-3.12-biosphere', 'a2a4f255-ad47-4cf8-b6a9-e10885d61407')",Sodium nitrate,"('natural resource', 'in ground')",kilogram,Sodium nitrate,NNaO3,84.995,"[['N', 1], ['Na', 1], ['O', 3]]","{'N': 0.16479792928995823, 'Na': 0.2704864992058356, 'O': 0.5647038061062415}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'bf377e4f-3a95-4ce2-a9ba-66ee31f00f60')",Cadmium,"('natural resource', 'in ground')",kilogram,Cadmium,Cd,112.41,"[['Cd', 1]]",{'Cd': 1.0},9.96e-05,valero_fallback
"('ecoinvent-3.12-biosphere', 'ea659cca-fe3d-5b03-90d2-60719a862874')",Ytterbium,"('natural resource', 'in ground')",kilogram,Ytterbium,Yb,173.05,"[['Yb', 1]]",{'Yb': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'be73218b-18af-492e-96e6-addd309d1e32')",Zinc,"('natural resource', 'in ground')",kilogram,Zinc,Zn,65.4,"[['Zn', 1]]",{'Zn': 1.0},0.0406,valero_fallback
"('ecoinvent-3.12-biosphere', 'cc6a1abb-b123-4ca6-8f16-38209df609be')","Carbon dioxide, in air","('natural resource', 'in air')",kilogram,Carbon dioxide,CO2,44.009,"[['C', 1], ['O', 2]]","{'C': 0.27292144788565975, 'O': 0.7270785521143402}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '54b9cbd0-65df-4fd3-8a19-dd3b8eccc619')",Mercury,"('natural resource', 'in ground')",kilogram,Mercury,Hg,200.59,"[['Hg', 1]]",{'Hg': 1.0},0.0038,valero_fallback
"('ecoinvent-3.12-biosphere', '852281f6-db73-4250-84d3-86b569fce0c1')",Sulfur,"('natural resource', 'in ground')",kilogram,Sulfur,S,32.07,"[['S', 1]]",{'S': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",Uranium,"('natural resource', 'in ground')",kilogram,Uranium,U,238.0289,"[['U', 1]]",{'U': 1.0},0.00333,valero_fallback
"('ecoinvent-3.12-biosphere', 'ec72c523-9e1a-466a-98c3-e4098e90fd27')",Colemanite,"('natural resource', 'in ground')",kilogram,Colemanite,B4CaO7,195.3,"[['B', 4], ['Ca', 1], ['O', 7]]","{'B': 0.22140296979006657, 'Ca': 0.20521249359959037, 'O': 0.5734408602150538}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '7b6da1f2-e191-5a77-ae06-af96201f5803')",Tellurium,"('natural resource', 'in ground')",kilogram,Tellurium,Te,127.6,"[['Te', 1]]",{'Te': 1.0},3.6e-07,valero_fallback
"('ecoinvent-3.12-biosphere', 'cd2932c5-a486-4bf1-99b8-815d8a7ce11a')",Zirconium,"('natural resource', 'in ground')",kilogram,Zirconium,Zr,91.22,"[['Zr', 1]]",{'Zr': 1.0},0.002,valero_fallback
"('ecoinvent-3.12-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Cobalt,"('natural resource', 'in ground')",kilogram,Cobalt,Co,58.93319,"[['Co', 1]]",{'Co': 1.0},0.0011,valero_fallback
"('ecoinvent-3.12-biosphere', 'a4375a18-172c-4f82-90b7-bca972f75548')",Granite,"('natural resource', 'in ground')",kilogram,Granite,C16H14F5N5O5S,483.4,"[['C', 16], ['H', 14], ['F', 5], ['N', 5], ['O', 5], ['S', 1]]","{'C': 0.3975506826644601, 'H': 0.0291932147290029, 'F': 0.1965039304923459, 'N': 0.14488001654944146, 'O': 0.16548407116259828, 'S': 0.06633223003723625}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'd0696f95-6cb3-453b-b849-c99ba9c90c28')",Ulexite,"('natural resource', 'in ground')",kilogram,Ulexite,B5CaH16NaO17,405.3,"[['B', 5], ['Ca', 1], ['H', 16], ['Na', 1], ['O', 17]]","{'B': 0.13335800641500123, 'Ca': 0.09888477670861091, 'H': 0.039792746113989634, 'Na': 0.056723414754502835, 'O': 0.6710658771280533}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '176598c1-699c-5dd8-8c33-d269ff7f5edd')",Lanthanum,"('natural resource', 'in ground')",kilogram,Lanthanum,La,138.9055,"[['La', 1]]",{'La': 1.0},6.53e-05,valero_fallback
"('ecoinvent-3.12-biosphere', 'e189e2d4-3d3f-4ada-b302-91611784311f')",Chromium,"('natural resource', 'in ground')",kilogram,Chromium,Cr,51.996,"[['Cr', 1]]",{'Cr': 1.0},0.296,valero_fallback
"('ecoinvent-3.12-biosphere', 'bce93928-22ea-41a6-b1c7-59c126f4b582')",Potassium I,"('natural resource', 'in water')",kilogram,Potassium,K,39.0983,"[['K', 1]]",{'K': 1.0},0.25,valero_fallback
"('ecoinvent-3.12-biosphere', 'd3e547dc-1a29-5ece-8dbb-bd9c0ad3cc46')",Germanium,"('natural resource', 'in ground')",kilogram,Germanium,Ge,72.63,"[['Ge', 1]]",{'Ge': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e6f4c904-1cb6-5c9c-a098-6505e98391ce')",Thorium,"('natural resource', 'in ground')",kilogram,Thorium,Th,232.038,"[['Th', 1]]",{'Th': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '240177d8-6f3b-43f5-8d1e-0c18114dfa02')",Barium,"('natural resource', 'in ground')",kilogram,Barium,Ba,137.33,"[['Ba', 1]]",{'Ba': 1.0},0.559,valero_fallback
"('ecoinvent-3.12-biosphere', '99ee393d-4bd1-4cc8-b0a0-d956865fb7bf')",Calcite,"('natural resource', 'in ground')",kilogram,Calcite,CCaO3,100.09,"[['C', 1], ['Ca', 1], ['O', 3]]","{'C': 0.12000199820161853, 'Ca': 0.4004196223398941, 'O': 0.47953841542611647}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '8c2fe757-6866-4ed2-9f89-81012ad774a0')","Carbon, organic, decrease in soil or biomass stock","('natural resource', 'in ground')",kilogram,Carbon,C,12.011,"[['C', 1]]",{'C': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '81ff5c0b-c44f-534e-a55e-8fc017e33dd2')",Kaolinite,"('natural resource', 'in ground')",kilogram,Kaolinite,Al2H4O9Si2,258.16,"[['Al', 2], ['H', 4], ['O', 9], ['Si', 2]]","{'Al': 0.20903315773163927, 'H': 0.01561822125813449, 'O': 0.5577587542609235, 'Si': 0.21758599318252245}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '8295f06e-f3d9-4a1d-83cf-1fa13a78ed7d')",Chloride,"('natural resource', 'in water')",kilogram,Chloride,Cl-,35.45,"[['Cl', 1]]",{'Cl': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c9c4b80a-73dd-415a-92fb-f877595651c1')",Vanadium,"('natural resource', 'in ground')",kilogram,Vanadium,V,50.9415,"[['V', 1]]",{'V': 1.0},0.02,valero_fallback
"('ecoinvent-3.12-biosphere', '26296ec9-ff93-41e6-bbbf-6175af04284d')",Feldspar,"('natural resource', 'in ground')",kilogram,Feldspar,AlKO8Si3,278.33,"[['Al', 1], ['K', 1], ['O', 8], ['Si', 3]]","{'Al': 0.09694247835303417, 'K': 0.14047353860525277, 'O': 0.45985700427550036, 'Si': 0.3027269787662128}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '09a68c14-01f6-4dee-ba29-8b7f400b72b5')",Perlite,"('natural resource', 'in ground')",kilogram,Perlite,Al6H10K2Na2O76Si30,2354.6,"[['Al', 6], ['H', 10], ['K', 2], ['Na', 2], ['O', 76], ['Si', 30]]","{'Al': 0.06875562728276566, 'H': 0.004280981907755033, 'K': 0.0332098870296441, 'Na': 0.019527732948271467, 'O': 0.516403635437017, 'Si': 0.35784421982502335}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c7aee986-b7d8-4ad9-ad45-1ac0d68e6b78')",Dolomite,"('natural resource', 'in ground')",kilogram,Dolomite,C2CaMgO6,184.4,"[['C', 2], ['Ca', 1], ['Mg', 1], ['O', 6]]","{'C': 0.1302711496746204, 'Ca': 0.2173427331887202, 'Mg': 0.1318058568329718, 'O': 0.5205748373101952}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '0407ec6b-8635-57d0-b250-b06e53b28d32')",Polonium,"('natural resource', 'in ground')",kilogram,Polonium,Po,208.98243,"[['Po', 1]]",{'Po': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Aluminium,"('natural resource', 'in ground')",kilogram,Aluminium,Al,26.981538,"[['Al', 1]]",{'Al': 1.0},0.243,valero_fallback
"('ecoinvent-3.12-biosphere', 'd13b2665-505d-49e2-8edd-dc966b0342af')",Platinum,"('natural resource', 'in ground')",kilogram,Platinum,Pt,195.08,"[['Pt', 1]]",{'Pt': 1.0},5.02e-07,valero_fallback
"('ecoinvent-3.12-biosphere', '419de9f0-ee00-4e95-9556-c8f06b17beec')","Carbon dioxide, non-fossil, resource correction","('natural resource', 'in air')",kilogram,Carbon dioxide,CO2,44.009,"[['C', 1], ['O', 2]]","{'C': 0.27292144788565975, 'O': 0.7270785521143402}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '9e5823ad-9d9b-4b98-b627-e39611b6a8bd')",Magnesium,"('natural resource', 'in ground')",kilogram,Magnesium,Mg,24.305,"[['Mg', 1]]",{'Mg': 1.0},0.42,valero_fallback
"('ecoinvent-3.12-biosphere', 'e58cbe2f-15da-5fbe-8899-d632e3cbdfe9')",Astatine,"('natural resource', 'in ground')",kilogram,Astatine,At2,419.97429,"[['At', 2]]",{'At': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'bc97531c-12d8-4113-bcb2-663a47d12d0f')",Talc,"('natural resource', 'in ground')",kilogram,Talc,H2Mg3O12Si4,379.27,"[['H', 2], ['Mg', 3], ['O', 12], ['Si', 4]]","{'H': 0.0053154744641020915, 'Mg': 0.1922509030505972, 'O': 0.5062040235188652, 'Si': 0.2962111424578796}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'cdf6212a-1fed-5c8f-b204-04b6ae233893')",Iridium,"('natural resource', 'in ground')",kilogram,Iridium,Ir,192.22,"[['Ir', 1]]",{'Ir': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'c52e8414-f232-4c6a-bff2-5726189789ee')",Xenon,"('natural resource', 'in air')",kilogram,Xenon,Xe,131.29,"[['Xe', 1]]",{'Xe': 1.0},1.0,stoichiometric
"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Nickel,"('natural resource', 'in ground')",kilogram,Nickel,Ni,58.693,"[['Ni', 1]]",{'Ni': 1.0},0.015,valero_fallback
"('ecoinvent-3.12-biosphere', 'f55e2203-ef91-50bf-8f5a-119bb210522c')",Gadolinium,"('natural resource', 'in ground')",kilogram,Gadolinium,Gd,157.25,"[['Gd', 1]]",{'Gd': 1.0},1.95e-06,valero_fallback
"('ecoinvent-3.12-biosphere', '238f8ea9-98df-41dc-ab93-ea5b549a0b96')",Gravel,"('natural resource', 'in ground')",kilogram,Gravel,C15H21NO,231.33,"[['C', 15], ['H', 21], ['N', 1], ['O', 1]]","{'C': 0.7788224614187523, 'H': 0.09150564129166125, 'N': 0.06054986383089093, 'O': 0.06916093891842821}",1.0,stoichiometric
"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Molybdenum,"('natural resource', 'in ground')",kilogram,Molybdenum,Mo,95.95,"[['Mo', 1]]",{'Mo': 1.0},0.0003,valero_fallback
"('ecoinvent-3.12-biosphere', '36a3d172-7373-507f-85bd-12b8ba31a6d4')",Iodine,"('natural resource', 'in water')",kilogram,Iodine,I2,253.8089,"[['I', 2]]",{'I': 1.0},1.0,stoichiometric
