0,1,2,3
"('ecoinvent-3.12-biosphere', '53546b0b-2a93-5d34-bef9-61d66f36eff4')",Flufenoxuron,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '53b9f77b-7336-5c15-9e01-62a25d3e3d75')",Phosgene,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '5298c766-a7f8-4bff-8409-369818561b7c')",Sodium perchlorate,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', 'af6a28b7-4842-41f2-b8bf-346409c16d33')",Ethanol,"('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.12-biosphere', 'a3a7a64e-4ac8-5d6b-97f0-c5f80583006e')",Glyphosate-isopropylammonium,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', '839fec92-b6b6-5cb4-80ff-3518952250fc')",Dimefuron,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'dfcd1bc5-ca17-5ab2-a076-967c3e1bc1e1')",Triallate,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', '9027180e-4940-57e9-a242-9f0bc9275018')",MCPA-sodium,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '0f311738-d339-51ed-9fd3-3d512f4749c7')",Tribenuron,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', 'e5928649-f981-5fee-b84d-017dd2e3f8db')",Flurochloridone,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', 'b468d9af-f8a7-59f1-b82d-289dee4eae9e')",Azoxystrobin,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '6be9465e-b5e0-5c1b-a4db-b7d53b728508')",Aldicarb,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '77c46f0e-c8c0-4bc3-992c-2a9725d49f70')",Bromine,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.12-biosphere', '39b0b096-7040-5c38-b804-500a70780671')",Triadimenol,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', '78a0fa8b-3e30-45c2-ad50-290c3b608c84')",Acetic acid,"('water', 'ground-')",kilogram
"('ecoinvent-3.12-biosphere', 'ce0399dc-3d7c-5eed-a4da-ec310d91b624')",Tetraconazole,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', '423112a9-b4c4-4041-8854-57bffde7b9cc')",Thiophanate-methyl,"('soil', 'agricultural')",kilogram
"('ecoinvent-3.12-biosphere', 'dc293dc1-711d-5677-a506-9e9842e392b1')","2,4-D isopropylamine salt","('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '8f053981-46d9-513e-a0ad-17ef2b4e8f90')",Vinclozolin,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '76595b29-7671-5158-8cc9-e284ca0b6e42')",Chlorthal-dimethyl,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '39d92ee0-889e-5d07-88c5-c54b5fdca76e')",Aluminium phosphide,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '105575d1-6fe6-56a0-b5e5-9a5a03f0017f')",Iodosulfuron-methyl-sodium,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '619de92e-6f40-5c7e-820f-4bdbbce5bcb9')",Niclosamide,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '5c91a905-8d1d-4b84-b207-9b6332b4425e')",Butyl acetate,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '7f0ba7c9-341e-413d-80f6-8753727d65d1')","Methane, from soil or biomass stock","('air',)",kilogram
"('ecoinvent-3.12-biosphere', '3a186b58-a833-5758-beec-515ba7557e53')",Asulam-sodium,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', 'd5a6fcba-b958-4b06-b193-b712eeb65cf4')",Trimethyl borate,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '2fdf7032-fd48-5024-8462-8e304b0b7f7a')",Fluoroglycofen,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '0196f2a5-c573-5009-806e-6263092cfc40')",Pymetrozine,"('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '2712fe5f-0d3c-4c8e-8bc4-26c604413849')",Cadmium II,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', 'a24fcdab-2956-5a85-b239-2cfb8aa51756')",Copper,"('soil', 'forestry')",kilogram
"('ecoinvent-3.12-biosphere', '760b08ca-dfd0-5a5b-8f61-c5306ac18225')",Tricyclazole,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '57451d05-7e9c-502e-bfd8-e0954d30ba1b')",Bromofenoxim,"('air',)",kilogram
"('ecoinvent-3.12-biosphere', '4f722a22-e077-4626-830a-c57d856decc0')",Perchlorate,"('water',)",kilogram
"('ecoinvent-3.12-biosphere', '21f77eaa-6f3e-426d-8932-fde33cd936d6')","Oils, unspecified","('soil',)",kilogram
"('ecoinvent-3.12-biosphere', '8812d4ee-4378-5a3b-a411-4bed7f882737')",Napropamide,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '5729136f-3b14-500e-986f-a01f60a10f4f')",Furfural,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.12-biosphere', '41f51057-8951-5be7-9b2f-bdcd014dd5eb')",Mesosulfuron,"('water', 'surface water')",kilogram
"('ecoinvent-3.12-biosphere', 'd235002e-f92e-527d-af8f-650e8d523dc4')",m-Toluidine,"('water',)",kilogram
