0,1,2,3
"('ecoinvent-3.4-biosphere', '68ab2496-c441-4102-a3fa-0d71a24106ab')","Fungicides, unspecified","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '86b8d6ec-2f99-4f25-a1aa-394807abdb90')","Solids, inorganic","('water', 'ground-, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'e12889f1-01f0-4e2f-8ec7-247350cfff75')","Chlorinated solvents, unspecified","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '017be306-b88a-4d3a-a906-b8734b72b6fb')","Carboxylic acids, unspecified","('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'ad66ad26-6fee-4457-b99b-ad8476062ca1')","Carboxylic acids, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '295c9740-6fdb-4676-9eb8-15e3786f713d')","Particulates, > 2.5 um, and < 10um","('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', 'eb71ce59-d412-4e1e-a496-06134cf9d3d3')","Disinfectants, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '77357947-ccc5-438e-9996-95e65e1e1bce')",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",kilogram
"('ecoinvent-3.4-biosphere', '5d830756-4153-4cc9-ade4-69f8c19e150f')","Oils, unspecified","('water', 'ocean')",kilogram
"('ecoinvent-3.4-biosphere', '3844f446-ded5-4727-8421-17a00ef4eba7')","Suspended solids, unspecified","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', '78457869-af20-404f-a3bf-bad384fc177b')",Methyl amine,"('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'd6911d36-3fec-41fe-8ef9-540f6543a240')","1,4-Butanediol","('water', 'surface water')",kilogram
"('ecoinvent-3.4-biosphere', 'b50cbca2-b548-44e2-8acd-afa34d55e055')","Hydrocarbons, aromatic","('water', 'ground-')",kilogram
"('ecoinvent-3.4-biosphere', '85403ceb-612c-494a-bcab-901946278f58')","Oils, unspecified","('soil', 'agricultural')",kilogram
"('ecoinvent-3.4-biosphere', '2649e223-09c0-5ced-9604-6cd6332e7cf9')",Dimethyl hexanediol,"('water',)",kilogram
"('ecoinvent-3.4-biosphere', '5d691e58-2074-4661-8525-d98a173e1c99')",Polychlorinated biphenyls,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '34837fe3-4332-493c-86bb-95a207d9c234')","Hydrocarbons, aliphatic, unsaturated","('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', 'e9bf9e2d-4bd1-4679-86ff-e34f6b750ea0')","Oils, unspecified","('soil', 'industrial')",kilogram
"('ecoinvent-3.4-biosphere', 'd835b7aa-288b-4b3a-966b-3f64f36ed220')","1,4-Butanediol","('water',)",kilogram
"('ecoinvent-3.4-biosphere', '051aaf7a-6c1a-4e86-999f-85d5f0830df6')","Particulates, < 2.5 um","('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', '84cd61aa-92a0-40d1-aad5-e9e5c0d4c93e')","Hydrocarbons, aliphatic, alkanes, unspecified","('air', 'lower stratosphere + upper troposphere')",kilogram
"('ecoinvent-3.4-biosphere', 'b42ad523-227d-4774-bcc6-a5f4f7ba2bb2')",Methyl amine,"('air', 'low population density, long-term')",kilogram
"('ecoinvent-3.4-biosphere', 'd068f3e2-b033-417b-a359-ca4f25da9731')",Nitrogen oxides,"('air', 'urban air close to ground')",kilogram
"('ecoinvent-3.4-biosphere', '6296baee-87bd-4e6e-bd20-c1578b7a7247')","Indeno(1,2,3-cd)pyrene","('water',)",kilogram
"('ecoinvent-3.4-biosphere', 'fc0b5c85-3b49-42c2-a3fd-db7e57b696e3')","COD, Chemical Oxygen Demand","('water', 'surface water')",kilogram
