0,1,2,3
"('ecoinvent-3.12-biosphere', '0d218f74-181d-49b6-978c-8af836611102')",Gangue,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '11a2a7b1-ab2f-47b8-9e29-6f33d5207fa6')",Gypsum,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '9877ce00-65f8-4c0c-9fcf-92aa53a2c9c0')",Diatomite,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '55219a64-a6ed-4675-9210-7ed14c82a05f')","Fish, demersal, in ocean","('natural resource', 'biotic')",kilogram
"('ecoinvent-3.12-biosphere', 'ac3a8914-35f0-4c34-a956-f26b3a053e4a')",Basalt,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '88d06db9-59a1-4719-9174-afeb1fa4026a')","Oil, crude","('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '4402f445-984c-4728-be22-6f9aea1146b9')",Pumice,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '9e9b6792-40e6-4d62-a3e0-ebebc0c65166')",Shale,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', '86fb18d4-a425-407a-94bc-194254e4d7d7')",Laterite,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', 'd22719d0-8afd-45d3-b9eb-222112f84cc7')","Fish, pelagic, in ocean","('natural resource', 'biotic')",kilogram
"('ecoinvent-3.12-biosphere', 'aaceb467-2e6a-464e-9a0f-2545e31850ba')",Pyrolusite,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', 'd5b20a8b-48ac-4dcf-9f6e-dd5da5248c05')",Steatite,"('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', 'b6d0042d-0ef8-49ed-9162-a07ff1ccf750')","Coal, hard","('natural resource', 'in ground')",kilogram
"('ecoinvent-3.12-biosphere', 'c5035ce2-5ee5-431f-a287-4b25da42be74')",Peat,"('natural resource', 'biotic')",kilogram
"('ecoinvent-3.12-biosphere', '024c9722-1e88-412b-8c4b-10c532be8dca')","Coal, brown","('natural resource', 'in ground')",kilogram
