Flow Key,Flow Name,Cleaned Name,Molecular Formula,Molecular Weight,CF1,composition,grade_source
"('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",multi_element_ore,multi,,4.6799845656829836e-17,"{'Cu': 0.0027, 'Mo': 8.2e-05}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '7005a356-23d8-4d38-9dbc-fa75401b400e')","Rh, Rh 2.0E-5%, Pt 2.5E-4%, Pd 7.3E-4%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground",multi_element_ore,multi,,2.479348455018202e-15,"{'Rh': 2.0000000000000002e-07, 'Pt': 2.5e-06, 'Pd': 7.2999999999999996e-06, 'Ni': 0.023, 'Cu': 0.032}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'febbfa6e-44d4-42a0-abcd-aec8a428f75e')","Ni, Ni 3.7E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Cu 5.2E-2% in ore, in ground",multi_element_ore,multi,,3.9949409580727685e-17,"{'Ni': 0.00037, 'Pt': 4.8e-06, 'Pd': 2e-06, 'Rh': 2.4000000000000003e-07, 'Cu': 0.00052}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",multi_element_ore,multi,,5.743385675227064e-15,{'Zn': 0.053},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '6f70e7c7-ef61-4489-b4f3-157e7e8541ef')","Silver, Ag 4.6E-5%, Au 1.3E-4%, in ore, in ground",multi_element_ore,multi,,7.222901903772732e-20,"{'Ag': 4.6e-07, 'Au': 1.2999999999999998e-06}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')","Aluminium, in ground",Aluminium,Al,26.981538,4.5150432834172855e-14,{'Al': 0.703},valero_fallback
"('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')","Iron, 72% in magnetite, 14% in crude ore, in ground",Iron,Fe,55.84,1.3503316153134672e-15,{'Fe': 0.14},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')","Lead, Pb 0.014%, in mixed ore, in ground",multi_element_ore,multi,,1.6597356591276228e-17,{'Pb': 0.00014000000000000001},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')","Tin, 79% in cassiterite, 0.1% in crude ore, in ground",Tin,Sn,118.71,1.3268575464212294e-16,{'Sn': 0.001},parsed_crude_ore
"('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",multi_element_ore,multi,,3.556576412416334e-15,{'Pb': 0.03},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'adfff256-b19a-4083-9783-ffbc7a7cb437')","Silver, Ag 1.5E-5%, Au 5.4E-4%, in ore, in ground",multi_element_ore,multi,,2.3552940990563256e-20,"{'Ag': 1.5e-07, 'Au': 5.4e-06}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'eda28c96-8899-4d84-bf18-35c3f1de518e')","Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",multi_element_ore,multi,,1.1210613828398327e-16,"{'Mo': 0.00041, 'Cu': 0.0036}",parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '45ed0c16-0e34-45f1-8bf9-3b1ce8489e73')","Silver, Ag 1.8E-6%, in mixed ore, in ground",multi_element_ore,multi,,2.8263529188675907e-21,{'Ag': 1.8e-08},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', 'c3b2ba62-b158-47b1-8e1e-e76156e5292a')","Zinc, Zn 3.1%, in mixed ore, in ground",multi_element_ore,multi,,3.359338791170547e-15,{'Zn': 0.031},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')","Copper, Cu 6.8E-1%, in mixed ore, in ground",multi_element_ore,multi,,8.372454666678061e-17,{'Cu': 0.0068000000000000005},parsed_crude_ore_multi
"('ecoinvent-3.4-biosphere', '8508a83c-6a37-4159-93cc-21a2645390ab')","Cu, Cu 5.2E-2%, Pt 4.8E-4%, Pd 2.0E-4%, Rh 2.4E-5%, Ni 3.7E-2% in ore, in ground",multi_element_ore,multi,,3.9949409580727685e-17,"{'Cu': 0.00052, 'Pt': 4.8e-06, 'Pd': 2e-06, 'Rh': 2.4000000000000003e-07, 'Ni': 0.00037}",parsed_crude_ore_multi
