flow,amount,categories,unit
Aluminium,10638.377309290552,"('water', 'ground-, long-term')",kilogram
"Iron, ion",401.00536599176286,"('water', 'ground-, long-term')",kilogram
Aluminium,234.09423762013552,"('air',)",kilogram
Aluminium,68.19799768273481,"('air', 'low population density, long-term')",kilogram
Molybdenum,61.35956737231019,"('water', 'ground-, long-term')",kilogram
"Nickel, ion",44.529752029053114,"('water', 'ground-, long-term')",kilogram
Aluminium,39.31630366119227,"('water', 'surface water')",kilogram
"Iron, ion",38.55279092146465,"('water', 'ground-')",kilogram
"Copper, ion",27.314259471786563,"('water', 'ground-, long-term')",kilogram
Molybdenum,25.485749042810465,"('water', 'surface water')",kilogram
Aluminium,14.727537892992716,"('soil', 'agricultural')",kilogram
"Silver, ion",13.417071651640974,"('water', 'ground-, long-term')",kilogram
Aluminium,11.034474122831613,"('soil', 'industrial')",kilogram
Molybdenum,9.648360572811614,"('water', 'ground-')",kilogram
"Silver, ion",8.75495470101984,"('water',)",kilogram
Iron,5.585958059726473,"('air', 'low population density, long-term')",kilogram
Aluminium,4.653745627381719,"('water', 'ground-')",kilogram
Aluminium,3.710550161163875,"('air', 'urban air close to ground')",kilogram
Manganese,3.2425865620005316,"('water', 'ground-, long-term')",kilogram
Iron,2.4472179258462985,"('soil',)",kilogram
Aluminium,2.301073840450164,"('water', 'ocean')",kilogram
"Zinc, ion",2.162672726602279,"('water', 'ground-, long-term')",kilogram
Uranium,1.8525109417638017,"('air', 'urban air close to ground')",kilogram
Iron,1.662285836312071,"('soil', 'industrial')",kilogram
"Iron, ion",1.3651313752838492,"('water', 'surface water')",kilogram
Iron,1.248437071325662,"('soil', 'agricultural')",kilogram
"Silver, ion",1.0561429923046448,"('water', 'surface water')",kilogram
Aluminium,1.0106741257123975,"('water',)",kilogram
Silver,0.7964643648873063,"('air', 'low population density, long-term')",kilogram
Molybdenum,0.6401639518733788,"('air', 'low population density, long-term')",kilogram
Chromium VI,0.6360419769295149,"('water', 'ground-, long-term')",kilogram
"Silver, ion",0.5025442385770171,"('water', 'ground-')",kilogram
Nickel,0.4038201327075623,"('air', 'urban air close to ground')",kilogram
"Iron, ion",0.3987171950959015,"('water',)",kilogram
Molybdenum,0.30803919936640517,"('air', 'urban air close to ground')",kilogram
Molybdenum,0.2240972971606755,"('air',)",kilogram
Molybdenum,0.21566320254186314,"('air', 'non-urban air or from high stacks')",kilogram
Nickel,0.20655834480084362,"('air', 'non-urban air or from high stacks')",kilogram
Iron,0.1759465250865103,"('air', 'urban air close to ground')",kilogram
"Nickel, ion",0.13908499521599713,"('water', 'ground-')",kilogram
Copper,0.12274740498823068,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.08325001135613712,"('air', 'low population density, long-term')",kilogram
Chromium,0.083023760779087,"('air', 'non-urban air or from high stacks')",kilogram
Iron,0.07840935821741943,"('air',)",kilogram
Lead,0.07782316506296268,"('water', 'ground-, long-term')",kilogram
Chromium VI,0.07173228822775479,"('water', 'surface water')",kilogram
"Nickel, ion",0.06073364825248427,"('water', 'surface water')",kilogram
Copper,0.05935721072619591,"('air', 'urban air close to ground')",kilogram
"Silver, ion",0.035801609091132426,"('water', 'ocean')",kilogram
Copper,0.03408598237296851,"('air',)",kilogram
Manganese,0.028089288125830992,"('water', 'ground-')",kilogram
Manganese,0.02592935509779343,"('soil', 'agricultural')",kilogram
Nickel,0.025608132416860524,"('air', 'low population density, long-term')",kilogram
"Zinc, ion",0.024353220195329428,"('water', 'ocean')",kilogram
Zinc,0.017907620925300443,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.0167417395762727,"('soil', 'agricultural')",kilogram
"Copper, ion",0.016452837148375022,"('water', 'surface water')",kilogram
Aluminium,0.015930232841261553,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",0.014646695601868725,"('water',)",kilogram
Molybdenum,0.01419037179057863,"('soil', 'agricultural')",kilogram
Lead,0.012590250119840385,"('air', 'non-urban air or from high stacks')",kilogram
"Zinc, ion",0.01106447281815149,"('water', 'surface water')",kilogram
Lead,0.010497269053081246,"('water', 'surface water')",kilogram
Zinc,0.009548387004586198,"('air', 'urban air close to ground')",kilogram
"Copper, ion",0.00928124943189853,"('water', 'ground-')",kilogram
Zinc,0.008975044123832326,"('soil', 'agricultural')",kilogram
Nickel,0.008066325665465151,"('soil', 'agricultural')",kilogram
"Iron, ion",0.00788534910890933,"('water', 'ocean')",kilogram
Aluminium,0.0077189213751326195,"('soil',)",kilogram
Molybdenum,0.007453626631000191,"('water', 'ocean')",kilogram
Chromium VI,0.007175013581380046,"('water', 'ground-')",kilogram
"Zinc, ion",0.007034849566461291,"('water', 'ground-')",kilogram
"Copper, ion",0.006953805011159906,"('water',)",kilogram
Manganese,0.006765456053024881,"('water', 'surface water')",kilogram
Molybdenum,0.006636295447627084,"('water',)",kilogram
Lead,0.004862260927070014,"('air', 'low population density, long-term')",kilogram
"Tin, ion",0.004337636784905756,"('water', 'ground-, long-term')",kilogram
Nickel,0.0037330072654010557,"('air',)",kilogram
"Chromium, ion",0.003408831796474904,"('water', 'surface water')",kilogram
Zinc,0.003348044268297872,"('air', 'low population density, long-term')",kilogram
Chromium,0.003269554791751224,"('soil', 'agricultural')",kilogram
Zinc,0.003210389135785094,"('air',)",kilogram
Iron,0.0030741109465180533,"('water', 'ground-')",kilogram
Lead,0.0028839512579386124,"('air', 'urban air close to ground')",kilogram
Manganese,0.002820045292390821,"('air', 'low population density, long-term')",kilogram
Iron,0.002766199165921835,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.002636488371508405,"('soil',)",kilogram
Chromium VI,0.002501571589604031,"('air', 'non-urban air or from high stacks')",kilogram
Chromium,0.002415481395022294,"('air', 'urban air close to ground')",kilogram
Silver,0.0016172228154237155,"('air', 'urban air close to ground')",kilogram
"Chromium, ion",0.0015399744494247168,"('water',)",kilogram
Zinc,0.00136876409243432,"('soil',)",kilogram
Zinc,0.001357838786501379,"('soil', 'industrial')",kilogram
Chromium,0.0013086977023289387,"('soil', 'industrial')",kilogram
Lead,0.001252344084487374,"('air',)",kilogram
Manganese,0.0012147270731861766,"('air', 'urban air close to ground')",kilogram
Manganese,0.0011968504298234697,"('air', 'non-urban air or from high stacks')",kilogram
"Copper, ion",0.0010850722020819014,"('water', 'ocean')",kilogram
Chromium VI,0.0010430862853876798,"('air', 'low population density, long-term')",kilogram
Uranium,0.0010288087728188818,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,0.0008116659946356677,"('soil', 'industrial')",kilogram
"Chromium, ion",0.0008087768133263111,"('water', 'ocean')",kilogram
"Zinc, ion",0.0008021259710877732,"('water',)",kilogram
Chromium,0.0007530196989626971,"('air',)",kilogram
"Nickel, ion",0.0006262644597842069,"('water', 'ocean')",kilogram
Chromium VI,0.0005361385668551966,"('soil',)",kilogram
Lead,0.00040164946394652564,"('water',)",kilogram
Lead,0.00039235280854106624,"('water', 'ocean')",kilogram
Nickel,0.0003703175967918064,"('soil', 'industrial')",kilogram
Lead,0.00036858426646160157,"('soil', 'agricultural')",kilogram
Molybdenum,0.0003604833237192234,"('soil',)",kilogram
Silver,0.00026099917713854384,"('air', 'non-urban air or from high stacks')",kilogram
Copper,0.00023823148434334716,"('soil', 'industrial')",kilogram
Silver,0.00018615925641897628,"('soil',)",kilogram
Nickel,0.00014723819361040476,"('soil',)",kilogram
Manganese,0.00014423703820430056,"('water',)",kilogram
Silver,0.00012041627923803731,"('air',)",kilogram
Manganese,0.00010720529791060753,"('water', 'ocean')",kilogram
Chromium VI,0.00010148957725518933,"('air', 'urban air close to ground')",kilogram
Tin,9.662719349294933e-05,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,8.771283867280113e-05,"('water',)",kilogram
Manganese,7.70434313474002e-05,"('air',)",kilogram
Tin,6.987122724806476e-05,"('air',)",kilogram
Lead,5.8978233983824046e-05,"('water', 'ground-')",kilogram
Uranium,4.9464149126202366e-05,"('air',)",kilogram
Lead,4.312252347605938e-05,"('soil', 'industrial')",kilogram
"Tin, ion",3.951732830555588e-05,"('water', 'surface water')",kilogram
Lead,3.3592759962014684e-05,"('soil',)",kilogram
Tin,3.2809928315893256e-05,"('air', 'low population density, long-term')",kilogram
"Chromium, ion",2.4928580439786702e-05,"('water', 'ground-')",kilogram
"Tin, ion",1.3594167636436353e-05,"('water',)",kilogram
Chromium,1.3532076626999959e-05,"('soil',)",kilogram
Mancozeb,8.88235303089759e-06,"('soil', 'agricultural')",kilogram
Dichromate,7.701739512047613e-06,"('water',)",kilogram
"Tin, ion",4.735895928851993e-06,"('water', 'ground-')",kilogram
Manganese,2.235237281227394e-06,"('soil',)",kilogram
Antimony,1.4244714918627944e-06,"('water', 'ground-, long-term')",kilogram
Tin,5.929049520148167e-07,"('air', 'urban air close to ground')",kilogram
Chromium VI,4.633747768330301e-07,"('air',)",kilogram
"Lithium, ion",4.392705698138512e-07,"('water',)",kilogram
Antimony,3.2762484600915444e-07,"('water', 'surface water')",kilogram
Antimony,2.3454943141850513e-07,"('air',)",kilogram
Sodium dichromate,1.920380268276617e-07,"('air', 'urban air close to ground')",kilogram
Tin,1.6262647790804576e-07,"('soil', 'agricultural')",kilogram
Dichromate,1.1714949265160316e-07,"('water', 'surface water')",kilogram
Antimony,9.966681573725448e-08,"('water', 'ground-')",kilogram
Antimony,2.458466437999526e-08,"('air', 'non-urban air or from high stacks')",kilogram
Antimony,3.4758284635397513e-09,"('air', 'low population density, long-term')",kilogram
Cu-HDO,2.233619427830448e-09,"('water',)",kilogram
Antimony,4.3637238963741873e-10,"('air', 'urban air close to ground')",kilogram
Antimony,3.4064321505297557e-10,"('water',)",kilogram
Copper,1.3694360984039708e-10,"('air', 'lower stratosphere + upper troposphere')",kilogram
Silver,6.587719210906634e-11,"('soil', 'agricultural')",kilogram
Antimony,2.6915074161659357e-11,"('soil',)",kilogram
Chromium IV,1.3323100520944021e-11,"('air', 'urban air close to ground')",kilogram
Nickel,8.001290401391025e-12,"('air', 'lower stratosphere + upper troposphere')",kilogram
Zinc,4.2734796811559014e-12,"('air', 'lower stratosphere + upper troposphere')",kilogram
Chromium,6.62875313187593e-13,"('air', 'lower stratosphere + upper troposphere')",kilogram
"Lithium, ion",3.448964009049937e-13,"('water', 'surface water')",kilogram
Antimony,2.6565054609304093e-13,"('soil', 'agricultural')",kilogram
Lithium,2.369982936057097e-13,"('soil',)",kilogram
Lithium,2.369982936057097e-13,"('water', 'ground-')",kilogram
Lead,8.892976997165673e-14,"('air', 'lower stratosphere + upper troposphere')",kilogram
Lithium,4.1819300421945586e-16,"('air', 'urban air close to ground')",kilogram
