,flow,amount,categories,unit
1238,Aluminium,1486883.7667734202,"('water', 'ground-, long-term')",kilogram
740,Aluminium,32718.422339524193,"('air',)",kilogram
739,Aluminium,9531.763419629273,"('air', 'low population density, long-term')",kilogram
1240,Aluminium,5495.0836940431545,"('water', 'surface water')",kilogram
1447,"Iron, ion",-4772.532129883696,"('water', 'ground-, long-term')",kilogram
1120,Aluminium,2058.4095093626297,"('soil', 'agricultural')",kilogram
1121,Aluminium,1542.244646069415,"('soil', 'industrial')",kilogram
1472,Manganese,1217.8725942928834,"('water', 'ground-, long-term')",kilogram
1536,Phosphate,-1148.6912318646857,"('water', 'ground-, long-term')",kilogram
1465,"Lithium, ion",1014.8130277623139,"('water',)",kilogram
1237,Aluminium,650.4355529864279,"('water', 'ground-')",kilogram
26,Aluminium,518.6088667502801,"('air', 'urban air close to ground')",kilogram
294,"Iron, ion",-458.8328460750769,"('water', 'ground-')",kilogram
1239,Aluminium,321.6119564141016,"('water', 'ocean')",kilogram
459,Phosphate,-159.86895708443825,"('water', 'ground-')",kilogram
1241,Aluminium,141.25791061267583,"('water',)",kilogram
1685,"Zinc, ion",140.97243437085214,"('water', 'ground-, long-term')",kilogram
1356,Cobalt,-58.91754907495114,"('water', 'ground-, long-term')",kilogram
1500,"Nickel, ion",-44.667321344023954,"('water', 'ground-, long-term')",kilogram
1367,"Copper, ion",24.995840279912354,"('water', 'ground-, long-term')",kilogram
1492,Molybdenum,19.282188421399447,"('water', 'ground-, long-term')",kilogram
1449,"Iron, ion",-16.246997927175663,"('water', 'surface water')",kilogram
1471,Manganese,10.549964834413105,"('water', 'ground-')",kilogram
1165,Manganese,9.738722577635205,"('soil', 'agricultural')",kilogram
1494,Molybdenum,8.008873532666662,"('water', 'surface water')",kilogram
1450,"Iron, ion",-4.7452996535996075,"('water',)",kilogram
1491,Molybdenum,3.031988563310996,"('water', 'ground-')",kilogram
1474,Manganese,2.5410157469438612,"('water', 'surface water')",kilogram
738,Aluminium,2.2265054081045963,"('air', 'non-urban air or from high stacks')",kilogram
1249,Antimony,1.710365349558828,"('water', 'ground-, long-term')",kilogram
1686,"Zinc, ion",1.587449036312904,"('water', 'ocean')",kilogram
1122,Aluminium,1.0788429998306237,"('soil',)",kilogram
930,Manganese,1.0591716861210136,"('air', 'low population density, long-term')",kilogram
910,Iron,-0.7225649881932326,"('air', 'low population density, long-term')",kilogram
1687,"Zinc, ion",0.7212305630059331,"('water', 'surface water')",kilogram
716,"Zinc, ion",0.45856215626987096,"('water', 'ground-')",kilogram
318,Manganese,0.45623541074145996,"('air', 'urban air close to ground')",kilogram
929,Manganese,0.44952118010702563,"('air', 'non-urban air or from high stacks')",kilogram
1250,Antimony,0.39337971133126637,"('water', 'surface water')",kilogram
1159,Iron,-0.3165569760439599,"('soil',)",kilogram
1166,Manganese,0.3048510044945076,"('soil', 'industrial')",kilogram
130,Cobalt,-0.2875215675735785,"('air', 'urban air close to ground')",kilogram
746,Antimony,0.28162390230240997,"('air',)",kilogram
1158,Iron,-0.21502301536209947,"('soil', 'industrial')",kilogram
1589,"Silver, ion",0.20529057904942902,"('water', 'ground-, long-term')",kilogram
959,Molybdenum,0.20117094153731868,"('air', 'low population density, long-term')",kilogram
819,Cobalt,-0.16550034398363697,"('air', 'non-urban air or from high stacks')",kilogram
1157,Iron,-0.16149009857524643,"('soil', 'agricultural')",kilogram
387,"Nickel, ion",-0.1395146815861818,"('water', 'ground-')",kilogram
1592,"Silver, ion",0.13395692940970944,"('water',)",kilogram
1538,Phosphate,-0.12680885554532992,"('water', 'surface water')",kilogram
1348,Chromium VI,0.12658327334918051,"('water', 'ground-, long-term')",kilogram
1248,Antimony,0.11967011562649363,"('water', 'ground-')",kilogram
1355,Cobalt,-0.11414975414683633,"('water', 'ground-')",kilogram
367,Molybdenum,0.09680103914879387,"('air', 'urban air close to ground')",kilogram
1448,"Iron, ion",-0.09384682891847529,"('water', 'ocean')",kilogram
960,Molybdenum,0.07042237247794662,"('air',)",kilogram
958,Molybdenum,0.06777196588989037,"('air', 'non-urban air or from high stacks')",kilogram
820,Cobalt,-0.06469233957910034,"('air', 'low population density, long-term')",kilogram
1502,"Nickel, ion",-0.06092127755660264,"('water', 'surface water')",kilogram
1644,"Tin, ion",0.05824946661230056,"('water', 'ground-, long-term')",kilogram
1475,Manganese,0.054173522449503235,"('water',)",kilogram
1688,"Zinc, ion",0.0522860668770631,"('water',)",kilogram
1473,Manganese,0.040264890941810925,"('water', 'ocean')",kilogram
744,Antimony,0.02951884844749648,"('air', 'non-urban air or from high stacks')",kilogram
931,Manganese,0.028936493078659888,"('air',)",kilogram
1456,Lead,-0.027906366980375182,"('water', 'ground-, long-term')",kilogram
1358,Cobalt,-0.024795225238563288,"('water', 'surface water')",kilogram
292,Iron,-0.022759354342162728,"('air', 'urban air close to ground')",kilogram
1537,Phosphate,-0.018846209482608997,"('water', 'ocean')",kilogram
1591,"Silver, ion",0.016159726360461042,"('water', 'surface water')",kilogram
1369,"Copper, ion",0.015056329458134548,"('water', 'surface water')",kilogram
1148,Cobalt,-0.015018270240462685,"('soil', 'agricultural')",kilogram
1503,"Nickel, ion",-0.014691944806922035,"('water',)",kilogram
1349,Chromium VI,0.014275956899150271,"('water', 'surface water')",kilogram
1113,Zinc,0.010442035019247778,"('air', 'non-urban air or from high stacks')",kilogram
911,Iron,-0.010142549655552351,"('air',)",kilogram
143,"Copper, ion",0.00849346212872411,"('water', 'ground-')",kilogram
534,"Silver, ion",0.007689278287696431,"('water', 'ground-')",kilogram
1370,"Copper, ion",0.0063635698993101154,"('water',)",kilogram
714,Zinc,0.0055677184532286865,"('air', 'urban air close to ground')",kilogram
1206,Zinc,0.005233398977523797,"('soil', 'agricultural')",kilogram
920,Lead,-0.004514698675320142,"('air', 'non-urban air or from high stacks')",kilogram
1170,Molybdenum,0.0044593114709463545,"('soil', 'agricultural')",kilogram
745,Antimony,0.004173433163814633,"('air', 'low population density, long-term')",kilogram
1458,Lead,-0.003764183097025386,"('water', 'surface water')",kilogram
1493,Molybdenum,0.0023422954117268448,"('water', 'ocean')",kilogram
384,Nickel,-0.002313257013822846,"('air', 'urban air close to ground')",kilogram
1495,Molybdenum,0.0020854498283012102,"('water',)",kilogram
1114,Zinc,0.0019522635441855396,"('air', 'low population density, long-term')",kilogram
824,Copper,0.0019065668238455462,"('air', 'non-urban air or from high stacks')",kilogram
1116,Zinc,0.0018719960580535972,"('air',)",kilogram
921,Lead,-0.0017435430398567945,"('air', 'low population density, long-term')",kilogram
1347,Chromium VI,0.0014279508875191143,"('water', 'ground-')",kilogram
1359,Cobalt,-0.0014012229488096657,"('water',)",kilogram
825,Copper,0.00129307588825682,"('air', 'low population density, long-term')",kilogram
964,Nickel,-0.0011832558636203957,"('air', 'non-urban air or from high stacks')",kilogram
307,Lead,-0.0010341471217784177,"('air', 'urban air close to ground')",kilogram
1368,"Copper, ion",0.0009929718754933536,"('water', 'ocean')",kilogram
134,Copper,0.0009219623725440465,"('air', 'urban air close to ground')",kilogram
1167,Manganese,0.0008395255375600772,"('soil',)",kilogram
1208,Zinc,0.0007981340819033601,"('soil',)",kilogram
1464,"Lithium, ion",0.000796787640508315,"('water', 'surface water')",kilogram
1207,Zinc,0.0007917634742372919,"('soil', 'industrial')",kilogram
1501,"Nickel, ion",-0.0006281992285353756,"('water', 'ocean')",kilogram
1590,"Silver, ion",0.0005477896557495817,"('water', 'ocean')",kilogram
1645,"Tin, ion",0.000530672209289605,"('water', 'surface water')",kilogram
827,Copper,0.0005294385095694444,"('air',)",kilogram
37,Antimony,0.0005239530724226762,"('air', 'urban air close to ground')",kilogram
815,Chromium VI,0.0004978556947735582,"('air', 'non-urban air or from high stacks')",kilogram
812,Chromium,0.0004660625523465882,"('air', 'non-urban air or from high stacks')",kilogram
923,Lead,-0.00044907417449716573,"('air',)",kilogram
1251,Antimony,0.0004090108892435762,"('water',)",kilogram
1756,Iron,-0.0003976479801719585,"('water', 'ground-')",kilogram
1150,Cobalt,-0.0003597233411677881,"('soil',)",kilogram
909,Iron,-0.0003578184165174903,"('air', 'non-urban air or from high stacks')",kilogram
1357,Cobalt,-0.00031975008558295,"('water', 'ocean')",kilogram
1149,Cobalt,-0.000283710780126423,"('soil', 'industrial')",kilogram
821,Cobalt,-0.0002789082794326667,"('air',)",kilogram
1151,Copper,0.00026004008192795613,"('soil', 'agricultural')",kilogram
816,Chromium VI,0.00020759207910682,"('air', 'low population density, long-term')",kilogram
1646,"Tin, ion",0.00018255401572951687,"('water',)",kilogram
965,Nickel,-0.00014669449867945494,"('air', 'low population density, long-term')",kilogram
1459,Lead,-0.00014402623343954773,"('water',)",kilogram
1457,Lead,-0.00014069257466037903,"('water', 'ocean')",kilogram
1160,Lead,-0.00013216948699976545,"('soil', 'agricultural')",kilogram
1171,Molybdenum,0.00011328155768358864,"('soil',)",kilogram
1147,Chromium VI,0.00010670077954428797,"('soil',)",kilogram
588,"Tin, ion",6.359762826314837e-05,"('water', 'ground-')",kilogram
1172,Nickel,-4.620741491095811e-05,"('soil', 'agricultural')",kilogram
1153,Copper,4.09511000338823e-05,"('soil',)",kilogram
1084,Tin,3.485567454846434e-05,"('air', 'non-urban air or from high stacks')",kilogram
1124,Antimony,3.2316975446597675e-05,"('soil',)",kilogram
1086,Tin,2.5204175648939307e-05,"('air',)",kilogram
967,Nickel,-2.1384286071725415e-05,"('air',)",kilogram
1455,Lead,-2.1148821691786025e-05,"('water', 'ground-')",kilogram
114,Chromium VI,2.019816830613064e-05,"('air', 'urban air close to ground')",kilogram
1144,Chromium,1.835398730413125e-05,"('soil', 'agricultural')",kilogram
1350,Chromium VI,1.7456360801139654e-05,"('water',)",kilogram
1051,Silver,1.666274706807331e-05,"('air', 'low population density, long-term')",kilogram
1161,Lead,-1.5463171721031323e-05,"('soil', 'industrial')",kilogram
113,Chromium,1.3559557089991022e-05,"('air', 'urban air close to ground')",kilogram
1162,Lead,-1.2045923429420953e-05,"('soil',)",kilogram
1085,Tin,1.1835303727626804e-05,"('air', 'low population density, long-term')",kilogram
1145,Chromium,7.34651123574708e-06,"('soil', 'industrial')",kilogram
814,Chromium,4.2271547274237246e-06,"('air',)",kilogram
1152,Copper,3.7003164709515096e-06,"('soil', 'industrial')",kilogram
1173,Nickel,-2.12133994503198e-06,"('soil', 'industrial')",kilogram
1352,"Chromium, ion",9.794229252925346e-07,"('water', 'surface water')",kilogram
1174,Nickel,-8.434442874063688e-07,"('soil',)",kilogram
1353,"Chromium, ion",4.4246427227387555e-07,"('water',)",kilogram
1123,Antimony,3.189670637316492e-07,"('soil', 'agricultural')",kilogram
1351,"Chromium, ion",2.323771308505105e-07,"('water', 'ocean')",kilogram
586,Tin,2.1387459677289784e-07,"('air', 'urban air close to ground')",kilogram
1539,Phosphate,-1.5803252483744365e-07,"('water',)",kilogram
817,Chromium VI,9.221953607862436e-08,"('air',)",kilogram
1146,Chromium,7.596372547023721e-08,"('soil',)",kilogram
1201,Tin,5.8663150424000284e-08,"('soil', 'agricultural')",kilogram
528,Silver,3.383374814256205e-08,"('air', 'urban air close to ground')",kilogram
316,Mancozeb,9.827583015519051e-09,"('soil', 'agricultural')",kilogram
116,"Chromium, ion",7.162460524738859e-09,"('water', 'ground-')",kilogram
1156,Glyphosate,6.1718529012216e-09,"('soil', 'industrial')",kilogram
1050,Silver,5.4603362879269055e-09,"('air', 'non-urban air or from high stacks')",kilogram
1192,Silver,3.894618191146447e-09,"('soil',)",kilogram
1052,Silver,2.519216291749352e-09,"('air',)",kilogram
252,Glyphosate,8.728315156420024e-10,"('soil', 'agricultural')",kilogram
1762,Lithium,3.962836746507442e-10,"('soil',)",kilogram
1753,Lithium,3.962836746507442e-10,"('water', 'ground-')",kilogram
1744,Glyphosate,3.0133121824833337e-10,"('air', 'non-urban air or from high stacks')",kilogram
1378,Dichromate,1.3742166425895834e-11,"('water',)",kilogram
1115,Zinc,2.4918901662491536e-12,"('air', 'lower stratosphere + upper troposphere')",kilogram
826,Copper,2.127068537900119e-12,"('air', 'lower stratosphere + upper troposphere')",kilogram
1765,Lithium,6.992584541601421e-13,"('air', 'urban air close to ground')",kilogram
1969,Chlorpyrifos methyl,6.589728174154551e-13,"('soil', 'agricultural')",kilogram
1903,Glyphosate,2.093171815095033e-13,"('water', 'ground-')",kilogram
1377,Dichromate,2.0902911896842129e-13,"('water', 'surface water')",kilogram
966,Nickel,-4.583486468728159e-14,"('air', 'lower stratosphere + upper troposphere')",kilogram
376,Monocrotophos,4.062017611020783e-14,"('soil', 'agricultural')",kilogram
922,Lead,-3.188904992879154e-14,"('air', 'lower stratosphere + upper troposphere')",kilogram
110,Chlorpyrifos,1.2549959196334435e-14,"('soil', 'agricultural')",kilogram
539,Sodium dichromate,3.793927402452049e-15,"('air', 'urban air close to ground')",kilogram
813,Chromium,3.7211198029657715e-15,"('air', 'lower stratosphere + upper troposphere')",kilogram
13,Acephate,3.2443288935224767e-15,"('soil', 'agricultural')",kilogram
