flow,amount,categories,unit
"Uranium, in ground",36655.18317891925,"('natural resource', 'in ground')",kilogram
"Iron, 46% in ore, 25% in crude ore, in ground",4592.326474142674,"('natural resource', 'in ground')",kilogram
"Clay, unspecified, in ground",3811.2847726021582,"('natural resource', 'in ground')",kilogram
"Aluminium, in ground",2578.4940634503478,"('natural resource', 'in ground')",kilogram
"Clay, bentonite, in ground",265.96505721012494,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",104.63479929980215,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",27.635073235249713,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",19.98211921286042,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",16.58450146288619,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",14.024969457565993,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",13.022306007069602,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",12.98070845878627,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",11.94356208341314,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground",11.683834272164779,"('natural resource', 'in ground')",kilogram
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",10.886130406164387,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground",10.470191515719414,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground",9.099376781856312,"('natural resource', 'in ground')",kilogram
"Silver, Ag 9.7E-4%, in mixed ore, in ground",7.965110171714871,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground",6.57277091980861,"('natural resource', 'in ground')",kilogram
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",6.475233224985288,"('natural resource', 'in ground')",kilogram
"Silver, 0.007% in sulfide, Ag 0.004%, Pb, Zn, Cd, In, in ground",4.0393947372116354,"('natural resource', 'in ground')",kilogram
