flow,amount,categories,unit
"Aluminium, in ground",9644.164139795503,"('natural resource', 'in ground')",kilogram
"Iron, 46% in ore, 25% in crude ore, in ground",1005.3141771869829,"('natural resource', 'in ground')",kilogram
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground",17.884988309676864,"('natural resource', 'in ground')",kilogram
"Uranium, in ground",12.356570698669879,"('natural resource', 'in ground')",kilogram
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground",9.739651212655897,"('natural resource', 'in ground')",kilogram
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground",8.363077153097555,"('natural resource', 'in ground')",kilogram
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground",8.335689023564928,"('natural resource', 'in ground')",kilogram
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground",5.832244610221007,"('natural resource', 'in ground')",kilogram
"Kaolinite, 24% in crude ore, in ground",5.002197310968666,"('natural resource', 'in ground')",kilogram
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground",2.8312686626955608,"('natural resource', 'in ground')",kilogram
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground",2.41586443071112,"('natural resource', 'in ground')",kilogram
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground",0.6909948331135256,"('natural resource', 'in ground')",kilogram
"Copper, Cu 0.38%, in mixed ore, in ground",0.5643848873405555,"('natural resource', 'in ground')",kilogram
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground",0.26280877632253413,"('natural resource', 'in ground')",kilogram
"Copper, 1.42% in sulfide, Cu 0.81% and Mo 8.2E-3% in crude ore, in ground",0.06536921153713945,"('natural resource', 'in ground')",kilogram
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",0.0653632697114801,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.11% in sulfide, Mo 4.1E-2% and Cu 0.36% in crude ore, in ground",0.031421332854904525,"('natural resource', 'in ground')",kilogram
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground",0.009853432235255016,"('natural resource', 'in ground')",kilogram
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",0.008022615660984436,"('natural resource', 'in ground')",kilogram
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground",0.006379495315763621,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.016% in sulfide, Mo 8.2E-3% and Cu 0.27% in crude ore, in ground",0.004807527126191244,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.025% in sulfide, Mo 8.2E-3% and Cu 0.39% in crude ore, in ground",0.003876558349634072,"('natural resource', 'in ground')",kilogram
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground",0.003324700627879873,"('natural resource', 'in ground')",kilogram
"Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.22% in crude ore, in ground",0.0029096739398623873,"('natural resource', 'in ground')",kilogram
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground",0.0026060765683220428,"('natural resource', 'in ground')",kilogram
"Zinc, Zn 0.63%, in mixed ore, in ground",0.0016723824108736476,"('natural resource', 'in ground')",kilogram
