Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[7.544468322121827e-06, 7.644118947449518e-08, 7.345856663954784e-09, 9.41758290562973e-10, 7.68307369734586e-10, 2.561364318165739e-10, 1.662371989660057e-10, 1.452842890936666e-10, 7.771023802961454e-11, 7.152312384651102e-11, 1.9265454674917236e-11, 3.4670668876117727e-12]",7.630705057723888e-06
"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.011590069725117346, 0.0002892720902397664, 1.6633506233844874e-05, 4.518590688469237e-06, 2.729972908598881e-06, 1.407404954512606e-06, 9.151723171562602e-07, 9.05289587078006e-07, 2.297598096483282e-07, 1.6988168283719987e-07, 4.796143817381787e-09, 3.135684252306715e-09]",0.011906859325367327
"('ecoinvent-3.4-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[2.8968305404181203e-07, 2.7753125954393126e-08, 1.1769944027995999e-09, 8.267696896741501e-10, 1.0963202416161515e-10, 1.1267916989555344e-11, 1.0441673716193909e-11, 8.885137784530035e-12, 4.6900606915487147e-14]",3.195802177419377e-07
"('ecoinvent-3.4-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[2.8968305404181203e-07, 2.7753125954393126e-08, 1.1769944027995999e-09, 8.267696896741501e-10, 1.0963202416161515e-10, 1.1267916989555344e-11, 1.0441673716193909e-11, 8.885137784530035e-12, 4.6900606915487147e-14]",3.195802177419377e-07
"('ecoinvent-3.4-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Nickel,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[1.739439548943098e-06, 1.331110556652414e-07, 9.177247268312932e-09, 4.162385215934506e-09, 1.0756192210881725e-09, 7.166892429517964e-10, 1.7074232994914234e-10, 0.0]",1.887853287886576e-06
"('ecoinvent-3.4-biosphere', '0822b867-9dca-4d5a-93c3-319d39b592cd')",Chlorpyrifos,"['P', 'P']","[1.998647456600543e-15, 4.252441397022444e-16]",2.4238915963027874e-15
"('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')","Lithium, ion","['Li', 'Li']","[0.05049397106123491, 2.743533433378834e-08]",0.05049399849656924
"('ecoinvent-3.4-biosphere', '0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191')",Copper,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[7.455359213936176e-07, 2.2529905318182514e-07, 2.9215393428321582e-08, 1.879239637232533e-08, 1.3453985352244406e-08, 3.223207972725828e-09, 1.8003823172714793e-10, 0.0]",1.035699995932787e-06
"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.011590069725117346, 0.0002892720902397664, 1.6633506233844874e-05, 4.518590688469237e-06, 2.729972908598881e-06, 1.407404954512606e-06, 9.151723171562602e-07, 9.05289587078006e-07, 2.297598096483282e-07, 1.6988168283719987e-07, 4.796143817381787e-09, 3.135684252306715e-09]",0.011906859325367327
"('ecoinvent-3.4-biosphere', '0af26a55-d357-469f-abad-8ced785cb4fb')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[7.544468322121827e-06, 7.644118947449518e-08, 7.345856663954784e-09, 9.41758290562973e-10, 7.68307369734586e-10, 2.561364318165739e-10, 1.662371989660057e-10, 1.452842890936666e-10, 7.771023802961454e-11, 7.152312384651102e-11, 1.9265454674917236e-11, 3.4670668876117727e-12]",7.630705057723888e-06
"('ecoinvent-3.4-biosphere', '0ba582f8-3360-441a-a93c-ea15e87f7b0c')",Ethephon,"['P', 'P', 'P', 'P']","[6.378662095533664e-16, 0.0, 0.0, 0.0]",6.378662095533664e-16
"('ecoinvent-3.4-biosphere', '0ed1b1a1-e56d-4860-bac7-d76a39bde930')",Silver,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[8.158053664904727e-07, 6.464874619091479e-09, 5.737038128757659e-09, 4.2316947779648454e-09, 3.2632329390021228e-09, 0.0]",8.355022069552889e-07
"('ecoinvent-3.4-biosphere', '0ff15165-d761-48c9-9814-2d1dcdd56857')",Lead,"['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb']","[1.4276393226772637e-07, 7.516100124864669e-08, 2.2630048409204512e-09, 1.4617394309898315e-09, 1.3873639744815493e-09, 9.627925351041166e-10, 5.469374745000741e-10, 2.283752984708969e-10, 1.450373339972473e-10, 1.1343872970780595e-10, 3.4759330354305877e-11, 1.3759863416496502e-11, 0.0]",2.2508214232831586e-07
"('ecoinvent-3.4-biosphere', '10cbd2f7-c41b-4bb4-b636-d8fc15cf0282')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[7.544468322121827e-06, 7.644118947449518e-08, 7.345856663954784e-09, 9.41758290562973e-10, 7.68307369734586e-10, 2.561364318165739e-10, 1.662371989660057e-10, 1.452842890936666e-10, 7.771023802961454e-11, 7.152312384651102e-11, 1.9265454674917236e-11, 3.4670668876117727e-12]",7.630705057723888e-06
"('ecoinvent-3.4-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.006183580031733296, 2.181090723851185e-05, 1.4021903112423571e-05, 1.3046729752604036e-06, 8.292743500533589e-07, 1.5887946862953625e-07, 1.544320449975484e-07, 2.6945789265606805e-08, 2.659939057609553e-08, 1.4158763014319011e-08, 1.9765351633427608e-09, 8.244198128491982e-10]",0.006221930605821004
"('ecoinvent-3.4-biosphere', '16316600-f12a-410b-8726-3faee64de60a')",Silver,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[8.158053664904727e-07, 6.464874619091479e-09, 5.737038128757659e-09, 4.2316947779648454e-09, 3.2632329390021228e-09, 0.0]",8.355022069552889e-07
"('ecoinvent-3.4-biosphere', '163926e2-b4cc-42bb-ba7d-401028140985')",Molybdenum,"['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo']","[0.0018408823506656682, 0.0008201659186594493, 4.2275513613533585e-05, 9.468779230479777e-06, 4.6928203656647695e-06, 6.100019112353675e-07, 4.456254977445468e-07, 2.0730948967001637e-07, 1.6982846287090665e-08, 8.030977391469239e-09, 7.555423727323264e-09]",0.002718780888680851
"('ecoinvent-3.4-biosphere', '168c970b-91c9-4427-a3a0-6686ad6cc2c4')",Tin,"['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","[7.762840641987719e-08, 2.8062916589896724e-08, 1.2171718454475737e-09, 6.865384176641438e-10, 7.610135346169052e-11]",1.0767113462634731e-07
"('ecoinvent-3.4-biosphere', '1727b41d-377e-43cd-bc01-9eaba946eccb')",Phosphate,"['P', 'P', 'P', 'P', 'P']","[6.890379623909851e-07, 9.551994636804205e-08, 4.017153814213599e-11, 5.599869978022432e-12, 0.0]",7.846036801671472e-07
"('ecoinvent-3.4-biosphere', '17955b10-4c04-4fff-91e7-cf89ef1a7cca')",Glyphosate,"['P', 'P', 'P', 'P', 'P']","[5.700185070576003e-12, 1.1388038061223608e-13, 6.527497544428636e-14, 0.0, 0.0]",5.8793404266325255e-12
"('ecoinvent-3.4-biosphere', '183f9856-03ab-464d-9366-8ef62077b510')",Antimony,"['Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb', 'Sb']","[1.7350017581247708e-05, 5.384088389877791e-06, 2.0977857681716064e-06, 4.6489750761189506e-07, 3.091190759124856e-07, 4.540691344178289e-09, 4.006907602059052e-09, 1.0324450349768164e-09, 2.407092576855955e-10, 2.1439127009195476e-12]",2.561573121997309e-05
"('ecoinvent-3.4-biosphere', '198ce8e3-f05a-4bec-9f7f-325347453326')",Phosphorus,"['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P']","[3.317206212804226e-11, 1.5073076202205168e-11, 1.0460920787635983e-11, 8.009430846753942e-12, 1.20952190655227e-12, 7.818113508413968e-13, 2.1457819289366382e-13, 8.262493634413301e-14, 8.245483868825215e-14, 3.784672843349951e-15]",6.909026586280043e-11
"('ecoinvent-3.4-biosphere', '19b6e569-85a4-4ea9-a590-d61a21e3c846')",Tin,"['Sn', 'Sn', 'Sn', 'Sn', 'Sn']","[7.762840641987719e-08, 2.8062916589896724e-08, 1.2171718454475737e-09, 6.865384176641438e-10, 7.610135346169052e-11]",1.0767113462634731e-07
"('ecoinvent-3.4-biosphere', '1ad3b0dc-fce4-416b-9851-f29d12cce55a')",Dichromate,"['Cr', 'Cr']","[1.5656373026672478e-12, 1.5784665413735273e-14]",1.581421968080983e-12
"('ecoinvent-3.4-biosphere', '1c87de06-e58f-4684-a54c-d29f1a251a87')","Chromium, ion","['Cr', 'Cr', 'Cr', 'Cr']","[3.7142818893722613e-10, 5.417888254332425e-11, 2.564799906261022e-11, 1.0120321437469016e-11]",4.6137539198062964e-10
"('ecoinvent-3.4-biosphere', '1e904267-caa3-40e6-a3a0-fc104489770b')",Cobalt,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.006183580031733296, 2.181090723851185e-05, 1.4021903112423571e-05, 1.3046729752604036e-06, 8.292743500533589e-07, 1.5887946862953625e-07, 1.544320449975484e-07, 2.6945789265606805e-08, 2.659939057609553e-08, 1.4158763014319011e-08, 1.9765351633427608e-09, 8.244198128491982e-10]",0.006221930605821004
