Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xm_Mineral,ERC,CF2
"Aluminium, in ground","('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,1.4730358355636792e-06,1.4730358355636792e-06,0.703,4.5150432834172855e-14,4.5150432834172855e-14,valero_fallback,Bauxite (Gibbsite),2.8930041152263373,4.261498734161591e-06,2.033781893004115,1.3062038799351242e-13,0.23086450876489972,0.23086024726616555,0.95,0.00030032062751652824,0.00030032062751652824
"Iron, 46% in ore, 25% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')",Fe,8.259371125407903e-07,8.259371125407903e-07,0.25,1.0706635764969968e-15,1.0706635764969968e-15,parsed_crude_ore,Hematite,1.0,8.259371125407903e-07,0.25,1.0706635764969968e-15,1.1174432879201284,1.1174424619830159,0.95,-0.0,-0.0
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')",Cr,3.209781390224791e-07,3.209781390224791e-07,0.11599999999999999,3.62831911250983e-14,3.62831911250983e-14,parsed_crude_ore,Chromite,2.152027027027027,6.907536302612136e-07,0.24963513513513513,7.808240792799871e-14,0.2461272270789205,0.24612653632529025,0.81,1.5460494016636264e-07,1.5460494016636264e-07
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')",Mn,4.4233106300747006e-08,4.4233106300747006e-08,0.142,9.208711405593519e-15,9.208711405593519e-15,parsed_crude_ore,Pyrolusite,1.5822784810126582,6.998909224801741e-08,0.22468354430379744,1.4570745894926453e-14,0.29578603669687803,0.2957859667077858,0.6709603911825677,4.100085610956424e-08,4.100085610956424e-08
"Uranium, in ground","('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,6.28052573037471e-09,6.28052573037471e-09,0.00318,2.9111115633007054e-14,2.9111115633007054e-14,valero_fallback,Uraninite,0.954954954954955,5.997619165943417e-09,0.003036756756756757,2.7799804118006737e-14,0.05163003302526104,0.05163002702764188,0.75,7.0718770134454465e-06,7.0718770134454465e-06
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')",Ni,6.1041873611903696e-09,6.1041873611903696e-09,0.0104,9.429411356021909e-16,9.429411356021909e-16,parsed_crude_ore,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.791092424850148e-08,0.030515710144927533,2.7667806132466603e-15,0.010558917414268303,0.010558899503344054,0.0803628113054402,1.4199961605283624e-06,1.4199961605283624e-06
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')",Zn,4.647983092263427e-09,4.647983092263427e-09,0.053,5.743385675227064e-15,5.743385675227064e-15,parsed_crude_ore_multi,Sphalerite,1.4901477832512315,6.9261817015255505e-09,0.07897783251231527,8.558493432296486e-15,0.21288117798323605,0.21288117105705434,0.789865871833085,3.068321402890113e-08,3.068321402890113e-08
"Kaolinite, 24% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ee540366-b970-46af-94d8-4c253ded5577')",Al,3.89719459635467e-09,3.89719459635467e-09,0.05016795785559342,3.22205549301079e-15,3.22205549301079e-15,parsed_crude_ore,Bauxite (Gibbsite),2.8930041152263373,1.1274600005091904e-08,0.1451361085287332,9.321419800767841e-15,0.23086450876489972,0.23086449749029972,0.95,7.94549182656237e-07,7.94549182656237e-07
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')",Pb,1.5979430985561431e-09,1.5979430985561431e-09,0.03,3.556576412416334e-15,3.556576412416334e-15,parsed_crude_ore_multi,Galena,1.1560975609756097,1.8473781188185654e-09,0.03468292682926829,4.111749315817908e-15,0.10515644248728105,0.10515644063990293,0.635111259945265,7.653352202219224e-09,7.653352202219224e-09
"Phosphorus, 18% in apatite, 4% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')",P,3.617054680783887e-10,3.617054680783887e-10,0.04,6.789346501556335e-16,6.789346501556335e-16,parsed_crude_ore,Apatite,0.3532544378698225,1.2777406180047222e-10,0.014130177514792902,2.3983667819107294e-16,0.44572664377524784,0.4457266436474738,0.9,9.224480925606025e-11,9.224480925606025e-11
