Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Aluminium, in ground","('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,6.527900126627539e-07,6.527900126627539e-07,0.703,4.5150432834172855e-14,4.5150432834172855e-14,valero_fallback
"Iron, 46% in ore, 25% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')",Fe,4.992538437958818e-07,4.992538437958818e-07,0.25,1.0706635764969968e-15,1.0706635764969968e-15,parsed_crude_ore
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')",Cr,4.4964894523498964e-07,4.4964894523498964e-07,0.11599999999999999,3.62831911250983e-14,3.62831911250983e-14,parsed_crude_ore
"Uranium, in ground","('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,5.0372798734369074e-08,5.0372798734369074e-08,0.00318,2.9111115633007054e-14,2.9111115633007054e-14,valero_fallback
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')",Mn,3.128903715370243e-08,3.128903715370243e-08,0.142,9.208711405593519e-15,9.208711405593519e-15,parsed_crude_ore
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')",Ni,7.328770746002227e-09,7.328770746002227e-09,0.0104,9.429411356021909e-16,9.429411356021909e-16,parsed_crude_ore
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')",Zn,4.83160893920924e-09,4.83160893920924e-09,0.053,5.743385675227064e-15,5.743385675227064e-15,parsed_crude_ore_multi
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')",Pb,1.6610524067989324e-09,1.6610524067989324e-09,0.03,3.556576412416334e-15,3.556576412416334e-15,parsed_crude_ore_multi
"Kaolinite, 24% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ee540366-b970-46af-94d8-4c253ded5577')",Al,9.932824896788815e-10,9.932824896788815e-10,0.05016795785559342,3.22205549301079e-15,3.22205549301079e-15,parsed_crude_ore
"Phosphorus, 18% in apatite, 4% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')",P,1.3353732108163785e-10,1.3353732108163785e-10,0.04,6.789346501556335e-16,6.789346501556335e-16,parsed_crude_ore
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')",Cu,1.1160669473158619e-10,1.7735627092279727e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')",Ni,1.1160669473158619e-10,9.387106763930648e-11,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi
"Zinc, Zn 0.63%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', 'f8f1ba14-9934-4678-8a78-e2cf1fce7775')",Zn,9.831144033183402e-11,9.831144033183402e-11,0.0063,6.827043349798209e-16,6.827043349798209e-16,parsed_crude_ore_multi
"Aluminium, 24% in bauxite, 11% in crude ore, in ground","('ecoinvent-3.4-biosphere', '8bc65fca-548d-4831-b102-391bbdd6bc8c')",Al,9.744488142367433e-11,9.744488142367433e-11,0.11,7.064790343896179e-15,7.064790343896179e-15,parsed_crude_ore
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Ni,8.056999951205195e-11,6.776647128637019e-11,0.023,2.0853505883509992e-15,2.479348455018202e-15,parsed_crude_ore_multi
"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')",Cu,8.056999951205195e-11,1.2803528225681772e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Ni,7.510529603894097e-11,6.612558837281186e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,parsed_crude_ore_multi
"Nickel, 1.13% in sulfide, Ni 0.76% and Cu 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', '86c6e6cd-c2f5-4977-bad6-ce9cd48cf721')",Cu,7.510529603894097e-11,8.979707666129104e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,parsed_crude_ore_multi
"Phosphorus, 18% in apatite, 12% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'a64e65fe-3c33-44f1-bd2d-ab7fac07653f')",P,7.4893191978336e-11,7.4893191978336e-11,0.12,2.0368039504669003e-15,2.0368039504669003e-15,parsed_crude_ore
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Cu,6.781788347707632e-11,6.396916544645767e-11,0.0183,2.2531753000030665e-16,2.3887380565709124e-16,parsed_crude_ore_multi
"Copper, 2.19% in sulfide, Cu 1.83% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'b569dc97-52fe-4e39-9627-183b1002c287')",Mo,6.781788347707632e-11,3.848718030618656e-12,8.2e-05,1.3556275656784592e-17,2.3887380565709124e-16,parsed_crude_ore_multi
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Cu,5.985380081324634e-11,4.6676412084680706e-11,0.0039000000000000003,4.801849000006535e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')",Mo,5.985380081324634e-11,1.3177388728565642e-11,8.2e-05,1.3556275656784592e-17,6.157476565684994e-17,parsed_crude_ore_multi
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Cu,5.905559344883054e-11,4.522422545787658e-11,0.0036,4.432476000006032e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Copper, 0.99% in sulfide, Cu 0.36% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '79df5650-160a-4ab7-a14f-cc8162877f4a')",Mo,5.905559344883054e-11,1.383136799095395e-11,8.2e-05,1.3556275656784592e-17,5.788103565684491e-17,parsed_crude_ore_multi
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Cu,4.499827759750166e-11,1.7791513341337833e-11,0.0036,4.432476000006032e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')",Mo,4.499827759750166e-11,2.7206764256163834e-11,0.00041,6.778137828392296e-17,1.1210613828398327e-16,parsed_crude_ore_multi
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Cu,4.386716354622733e-11,3.116038315052907e-11,0.0027,3.3243570000045246e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')",Mo,4.386716354622733e-11,1.2706780395698267e-11,8.2e-05,1.3556275656784592e-17,4.6799845656829836e-17,parsed_crude_ore_multi
"Copper, Cu 0.38%, in mixed ore, in ground","('ecoinvent-3.4-biosphere', '5afa470c-ab8c-4ec3-8a18-5c0bed973571')",Cu,4.3003793149892564e-11,4.3003793149892564e-11,0.0038,4.678724666673034e-17,4.678724666673034e-17,parsed_crude_ore_multi
"Iron, 72% in magnetite, 14% in crude ore, in ground","('ecoinvent-3.4-biosphere', '99c56f25-9ebb-4e6a-a3e2-e4dc61e9d697')",Fe,4.270791789893806e-11,4.270791789893806e-11,0.14,5.995716028383183e-16,5.995716028383183e-16,parsed_crude_ore
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Cu,3.862458915444484e-11,4.618016806050872e-12,0.0076,9.357449333346067e-17,7.826468616581387e-16,parsed_crude_ore_multi
"Copper, 1.13% in sulfide, Cu 0.76% and Ni 0.76% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ed5ace5c-a203-4816-b33b-9fe0c5f0f519')",Ni,3.862458915444484e-11,3.4006572348393965e-11,0.0076,6.89072368324678e-16,7.826468616581387e-16,parsed_crude_ore_multi
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Cu,3.0365058802356184e-11,2.0237097355829697e-11,0.0022,2.70873533333702e-17,4.064362899015479e-17,parsed_crude_ore_multi
"Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')",Mo,3.0365058802356184e-11,1.0127961446526482e-11,8.2e-05,1.3556275656784592e-17,4.064362899015479e-17,parsed_crude_ore_multi
