Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
"Clay, unspecified, in ground","('ecoinvent-3.4-biosphere', 'f7519ca9-5ffc-41c3-a33e-806da82cfc0e')",Al,3.097210145687653e-06,3.097210145687653e-06,0.33300833076211045,2.1387582178228573e-14,2.1387582178228573e-14,stoichiometric
"Aluminium, in ground","('ecoinvent-3.4-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,1.4730358355636792e-06,1.4730358355636792e-06,0.703,4.5150432834172855e-14,4.5150432834172855e-14,valero_fallback
"Iron, 46% in ore, 25% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'f77aacc3-2c22-4bda-99ab-fe1110a1b891')",Fe,8.259371125407903e-07,8.259371125407903e-07,0.25,1.0706635764969968e-15,1.0706635764969968e-15,parsed_crude_ore
"Chromium, 25.5% in chromite, 11.6% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ef6dd09f-bddc-49b4-a207-dbaec2f07bb5')",Cr,3.209781390224791e-07,3.209781390224791e-07,0.11599999999999999,3.62831911250983e-14,3.62831911250983e-14,parsed_crude_ore
"Clay, bentonite, in ground","('ecoinvent-3.4-biosphere', '93806a54-46f5-409c-99c5-4144a1e73b5d')",Al,2.161343805929202e-07,2.161343805929202e-07,0.33300833076211045,2.1387582178228573e-14,2.1387582178228573e-14,stoichiometric
"Manganese, 35.7% in sedimentary deposit, 14.2% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9f9f1f14-6eee-4067-b4a5-80e75fc7b295')",Mn,4.4233106300747006e-08,4.4233106300747006e-08,0.142,9.208711405593519e-15,9.208711405593519e-15,parsed_crude_ore
"Uranium, in ground","('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,6.28052573037471e-09,6.28052573037471e-09,0.00318,2.9111115633007054e-14,2.9111115633007054e-14,valero_fallback
"Nickel, 1.98% in silicates, 1.04% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'e47e4e5f-6528-413d-a8fb-1cd1875fbd73')",Ni,6.1041873611903696e-09,6.1041873611903696e-09,0.0104,9.429411356021909e-16,9.429411356021909e-16,parsed_crude_ore
"Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')",Zn,4.647983092263427e-09,4.647983092263427e-09,0.053,5.743385675227064e-15,5.743385675227064e-15,parsed_crude_ore_multi
"Kaolinite, 24% in crude ore, in ground","('ecoinvent-3.4-biosphere', 'ee540366-b970-46af-94d8-4c253ded5577')",Al,3.89719459635467e-09,3.89719459635467e-09,0.05016795785559342,3.22205549301079e-15,3.22205549301079e-15,parsed_crude_ore
"Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground","('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')",Pb,1.5979430985561431e-09,1.5979430985561431e-09,0.03,3.556576412416334e-15,3.556576412416334e-15,parsed_crude_ore_multi
"Phosphorus, 18% in apatite, 4% in crude ore, in ground","('ecoinvent-3.4-biosphere', '9a7380d1-6e23-48ad-b35a-14bd1ecb3133')",P,3.617054680783887e-10,3.617054680783887e-10,0.04,6.789346501556335e-16,6.789346501556335e-16,parsed_crude_ore
"Cu, Cu 3.2E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0% in ore, in ground","('ecoinvent-3.4-biosphere', '73b7f080-b7ae-417c-b740-b4c9eabfb35a')",Cu,1.7285327388324417e-10,2.746843470856135e-11,0.032,3.939978666672029e-16,2.479348455018202e-15,parsed_crude_ore_multi
