flow,amount,categories,unit
Aluminium,5.6832291896622894e-05,"('water', 'ground-, long-term')",kilogram
Manganese,8.139286085107526e-06,"('water', 'ground-, long-term')",kilogram
Cobalt,6.534525199621613e-06,"('water', 'ground-, long-term')",kilogram
Antimony,3.5558308718535735e-06,"('water', 'ground-, long-term')",kilogram
Phosphate,2.701820346031967e-06,"('water', 'ground-, long-term')",kilogram
"Zinc, ion",2.0889253475866704e-06,"('water', 'ground-, long-term')",kilogram
Aluminium,1.4188444960624337e-06,"('air',)",kilogram
"Nickel, ion",1.4153010543596384e-06,"('water', 'ground-, long-term')",kilogram
"Iron, ion",1.402777978811242e-06,"('water', 'ground-, long-term')",kilogram
Antimony,1.1034577840386659e-06,"('water', 'surface water')",kilogram
"Lithium, ion",6.181468117356555e-07,"('water',)",kilogram
Chromium VI,6.014159329658027e-07,"('water', 'ground-, long-term')",kilogram
Antimony,4.299374989734442e-07,"('air',)",kilogram
Phosphate,3.745477096054786e-07,"('water', 'ground-')",kilogram
Molybdenum,1.277470399331859e-07,"('water', 'ground-, long-term')",kilogram
Antimony,9.527999624258967e-08,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,8.246733593925348e-08,"('water', 'ground-')",kilogram
Aluminium,8.158586916574836e-08,"('water', 'surface water')",kilogram
Antimony,6.335346181050398e-08,"('water', 'ground-')",kilogram
Chromium VI,5.7618802534462825e-08,"('water', 'surface water')",kilogram
Molybdenum,5.691742226026087e-08,"('water', 'surface water')",kilogram
"Iron, ion",4.64745495322544e-08,"('water', 'ground-')",kilogram
"Copper, ion",3.6316093851368934e-08,"('water', 'ground-, long-term')",kilogram
Lead,2.9807671535615635e-08,"('water', 'ground-, long-term')",kilogram
Cobalt,2.305045618473105e-08,"('air', 'non-urban air or from high stacks')",kilogram
Aluminium,2.2163292087140587e-08,"('water', 'ground-')",kilogram
Chromium,1.8127980480548677e-08,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,1.6136319219146504e-08,"('air', 'non-urban air or from high stacks')",kilogram
Lead,1.5692861442309014e-08,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,1.4818791763875378e-08,"('water', 'ground-')",kilogram
Aluminium,1.3390278912931914e-08,"('air', 'urban air close to ground')",kilogram
Iron,9.735559587874307e-09,"('soil',)",kilogram
"Tin, ion",9.711904365385579e-09,"('water', 'ground-, long-term')",kilogram
Manganese,7.924957679962621e-09,"('air', 'non-urban air or from high stacks')",kilogram
"Zinc, ion",7.519400413217772e-09,"('water', 'ground-')",kilogram
Nickel,7.477388452837547e-09,"('air', 'non-urban air or from high stacks')",kilogram
Aluminium,6.903198719802243e-09,"('air', 'low population density, long-term')",kilogram
"Nickel, ion",5.320484341798089e-09,"('water', 'ground-')",kilogram
Aluminium,4.4888405359990675e-09,"('water',)",kilogram
Aluminium,4.440366644458449e-09,"('soil', 'industrial')",kilogram
Molybdenum,2.933909048318437e-09,"('water', 'ground-')",kilogram
Chromium VI,2.44358113034819e-09,"('water', 'ground-')",kilogram
"Zinc, ion",1.7544313428284435e-09,"('water', 'ocean')",kilogram
Chromium VI,1.7164727611019812e-09,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,1.3788199782401473e-09,"('air', 'urban air close to ground')",kilogram
"Silver, ion",1.2465219294735637e-09,"('water',)",kilogram
Zinc,1.1343568955578166e-09,"('air',)",kilogram
Aluminium,1.1269518760934508e-09,"('soil', 'agricultural')",kilogram
"Zinc, ion",1.0423604898803078e-09,"('water', 'surface water')",kilogram
"Iron, ion",1.0243394901878573e-09,"('water',)",kilogram
Manganese,1.0160006453512017e-09,"('soil', 'agricultural')",kilogram
Antimony,9.306075561611062e-10,"('water',)",kilogram
Zinc,9.162106616692684e-10,"('soil',)",kilogram
Cobalt,8.764035352571517e-10,"('water', 'surface water')",kilogram
Aluminium,8.332548883558549e-10,"('water', 'ocean')",kilogram
Manganese,8.288758895143545e-10,"('water', 'surface water')",kilogram
Antimony,8.212093570258105e-10,"('air', 'urban air close to ground')",kilogram
"Chromium, ion",7.71129348110886e-10,"('water',)",kilogram
Molybdenum,6.571315772771111e-10,"('air', 'non-urban air or from high stacks')",kilogram
Iron,5.921821095467502e-10,"('soil', 'industrial')",kilogram
Nickel,5.722096308184417e-10,"('air', 'urban air close to ground')",kilogram
