Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[5.397030029843654e-05, 5.46820603979844e-07, 5.254843727277651e-08, 6.73684938101862e-09, 5.4960710095186894e-09, 1.8322663223047333e-09, 1.1891742689003812e-09, 1.0392877907753992e-09, 5.558989994229711e-10, 5.116392515918845e-10, 1.3781491871059617e-10, 2.4801945563690335e-11]",5.458719314357697e-05
"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.0107524328048274, 0.0002683302464564435, 1.5429274669078003e-05, 4.191453445311526e-06, 2.532328087237877e-06, 1.3055115125588612e-06, 8.489155685189655e-07, 8.39748337554459e-07, 2.1312563624065149e-07, 1.5758257449377543e-07, 4.448924674927401e-09, 2.9086669289031955e-09]",0.01104628834870644
"('ecoinvent-3.4-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[3.381942613501536e-07, 3.2400719323751616e-08, 1.3740960813835683e-09, 9.652220993623498e-10, 1.27991230508339e-10, 1.3154857449621829e-11, 1.2190269108534115e-11, 1.0373029031550451e-11, 5.4736146892025025e-14]",3.7309806297689605e-07
"('ecoinvent-3.4-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[3.381942613501536e-07, 3.2400719323751616e-08, 1.3740960813835683e-09, 9.652220993623498e-10, 1.27991230508339e-10, 1.3154857449621829e-11, 1.2190269108534115e-11, 1.0373029031550451e-11, 5.4736146892025025e-14]",3.7309806297689605e-07
"('ecoinvent-3.4-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Nickel,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[-8.531194682084521e-08, -6.528525008412465e-09, -4.501047327268844e-10, -2.04147273113397e-10, -5.275449754893186e-11, -3.5150387562408454e-11, -8.374359752209931e-12, -0.0]",-9.259100307996151e-08
"('ecoinvent-3.4-biosphere', '0822b867-9dca-4d5a-93c3-319d39b592cd')",Chlorpyrifos,"['P', 'P']","[2.0213200343836396e-15, 5.319263248377975e-16]",2.553246359221437e-15
"('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')","Lithium, ion","['Li', 'Li']","[0.0013935073162619778, 7.794022117573775e-10]",0.0013935080956641896
"('ecoinvent-3.4-biosphere', '0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191')",Copper,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[1.2735653510110934e-07, 3.848681894411383e-08, 4.990718890357692e-09, 3.2102155685234363e-09, 2.298276852126877e-09, 5.505993095559258e-10, 3.07495682741676e-11, 0.0]",1.7692391423406128e-07
"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.0107524328048274, 0.0002683302464564435, 1.5429274669078003e-05, 4.191453445311526e-06, 2.532328087237877e-06, 1.3055115125588612e-06, 8.489155685189655e-07, 8.39748337554459e-07, 2.1312563624065149e-07, 1.5758257449377543e-07, 4.448924674927401e-09, 2.9086669289031955e-09]",0.01104628834870644
"('ecoinvent-3.4-biosphere', '0af26a55-d357-469f-abad-8ced785cb4fb')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[5.397030029843654e-05, 5.46820603979844e-07, 5.254843727277651e-08, 6.73684938101862e-09, 5.4960710095186894e-09, 1.8322663223047333e-09, 1.1891742689003812e-09, 1.0392877907753992e-09, 5.558989994229711e-10, 5.116392515918845e-10, 1.3781491871059617e-10, 2.4801945563690335e-11]",5.458719314357697e-05
