Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')","Cobalt, Co 5.0E-2%, in mixed ore, in ground",['Co'],[3.340504763701981e-11],3.340504763701981e-11
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","['Mo', 'Cu']","[1.8389899432008145e-09, 3.5566186666226275e-09]",5.3956086098234416e-09
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[2.4415247040219275e-08, 3.32453425407513e-08]",5.7660589580970575e-08
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","['Cu', 'Mo']","[4.224439375697887e-08, 5.55213817124227e-07]",5.974582108812059e-07
"('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[6.371810159414645e-08, 2.2331696580211e-07]",2.870350673962564e-07
"('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[4.340172880274905e-08, 1.8668435245506351e-07]",2.3008608125781257e-07
"('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')","Uranium, in ground",['U'],[7.0718770134454465e-06],7.0718770134454465e-06
"('ecoinvent-3.4-biosphere', '2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979')","Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground",['Ag'],[4.4151440116045566e-13],4.4151440116045566e-13
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')","Lead, Pb 0.014%, in mixed ore, in ground",['Pb'],[1.007369621902568e-11],1.007369621902568e-11
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","['Mo', 'Cu']","[3.011285022038736e-09, 1.14589345738433e-09]",4.157178479423066e-09
"('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[9.912370510723777e-08, 2.405121411787198e-07]",3.3963584628595754e-07
"('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')","Tin, 79% in cassiterite, 0.1% in crude ore, in ground",['Sn'],[2.767777120101767e-10],2.767777120101767e-10
"('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')","Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[2.640952073117058e-12, 3.626294582006823e-12]",6.2672466551238815e-12
