Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '02e8658e-3c88-404c-865d-4d4934661ea6')","Cobalt, Co 5.0E-2%, in mixed ore, in ground",['Co'],[2.1589508501171528e-10],2.1589508501171528e-10
"('ecoinvent-3.4-biosphere', '06874cbb-2daf-4981-a55e-2c38be5b7277')","Molybdenum, 0.010% in sulfide, Mo 8.2E-3% and Cu 1.83% in crude ore, in ground","['Mo', 'Cu']","[1.5170623306735217e-08, 1.4212864973627975e-08]",2.938348828036319e-08
"('ecoinvent-3.4-biosphere', '09a68c14-01f6-4dee-ba29-8b7f400b72b5')","Perlite, in ground",['Al'],[1.2953749053481617e-10],1.2953749053481617e-10
"('ecoinvent-3.4-biosphere', '0d7f8b87-12f4-4e83-a5a2-854e2f2b47de')","Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[2.407377162150134e-08, 9.796930511474337e-08]",1.220430767362447e-07
"('ecoinvent-3.4-biosphere', '14946240-b1ee-412c-b900-ed5728a4e684')","Silver, 3.2ppm in sulfide, Ag 1.2ppm, Cu and Te, in crude ore, in ground",['Ag'],[8.104198313343338e-13],8.104198313343338e-13
"('ecoinvent-3.4-biosphere', '19988f5b-a9a6-48f3-9e8e-150b66a1bf12')","Copper, 0.97% in sulfide, Cu 0.36% and Mo 4.1E-2% in crude ore, in ground","['Cu', 'Mo']","[1.361361576262797e-07, 3.693218453729017e-06]",3.829354611355297e-06
"('ecoinvent-3.4-biosphere', '1aee4aa7-32e0-48e7-a6b5-73d8acf672d3')","Copper, 0.52% in sulfide, Cu 0.27% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[2.38431573628874e-07, 1.7248966991762894e-06]",1.9633282728051632e-06
"('ecoinvent-3.4-biosphere', '1b35070a-eb57-4f0f-a27f-5ba181ff0d4d')","Copper, 0.59% in sulfide, Cu 0.22% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[1.548491866925206e-07, 1.3748344164914306e-06]",1.5296836031839513e-06
"('ecoinvent-3.4-biosphere', '26296ec9-ff93-41e6-bbbf-6175af04284d')","Feldspar, in ground",['Al'],[1.017317065815797e-11],1.017317065815797e-11
"('ecoinvent-3.4-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')","Uranium, in ground",['U'],[0.0004421448171678196],0.0004421448171678196
"('ecoinvent-3.4-biosphere', '2d65a3f7-2a10-4a10-ac9e-a0cc7cd57979')","Gold, Au 2.1E-4%, Ag 2.1E-4%, in ore, in ground",['Ag'],[1.809937623313427e-11],1.809937623313427e-11
"('ecoinvent-3.4-biosphere', '2d9f9c6b-8dca-4641-8ff9-53cb8beabd13')","Lead, Pb 0.014%, in mixed ore, in ground",['Pb'],[2.7127536281434384e-11],2.7127536281434384e-11
"('ecoinvent-3.4-biosphere', '30fed59d-d722-482f-be4f-f3d93bdd2527')","Molybdenum, 0.022% in sulfide, Mo 8.2E-3% and Cu 0.36% in crude ore, in ground","['Mo', 'Cu']","[2.4846043386608303e-08, 4.579182390020236e-09]",2.9425225776628538e-08
"('ecoinvent-3.4-biosphere', '31998285-fb5c-411d-b853-ce78be2a0b49')","Copper, 1.18% in sulfide, Cu 0.39% and Mo 8.2E-3% in crude ore, in ground","['Cu', 'Mo']","[3.5715641050857664e-07, 1.788779190346019e-06]",2.1459356008545957e-06
"('ecoinvent-3.4-biosphere', '31b4eea9-640e-4056-ac2f-0555627af18a')","Tin, 79% in cassiterite, 0.1% in crude ore, in ground",['Sn'],[4.246791185693867e-10],4.246791185693867e-10
"('ecoinvent-3.4-biosphere', '3250f566-58bc-46d3-ab88-1d2e23ca3e1b')","Pt, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[2.6005990427763245e-12, 1.0568771873650747e-11]",1.3169370916427072e-11
"('ecoinvent-3.4-biosphere', '3e0034cd-21d6-4582-9fbf-09c26edd05df')","Stibnite, in ground",['Sb'],[1.899666591981161e-10],1.899666591981161e-10
"('ecoinvent-3.4-biosphere', '3faef344-9e52-47a3-a317-e17b824cc540')","Zinc, 9.0% in sulfide, Zn 5.3%, Pb, Ag, Cd, In, in ground",['Zn'],[1.016300968603513e-07],1.016300968603513e-07
"('ecoinvent-3.4-biosphere', '4b8ac2cb-3fa6-4047-a9ab-183d9e63ccac')","Pd, Pd 2.0E-4%, Pt 4.8E-4%, Rh 2.4E-5%, Ni 3.7E-2%, Cu 5.2E-2% in ore, in ground","['Ni', 'Cu']","[9.93777301704073e-14, 2.619738070661648e-13]",3.613515372365721e-13
"('ecoinvent-3.4-biosphere', '4df0eac4-44bb-46b6-b588-e3513a1ead2f')","Lead, Pb 3.6E-1%, in mixed ore, in ground",['Pb'],[2.415367997829858e-12],2.415367997829858e-12
"('ecoinvent-3.4-biosphere', '4f5aad55-54d2-4628-a509-b28ef1929bb4')","Gold, Au 6.8E-4%, Ag 1.5E-4%, in ore, in ground",['Ag'],[1.3506997188905582e-12],1.3506997188905582e-12
"('ecoinvent-3.4-biosphere', '4f684798-3870-45a1-b5f2-aa3444c0b8d6')","Copper, Cu 6.8E-1%, in mixed ore, in ground",['Cu'],[3.32796554575355e-10],3.32796554575355e-10
"('ecoinvent-3.4-biosphere', '4f701354-38fd-40b0-8c90-4c1df36ec45a')","Lead, 5.0% in sulfide, Pb 3.0%, Zn, Ag, Cd, In, in ground",['Pb'],[2.4440018004489908e-08],2.4440018004489908e-08
"('ecoinvent-3.4-biosphere', '5324b57a-96f1-4dc3-9dc5-544881960f4f')","Spodumene, in ground","['Al', 'Li']","[4.2148829376223024e-11, 2.9742650936438495e-09]",3.0164139230200724e-09
"('ecoinvent-3.4-biosphere', '535bbc83-033b-42fe-9a68-8dc9eb420385')","Pd, Pd 7.3E-4%, Pt 2.5E-4%, Rh 2.0E-5%, Ni 2.3E+0%, Cu 3.2E+0% in ore, in ground","['Ni', 'Cu']","[7.599600015025615e-12, 3.08455445406497e-11]",3.8445144555675316e-11
