flow,amount,categories,unit
Aluminium,8.645044227994095e-06,"('water', 'ground-, long-term')",kilogram
Manganese,1.4468437696590328e-06,"('water', 'ground-, long-term')",kilogram
Cobalt,1.227661371249412e-06,"('water', 'ground-, long-term')",kilogram
Antimony,6.961775462414397e-07,"('water', 'ground-, long-term')",kilogram
"Iron, ion",6.49716314154239e-07,"('water', 'ground-, long-term')",kilogram
Phosphate,4.598818007412829e-07,"('water', 'ground-, long-term')",kilogram
"Zinc, ion",3.8782460262978504e-07,"('water', 'ground-, long-term')",kilogram
"Nickel, ion",2.4978632336411486e-07,"('water', 'ground-, long-term')",kilogram
Aluminium,1.902315530750423e-07,"('air',)",kilogram
Antimony,1.6011907762654754e-07,"('water', 'surface water')",kilogram
Antimony,1.1463061814155824e-07,"('air',)",kilogram
"Lithium, ion",1.1058328175938533e-07,"('water',)",kilogram
Chromium VI,1.0612087019664253e-07,"('water', 'ground-, long-term')",kilogram
Phosphate,6.400399152283507e-08,"('water', 'ground-')",kilogram
"Iron, ion",6.246394522902101e-08,"('water', 'ground-')",kilogram
Aluminium,5.541960856314078e-08,"('air', 'low population density, long-term')",kilogram
Antimony,4.8709854579766356e-08,"('water', 'ground-')",kilogram
Aluminium,3.194953272952866e-08,"('water', 'surface water')",kilogram
"Copper, ion",2.952476809682974e-08,"('water', 'ground-, long-term')",kilogram
Molybdenum,2.379758166944707e-08,"('water', 'ground-, long-term')",kilogram
Lead,1.46734129652949e-08,"('water', 'ground-, long-term')",kilogram
Chromium,1.3852157656963834e-08,"('air', 'non-urban air or from high stacks')",kilogram
Manganese,1.2533454617767386e-08,"('water', 'ground-')",kilogram
Antimony,1.2015186980578045e-08,"('air', 'non-urban air or from high stacks')",kilogram
Chromium VI,1.1968223991557864e-08,"('water', 'surface water')",kilogram
Aluminium,1.1968010980696424e-08,"('soil', 'agricultural')",kilogram
Manganese,1.156969140443658e-08,"('soil', 'agricultural')",kilogram
Molybdenum,9.884345998942132e-09,"('water', 'surface water')",kilogram
Iron,9.050472610534094e-09,"('air', 'low population density, long-term')",kilogram
Aluminium,8.966923624830262e-09,"('soil', 'industrial')",kilogram
Cobalt,5.9910693410230376e-09,"('air', 'urban air close to ground')",kilogram
"Zinc, ion",4.367178551258539e-09,"('water', 'ocean')",kilogram
Iron,3.9650277666002584e-09,"('soil',)",kilogram
Aluminium,3.781764418095457e-09,"('water', 'ground-')",kilogram
Molybdenum,3.742002405502175e-09,"('water', 'ground-')",kilogram
Cobalt,3.448520558428706e-09,"('air', 'non-urban air or from high stacks')",kilogram
Zinc,3.211311579404162e-09,"('air', 'non-urban air or from high stacks')",kilogram
"Tin, ion",3.155531533550789e-09,"('water', 'ground-, long-term')",kilogram
Manganese,3.018749924499144e-09,"('water', 'surface water')",kilogram
Aluminium,3.0152972883786088e-09,"('air', 'urban air close to ground')",kilogram
Iron,2.693266270810101e-09,"('soil', 'industrial')",kilogram
Cobalt,2.378531454616598e-09,"('water', 'ground-')",kilogram
Lead,2.37386823313221e-09,"('air', 'non-urban air or from high stacks')",kilogram
Nickel,2.2651989210184654e-09,"('air', 'urban air close to ground')",kilogram
"Iron, ion",2.2118111145274517e-09,"('water', 'surface water')",kilogram
Iron,2.0227408439514075e-09,"('soil', 'agricultural')",kilogram
"Zinc, ion",1.984153552788942e-09,"('water', 'surface water')",kilogram
Lead,1.979240547452073e-09,"('water', 'surface water')",kilogram
Aluminium,1.8699172387126487e-09,"('water', 'ocean')",kilogram
Zinc,1.7122791397230466e-09,"('air', 'urban air close to ground')",kilogram
Antimony,1.69873089403767e-09,"('air', 'low population density, long-term')",kilogram
Zinc,1.609463548550208e-09,"('soil', 'agricultural')",kilogram
Phosphorus,1.4836362409097583e-09,"('soil', 'agricultural')",kilogram
Cobalt,1.347990328246301e-09,"('air', 'low population density, long-term')",kilogram
"Zinc, ion",1.2615351847338965e-09,"('water', 'ground-')",kilogram
Manganese,1.2583056407088375e-09,"('air', 'low population density, long-term')",kilogram
Chromium VI,1.1971201784582185e-09,"('water', 'ground-')",kilogram
Nickel,1.1586736318297214e-09,"('air', 'non-urban air or from high stacks')",kilogram
Lead,9.167702504799646e-10,"('air', 'low population density, long-term')",kilogram
Aluminium,8.213021838624384e-10,"('water',)",kilogram
"Nickel, ion",7.80186908910981e-10,"('water', 'ground-')",kilogram
"Iron, ion",6.460089773286152e-10,"('water',)",kilogram
Zinc,6.003931718228676e-10,"('air', 'low population density, long-term')",kilogram
Zinc,5.757079541243988e-10,"('air',)",kilogram
"Chromium, ion",5.687489343741686e-10,"('water', 'surface water')",kilogram
Chromium,5.455111647366833e-10,"('soil', 'agricultural')",kilogram
Lead,5.437636434508691e-10,"('air', 'urban air close to ground')",kilogram
Manganese,5.420118365602736e-10,"('air', 'urban air close to ground')",kilogram
Manganese,5.34035269218987e-10,"('air', 'non-urban air or from high stacks')",kilogram
Cobalt,5.166565937440582e-10,"('water', 'surface water')",kilogram
Chromium VI,4.1737646818457854e-10,"('air', 'non-urban air or from high stacks')",kilogram
Chromium,4.0301268922691284e-10,"('air', 'urban air close to ground')",kilogram
Manganese,3.621657787473816e-10,"('soil', 'industrial')",kilogram
"Silver, ion",3.417445479951712e-10,"('water', 'ground-, long-term')",kilogram
"Nickel, ion",3.4068087088335026e-10,"('water', 'surface water')",kilogram
Cobalt,3.129347796485194e-10,"('soil', 'agricultural')",kilogram
Iron,2.850718156469806e-10,"('air', 'urban air close to ground')",kilogram
"Chromium, ion",2.5693811820796965e-10,"('water',)",kilogram
Molybdenum,2.4828000878991773e-10,"('air', 'low population density, long-term')",kilogram
Zinc,2.454557195421097e-10,"('soil',)",kilogram
Zinc,2.4349652230438973e-10,"('soil', 'industrial')",kilogram
Lead,2.361271468650781e-10,"('air',)",kilogram
Phosphorus,2.2469017927803883e-10,"('air', 'urban air close to ground')",kilogram
"Silver, ion",2.22996352311519e-10,"('water',)",kilogram
Chromium,2.1835058696272818e-10,"('soil', 'industrial')",kilogram
Antimony,2.1326692826124526e-10,"('air', 'urban air close to ground')",kilogram
Chromium VI,1.7403446362124445e-10,"('air', 'low population density, long-term')",kilogram
Antimony,1.6648150486272962e-10,"('water',)",kilogram
"Zinc, ion",1.438424696301057e-10,"('water',)",kilogram
Nickel,1.4364690915987156e-10,"('air', 'low population density, long-term')",kilogram
"Chromium, ion",1.3494093524988685e-10,"('water', 'ocean')",kilogram
Copper,1.3268119791087675e-10,"('air', 'non-urban air or from high stacks')",kilogram
Iron,1.2704029306497508e-10,"('air',)",kilogram
Chromium,1.2563810035762911e-10,"('air',)",kilogram
Phosphorus,1.197030616537004e-10,"('soil', 'industrial')",kilogram
Molybdenum,1.1946935609622956e-10,"('air', 'urban air close to ground')",kilogram
Uranium,9.981463850062526e-11,"('air', 'urban air close to ground')",kilogram
Copper,8.998732994710119e-11,"('air', 'low population density, long-term')",kilogram
Chromium VI,8.945241560205916e-11,"('soil',)",kilogram
Molybdenum,8.691348325070075e-11,"('air',)",kilogram
Molybdenum,8.364241951778385e-11,"('air', 'non-urban air or from high stacks')",kilogram
"Nickel, ion",8.215954675510322e-11,"('water',)",kilogram
Lead,7.573025906885842e-11,"('water',)",kilogram
Lead,7.397739199065643e-11,"('water', 'ocean')",kilogram
Phosphorus,7.337969961301484e-11,"('water', 'surface water')",kilogram
Tin,7.0294072829369e-11,"('air', 'non-urban air or from high stacks')",kilogram
Lead,6.94958776082382e-11,"('soil', 'agricultural')",kilogram
Manganese,6.435863965069068e-11,"('water',)",kilogram
Copper,6.416091504789975e-11,"('air', 'urban air close to ground')",kilogram
Tin,5.082971945378132e-11,"('air',)",kilogram
Phosphate,5.076828587214046e-11,"('water', 'surface water')",kilogram
Manganese,4.7835058337103426e-11,"('water', 'ocean')",kilogram
Nickel,4.524745230378912e-11,"('soil', 'agricultural')",kilogram
Copper,3.68445180054774e-11,"('air',)",kilogram
Manganese,3.4376818168692927e-11,"('air',)",kilogram
Cobalt,2.919719699428529e-11,"('water',)",kilogram
"Tin, ion",2.874795234672238e-11,"('water', 'surface water')",kilogram
"Silver, ion",2.6900885595201748e-11,"('water', 'surface water')",kilogram
Phosphorus,2.4610410655788402e-11,"('air', 'low population density, long-term')",kilogram
Tin,2.386847229224416e-11,"('air', 'low population density, long-term')",kilogram
Nickel,2.0940025879948434e-11,"('air',)",kilogram
Silver,2.0286643869818183e-11,"('air', 'low population density, long-term')",kilogram
Copper,1.8096627479047576e-11,"('soil', 'agricultural')",kilogram
"Copper, ion",1.7784344541444934e-11,"('water', 'surface water')",kilogram
Chromium VI,1.693309977150078e-11,"('air', 'urban air close to ground')",kilogram
Chromium VI,1.463451015027407e-11,"('water',)",kilogram
Antimony,1.3154120945072035e-11,"('soil',)",kilogram
Aluminium,1.2945354678732884e-11,"('air', 'non-urban air or from high stacks')",kilogram
"Silver, ion",1.2800241223954053e-11,"('water', 'ground-')",kilogram
"Iron, ion",1.2775988536186371e-11,"('water', 'ocean')",kilogram
Phosphorus,1.197287576665915e-11,"('water', 'ocean')",kilogram
Lead,1.1120236275513603e-11,"('water', 'ground-')",kilogram
"Copper, ion",1.0032369261509159e-11,"('water', 'ground-')",kilogram
"Tin, ion",9.88944597630309e-12,"('water',)",kilogram
Lead,8.130671562354403e-12,"('soil', 'industrial')",kilogram
Phosphate,7.545133551633686e-12,"('water', 'ocean')",kilogram
"Copper, ion",7.516567694509052e-12,"('water',)",kilogram
Cobalt,7.495533287147914e-12,"('soil',)",kilogram
Cobalt,6.6626130021890565e-12,"('water', 'ocean')",kilogram
Lead,6.333852384028194e-12,"('soil',)",kilogram
Aluminium,6.272612329904344e-12,"('soil',)",kilogram
Cobalt,5.911664195758702e-12,"('soil', 'industrial')",kilogram
Cobalt,5.8115947821511745e-12,"('air',)",kilogram
Molybdenum,5.503567676041105e-12,"('soil', 'agricultural')",kilogram
Iron,4.980731438675901e-12,"('water', 'ground-')",kilogram
Iron,4.481847074176512e-12,"('air', 'non-urban air or from high stacks')",kilogram
"Chromium, ion",4.159226505470615e-12,"('water', 'ground-')",kilogram
"Nickel, ion",3.512983785785456e-12,"('water', 'ocean')",kilogram
"Tin, ion",3.445255950224048e-12,"('water', 'ground-')",kilogram
Glyphosate,2.9425111670046677e-12,"('soil', 'industrial')",kilogram
Molybdenum,2.890800833202066e-12,"('water', 'ocean')",kilogram
Copper,2.8498560555587538e-12,"('soil',)",kilogram
Molybdenum,2.573808611446527e-12,"('water',)",kilogram
Chromium,2.2577688255063433e-12,"('soil',)",kilogram
Nickel,2.077268944127713e-12,"('soil', 'industrial')",kilogram
Mancozeb,1.9913661039705534e-12,"('soil', 'agricultural')",kilogram
Phosphorus,1.464473316979604e-12,"('air', 'non-urban air or from high stacks')",kilogram
Dichromate,1.2849997118187533e-12,"('water',)",kilogram
"Copper, ion",1.1728857290777246e-12,"('water', 'ocean')",kilogram
Manganese,9.973640093229132e-13,"('soil',)",kilogram
"Silver, ion",9.118982915211948e-13,"('water', 'ocean')",kilogram
Nickel,8.259216673095584e-13,"('soil',)",kilogram
Phosphorus,5.887376718833093e-13,"('water',)",kilogram
Tin,4.3132478933959926e-13,"('air', 'urban air close to ground')",kilogram
Glyphosate,4.161337806968556e-13,"('soil', 'agricultural')",kilogram
Copper,2.5751125839110254e-13,"('soil', 'industrial')",kilogram
Phosphorus,2.1398036485147543e-13,"('water', 'ground-')",kilogram
Glyphosate,1.4366357864545701e-13,"('air', 'non-urban air or from high stacks')",kilogram
Molybdenum,1.398091887550243e-13,"('soil',)",kilogram
Antimony,1.2983056971881132e-13,"('soil', 'agricultural')",kilogram
Tin,1.1830704244645253e-13,"('soil', 'agricultural')",kilogram
"Lithium, ion",8.682524735321391e-14,"('water', 'surface water')",kilogram
Chromium VI,7.73120899694102e-14,"('air',)",kilogram
Lithium,5.966265641105859e-14,"('soil',)",kilogram
Lithium,5.966265641105859e-14,"('water', 'ground-')",kilogram
Uranium,5.543296583577301e-14,"('air', 'non-urban air or from high stacks')",kilogram
Chlorpyrifos methyl,4.9895092748134794e-14,"('soil', 'agricultural')",kilogram
Silver,4.119207934593243e-14,"('air', 'urban air close to ground')",kilogram
Sodium dichromate,3.204066129842806e-14,"('air', 'urban air close to ground')",kilogram
Dichromate,1.9545852474177078e-14,"('water', 'surface water')",kilogram
Monocrotophos,1.4894837795784473e-14,"('soil', 'agricultural')",kilogram
Chlorpyrifos,7.370602001926808e-15,"('soil', 'agricultural')",kilogram
Silver,6.64787728158359e-15,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus,6.56526434452501e-15,"('air',)",kilogram
Acephate,5.295228745731831e-15,"('soil', 'agricultural')",kilogram
Silver,4.741639054468293e-15,"('soil',)",kilogram
Silver,3.0671079344225114e-15,"('air',)",kilogram
Uranium,2.6651643736430974e-15,"('air',)",kilogram
Ethephon,2.579216538543483e-15,"('soil', 'agricultural')",kilogram
Malathion,1.5614737448856844e-15,"('soil', 'agricultural')",kilogram
Sulfosate,1.5488427895755582e-15,"('soil', 'agricultural')",kilogram
Chlorpyrifos,1.0441572949752523e-15,"('air', 'non-urban air or from high stacks')",kilogram
Dicrotophos,7.480980995211916e-16,"('soil', 'agricultural')",kilogram
Acephate,4.3695804332064225e-16,"('air', 'non-urban air or from high stacks')",kilogram
Profenofos,3.7705098151458144e-16,"('soil', 'agricultural')",kilogram
Glufosinate,3.4013253121486453e-16,"('soil', 'agricultural')",kilogram
Tribufos,2.635859385170333e-16,"('soil', 'agricultural')",kilogram
Lithium,1.05277152610067e-16,"('air', 'urban air close to ground')",kilogram
Glyphosate,9.979468951953588e-17,"('water', 'ground-')",kilogram
Parathion,6.818145465040826e-17,"('soil', 'agricultural')",kilogram
Phosphate,6.326877065123823e-17,"('water',)",kilogram
Phosphine,4.9662990741923657e-17,"('air', 'urban air close to ground')",kilogram
Methyl parathion,4.7197457801468535e-17,"('air', 'non-urban air or from high stacks')",kilogram
Phosphorus trichloride,1.0540579151431348e-17,"('air', 'urban air close to ground')",kilogram
Dimethoate,3.151744140102222e-18,"('soil', 'agricultural')",kilogram
Cu-HDO,2.414383365178975e-18,"('water',)",kilogram
Chromium IV,2.222902060372349e-18,"('air', 'urban air close to ground')",kilogram
Terbufos,2.2107404287152607e-18,"('soil', 'agricultural')",kilogram
Methyl parathion,2.0230855718749635e-18,"('soil', 'agricultural')",kilogram
Zinc,7.663482961634173e-19,"('air', 'lower stratosphere + upper troposphere')",kilogram
Tebupirimphos,7.322364263521648e-19,"('soil', 'agricultural')",kilogram
Glyphosate,6.510279256507312e-19,"('water', 'surface water')",kilogram
Oxydemeton-methyl,2.869595130710178e-19,"('soil', 'agricultural')",kilogram
Copper,1.4802628374592353e-19,"('air', 'lower stratosphere + upper troposphere')",kilogram
Chromium,1.1059789702391744e-19,"('air', 'lower stratosphere + upper troposphere')",kilogram
Nickel,4.488264183973151e-20,"('air', 'lower stratosphere + upper troposphere')",kilogram
Lead,1.676754265451773e-20,"('air', 'lower stratosphere + upper troposphere')",kilogram
Phosphoric acid,4.278421809722088e-21,"('air', 'urban air close to ground')",kilogram
Silver,1.6779496916341242e-21,"('soil', 'agricultural')",kilogram
Ethephon,8.501390011743412e-25,"('air', 'non-urban air or from high stacks')",kilogram
Ethephon,5.610799596217009e-26,"('water', 'ground-')",kilogram
Ethephon,3.400262066966119e-28,"('water', 'surface water')",kilogram
