Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total
Aluminium,"('ecoinvent-3.4-biosphere', '7880e65c-0321-4295-ba55-3186ad36e489')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '46e63323-cffd-4c46-829b-5f006b50fa9b')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '39555a26-d28b-425f-993f-e8770ab7d9cf')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '765546a9-b056-4d27-ad14-2f016511bdcb')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', 'ff65658c-2d39-44a2-b23e-7ec3c644f064')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '2baa4381-b781-4f5e-90de-508b0fa3fd1f')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', 'e0401210-0377-4670-84af-12247ca20bed')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '6f0b8b7c-3888-4174-b7e3-916d42d678ee')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
Aluminium,"('ecoinvent-3.4-biosphere', '9c3bd678-1b2f-4b95-a245-d5c8a3fe326b')",Al,8.645044227994095e-06,8.645044227994095e-06,1.0,6.422536676269254e-14,6.422536676269254e-14
