Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[1.3289052009582949e-06, 1.1511768515340385e-08, 1.0626568080295657e-08, 2.7726712995733672e-09, 1.1557326859325849e-09, 4.978287916631244e-10, 4.905024751963496e-10, 3.3264323355054624e-10, 5.911235176862889e-11, 4.39357169821555e-11, 3.157458293057896e-11, 9.161122884256023e-13]",1.3564284548038166e-06
"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.0029420671699545184, 6.472696683137066e-05, 1.8856662959297306e-05, 1.0870904135460335e-05, 4.072142231361834e-06, 3.051015405206563e-06, 1.2867534804984585e-06, 1.0259613739636414e-06, 6.362433312557507e-07, 2.7944981130169215e-07, 4.404685047128439e-09, 2.134267663212834e-09]",0.003046879808466945
"('ecoinvent-3.4-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[6.182458538363349e-08, 6.972520535563449e-09, 6.974254726438613e-10, 2.4315769605358727e-10, 1.0139004939433326e-10, 5.211371896053094e-11, 9.864976599712964e-12, 8.525850903206542e-12, 4.50404122673244e-14]",6.990962872416443e-08
"('ecoinvent-3.4-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[6.182458538363349e-08, 6.972520535563449e-09, 6.974254726438613e-10, 2.4315769605358727e-10, 1.0139004939433326e-10, 5.211371896053094e-11, 9.864976599712964e-12, 8.525850903206542e-12, 4.50404122673244e-14]",6.990962872416443e-08
"('ecoinvent-3.4-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Nickel,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[8.047037326523953e-07, 4.1161444661958496e-07, 5.1030005150251594e-08, 1.607397664614131e-08, 7.43886149652537e-09, 7.379424568075181e-10, 2.934090915915875e-10, 0.0]",1.2918923741132978e-06
"('ecoinvent-3.4-biosphere', '0822b867-9dca-4d5a-93c3-319d39b592cd')",Chlorpyrifos,"['P', 'P']","[4.451358159203388e-15, 6.594604680301249e-16]",5.110818627233513e-15
"('ecoinvent-3.4-biosphere', '097cecfb-bed2-43a0-81b7-c153d0bb14b9')",Phosphine,['P'],[5.4955039002510323e-17],5.4955039002510323e-17
"('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')","Lithium, ion","['Li', 'Li']","[0.0043753164577912665, 3.427416478330545e-09]",0.004375319885207745
"('ecoinvent-3.4-biosphere', '0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191')",Copper,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[1.015244249781796e-06, 6.885610498138122e-07, 4.909436531418457e-07, 2.8192528080221205e-07, 1.3847080783198375e-07, 2.180630302794069e-08, 1.9702376385039705e-09, 0.0]",2.6389215820380944e-06
"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.0029420671699545184, 6.472696683137066e-05, 1.8856662959297306e-05, 1.0870904135460335e-05, 4.072142231361834e-06, 3.051015405206563e-06, 1.2867534804984585e-06, 1.0259613739636414e-06, 6.362433312557507e-07, 2.7944981130169215e-07, 4.404685047128439e-09, 2.134267663212834e-09]",0.003046879808466945
