Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.4-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[2.326597196399566e-06, 2.0154637828154506e-08, 1.8604842058294534e-08, 4.854353276128561e-09, 2.023440174267869e-09, 8.715915337304195e-10, 8.587646982350143e-10, 5.823869326796898e-10, 1.0349300944010233e-10, 7.692195845657287e-11, 5.528019652106495e-11, 1.6038915401318359e-12]",2.374784511957015e-06
"('ecoinvent-3.4-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.002854814827875201, 6.282392979335272e-05, 1.8302335288759967e-05, 1.055134083800038e-05, 3.952439185458092e-06, 2.96132926678785e-06, 1.2489289217381185e-06, 9.958029053178691e-07, 6.175407759652963e-07, 2.7123531633931027e-07, 4.275213138911975e-09, 2.0715361802896423e-09]",0.0029565460569162395
"('ecoinvent-3.4-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[1.0656025658646626e-07, 1.201778938816943e-08, 1.20207809145233e-09, 4.191050039337763e-10, 1.7475519593248967e-10, 8.982285509183197e-11, 1.7003191496075545e-11, 1.4695045098622186e-11, 7.763447190702404e-14]",1.204955829921127e-07
"('ecoinvent-3.4-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[1.0656025658646626e-07, 1.201778938816943e-08, 1.20207809145233e-09, 4.191050039337763e-10, 1.7475519593248967e-10, 8.982285509183197e-11, 1.7003191496075545e-11, 1.4695045098622186e-11, 7.763447190702404e-14]",1.204955829921127e-07
"('ecoinvent-3.4-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Nickel,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[4.2895360120896623e-07, 2.1941439385997538e-07, 2.7201966136325268e-08, 8.568365318271884e-09, 3.965344351525402e-09, 3.933660295503934e-10, 1.564040681510865e-10, 0.0]",6.886534409727656e-07
"('ecoinvent-3.4-biosphere', '0822b867-9dca-4d5a-93c3-319d39b592cd')",Chlorpyrifos,"['P', 'P']","[2.1314634928516635e-14, 2.441938535181642e-15]",2.3756573463698277e-14
"('ecoinvent-3.4-biosphere', '097cecfb-bed2-43a0-81b7-c153d0bb14b9')",Phosphine,['P'],[2.7907868973503876e-16],2.7907868973503876e-16
"('ecoinvent-3.4-biosphere', '09cf7c11-0269-4fc1-a5f3-47121a7882d3')","Lithium, ion","['Li', 'Li']","[0.0002297628907873073, 1.8040515007736357e-10]",0.00022976307119245738
"('ecoinvent-3.4-biosphere', '0a5e8a67-f9ae-48b3-bfa7-e9d37c30a191')",Copper,"['Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu', 'Cu']","[1.8181512950886207e-07, 1.2331104131884216e-07, 8.792070211875519e-08, 5.0488631024022617e-08, 2.479806735943393e-08, 3.905187521504617e-09, 3.528464605540043e-10, 0.0]",4.7259160531197454e-07
"('ecoinvent-3.4-biosphere', '0ace7678-a181-48e8-8728-d912a8b56c57')",Aluminium,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.002854814827875201, 6.282392979335272e-05, 1.8302335288759967e-05, 1.055134083800038e-05, 3.952439185458092e-06, 2.96132926678785e-06, 1.2489289217381185e-06, 9.958029053178691e-07, 6.175407759652963e-07, 2.7123531633931027e-07, 4.275213138911975e-09, 2.0715361802896423e-09]",0.0029565460569162395
"('ecoinvent-3.4-biosphere', '0af26a55-d357-469f-abad-8ced785cb4fb')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[2.326597196399566e-06, 2.0154637828154506e-08, 1.8604842058294534e-08, 4.854353276128561e-09, 2.023440174267869e-09, 8.715915337304195e-10, 8.587646982350143e-10, 5.823869326796898e-10, 1.0349300944010233e-10, 7.692195845657287e-11, 5.528019652106495e-11, 1.6038915401318359e-12]",2.374784511957015e-06
"('ecoinvent-3.4-biosphere', '0ba582f8-3360-441a-a93c-ea15e87f7b0c')",Ethephon,"['P', 'P', 'P', 'P']","[7.849088148798345e-15, 0.0, 0.0, 0.0]",7.849088148798345e-15
"('ecoinvent-3.4-biosphere', '0dc0bbb0-1141-4dff-b6a2-8bd5368e14af')",Iron,"['Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe', 'Fe']","[2.636004226501529e-08, 1.1548380665873847e-08, 7.844299112519021e-09, 5.891353770593309e-09, 8.302888783641526e-10, 3.700123319285511e-10, 1.4506574776931696e-11, 1.3053781143025709e-11]",5.2871937380214126e-08
"('ecoinvent-3.4-biosphere', '0ed1b1a1-e56d-4860-bac7-d76a39bde930')",Silver,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[0.0005374377038359358, 1.090959804185531e-06, 1.7542899012966973e-07, 1.2567592896051704e-07, 8.05125083910773e-08, 2.7586948214132267e-13]",0.000538910281343472
"('ecoinvent-3.4-biosphere', '0ff15165-d761-48c9-9814-2d1dcdd56857')",Lead,"['Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb', 'Pb']","[1.748698870291349e-07, 2.8290478789863104e-08, 2.3587519393113994e-08, 1.0925572259009319e-08, 6.4802800861693176e-09, 2.8140350827465295e-09, 9.025115908207318e-10, 8.816220130792449e-10, 8.282137352738348e-10, 1.3252404996938971e-10, 9.689623178568502e-11, 7.548311804047473e-11, 0.0]",2.498850233790065e-07
"('ecoinvent-3.4-biosphere', '10cbd2f7-c41b-4bb4-b636-d8fc15cf0282')",Manganese,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[2.326597196399566e-06, 2.0154637828154506e-08, 1.8604842058294534e-08, 4.854353276128561e-09, 2.023440174267869e-09, 8.715915337304195e-10, 8.587646982350143e-10, 5.823869326796898e-10, 1.0349300944010233e-10, 7.692195845657287e-11, 5.528019652106495e-11, 1.6038915401318359e-12]",2.374784511957015e-06
"('ecoinvent-3.4-biosphere', '12051b95-831a-49c0-9a70-fbc0e8fb9af9')",Cobalt,"['Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co', 'Co']","[0.0032139468712757656, 1.567231007656641e-05, 9.021127132026937e-06, 6.222094303905056e-06, 3.52625880309176e-06, 1.3515408512910189e-06, 8.186173494406698e-07, 7.637794857838694e-08, 1.9607777471330502e-08, 1.7428996934558234e-08, 1.546453310258362e-08, 1.5202781364881753e-08]",0.003250702901829539
"('ecoinvent-3.4-biosphere', '16316600-f12a-410b-8726-3faee64de60a')",Silver,"['Ag', 'Ag', 'Ag', 'Ag', 'Ag', 'Ag']","[0.0005374377038359358, 1.090959804185531e-06, 1.7542899012966973e-07, 1.2567592896051704e-07, 8.05125083910773e-08, 2.7586948214132267e-13]",0.000538910281343472
