Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source,Mineral,f_mineral_me,Delta_g_Mineral,Mineral_Fraction,CF_Mineral,xi_Mineral,xf_Mineral,xr_Mineral,ERC,CF2
Iron,"('ecoinvent-3.12-biosphere', '8ce3ff02-7a1e-48e3-881e-3248b944f28a')",Fe,8.88930996281051e-06,8.88930996281051e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,valero_fallback,Hematite,1.0,8.88930996281051e-06,1.0,9.645225823667623e-15,0.73,0.7299911106900372,0.95,2.5889836273592078e-05,2.5889836273592078e-05
Uranium,"('ecoinvent-3.12-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,3.4568653806650014e-06,3.4568653806650014e-06,1.0,9.154438878304105e-12,9.154438878304105e-12,valero_fallback,Uraninite,0.954954954954955,3.3011507238782896e-06,0.954954954954955,8.742076766668785e-12,0.00318,0.003176698849276122,0.75,0.03278322411871528,0.03278322411871528
Aluminium,"('ecoinvent-3.12-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,2.995361055934877e-06,2.995361055934877e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,valero_fallback,Bauxite (Gibbsite),2.8930041152263373,8.665591861408307e-06,2.8930041152263373,1.8580425034639034e-13,0.703,0.7029913344081385,0.95,0.0009891933008040795,0.0009891933008040795
Chromium,"('ecoinvent-3.12-biosphere', 'e189e2d4-3d3f-4ada-b302-91611784311f')",Cr,8.702197656417088e-07,8.702197656417088e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,valero_fallback,Chromite,2.152027027027027,1.872736455114083e-06,2.152027027027027,6.73124206275851e-13,0.637,0.6369981272635449,0.81,8.738159023880133e-07,8.738159023880133e-07
Manganese,"('ecoinvent-3.12-biosphere', 'c2586875-bb56-4b1e-84c5-5ff255a1108b')",Mn,6.788420339643441e-07,6.788420339643441e-07,1.0,6.485008032108113e-14,6.485008032108113e-14,valero_fallback,Pyrolusite,1.5822784810126582,1.0741171423486457e-06,1.5822784810126582,1.0261088658398912e-13,0.5,0.49999892588285766,0.6709603911825677,1.0916182195444198e-06,1.0916182195444198e-06
Nickel,"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Ni,6.662976750514459e-07,6.662976750514459e-07,1.0,9.066741688482605e-14,9.066741688482605e-14,valero_fallback,Pentlandite(sulphides) / Garnierite(laterites),2.9342028985507245,1.9550525694335614e-06,2.9342028985507245,2.660365974275635e-13,0.0442,0.04419804494743057,0.0803628113054402,0.00012617097212829886,0.00012617097212829886
Zinc,"('ecoinvent-3.12-biosphere', 'be73218b-18af-492e-96e6-addd309d1e32')",Zn,2.046406866910508e-07,2.046406866910508e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13,valero_fallback,Sphalerite,1.4901477832512315,3.0494486563567916e-07,1.4901477832512315,1.614810081565375e-13,0.0605,0.06049969505513436,0.789865871833085,2.486813391523518e-06,2.486813391523518e-06
Copper,"('ecoinvent-3.12-biosphere', 'a9ac40a0-9bea-4c48-afa7-66aa6eb90624')",Cu,1.591856531303099e-07,1.591856531303099e-07,1.0,1.231243333335009e-14,1.231243333335009e-14,valero_fallback,Chalcopyrite,2.8793103448275863,4.5834489780623713e-07,2.8793103448275863,3.545131666671491e-14,0.0167,0.016699541655102193,0.8086409056778144,0.0002181392430993942,0.0002181392430993942
Molybdenum,"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Mo,-1.393802041276281e-07,-1.393802041276281e-07,1.0,1.6532043483883647e-13,1.6532043483883647e-13,valero_fallback,Molybdenite,1.6700000000000004,-2.32764940893139e-07,1.6700000000000004,2.7608512618085697e-13,0.000501,0.0005012327649408932,0.9176761103880936,-0.007621880771526609,-0.007621880771526609
Phosphorus,"('ecoinvent-3.12-biosphere', '483ae3c5-4eb0-46e4-b811-a72ad391716b')",P,8.354255653526883e-08,8.354255653526883e-08,1.0,1.6973366253890836e-14,1.6973366253890836e-14,valero_fallback,Apatite,0.3532544378698225,2.951177884707426e-08,0.3532544378698225,5.995916954776823e-15,0.0059700000000000005,0.005969970488221153,0.9,2.4715744502154364e-07,2.4715744502154364e-07
