Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_source
Iron,"('ecoinvent-3.12-biosphere', '8ce3ff02-7a1e-48e3-881e-3248b944f28a')",Fe,8.88930996281051e-06,8.88930996281051e-06,1.0,9.645225823667623e-15,9.645225823667623e-15,valero_fallback
Uranium,"('ecoinvent-3.12-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,3.4568653806650014e-06,3.4568653806650014e-06,1.0,9.154438878304105e-12,9.154438878304105e-12,valero_fallback
Aluminium,"('ecoinvent-3.12-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,2.995361055934877e-06,2.995361055934877e-06,1.0,6.422536676269254e-14,6.422536676269254e-14,valero_fallback
Chromium,"('ecoinvent-3.12-biosphere', 'e189e2d4-3d3f-4ada-b302-91611784311f')",Cr,8.702197656417088e-07,8.702197656417088e-07,1.0,3.1278613038877847e-13,3.1278613038877847e-13,valero_fallback
Manganese,"('ecoinvent-3.12-biosphere', 'c2586875-bb56-4b1e-84c5-5ff255a1108b')",Mn,6.788420339643441e-07,6.788420339643441e-07,1.0,6.485008032108113e-14,6.485008032108113e-14,valero_fallback
Nickel,"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Ni,6.662976750514459e-07,6.662976750514459e-07,1.0,9.066741688482605e-14,9.066741688482605e-14,valero_fallback
Zinc,"('ecoinvent-3.12-biosphere', 'be73218b-18af-492e-96e6-addd309d1e32')",Zn,2.046406866910508e-07,2.046406866910508e-07,1.0,1.0836576745711442e-13,1.0836576745711442e-13,valero_fallback
Copper,"('ecoinvent-3.12-biosphere', 'a9ac40a0-9bea-4c48-afa7-66aa6eb90624')",Cu,1.591856531303099e-07,1.591856531303099e-07,1.0,1.231243333335009e-14,1.231243333335009e-14,valero_fallback
Molybdenum,"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Mo,-1.393802041276281e-07,-1.393802041276281e-07,1.0,1.6532043483883647e-13,1.6532043483883647e-13,valero_fallback
Phosphorus,"('ecoinvent-3.12-biosphere', '483ae3c5-4eb0-46e4-b811-a72ad391716b')",P,8.354255653526883e-08,8.354255653526883e-08,1.0,1.6973366253890836e-14,1.6973366253890836e-14,valero_fallback
Lead,"('ecoinvent-3.12-biosphere', 'fbcb9c7a-eea7-4694-ba6c-568e01d28883')",Pb,4.918421075525843e-08,4.918421075525843e-08,1.0,1.1855254708054448e-13,1.1855254708054448e-13,valero_fallback
Cobalt,"('ecoinvent-3.12-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Co,1.3723434913740958e-08,1.3723434913740958e-08,1.0,1.9447495148453946e-12,1.9447495148453946e-12,valero_fallback
Tin,"('ecoinvent-3.12-biosphere', '53d5ef26-66d8-4536-afa2-2f6b114189ba')",Sn,3.3907057258682134e-09,3.3907057258682134e-09,1.0,1.3268575464212294e-13,1.3268575464212294e-13,valero_fallback
Antimony,"('ecoinvent-3.12-biosphere', '47262180-8308-5d4c-9332-c77617e032ef')",Sb,2.0904043642905446e-09,2.0904043642905446e-09,1.0,2.1834077210692158e-11,2.1834077210692158e-11,valero_fallback
Silver,"('ecoinvent-3.12-biosphere', '361a64cb-ab76-4a72-9ea1-c07d6a20c124')",Ag,7.850704910221061e-10,7.850704910221061e-10,1.0,1.5701960660375504e-13,1.5701960660375504e-13,valero_fallback
Niobium,"('ecoinvent-3.12-biosphere', '8de8befc-efa2-5d07-a58b-b29ea97a3f41')",Nb,-5.312467972130872e-10,-5.312467972130872e-10,1.0,1.6298072211886446e-11,1.6298072211886446e-11,valero_fallback
Lithium,"('ecoinvent-3.12-biosphere', '7d2c1cdd-a64a-5936-a577-5b82db0c0d1b')",Li,-9.10516561113431e-12,-9.10516561113431e-12,1.0,1.5184934529957733e-13,1.5184934529957733e-13,valero_fallback
