Flow_Key,Flow_Name,Metals,CF2_contributions,Total_CF2
"('ecoinvent-3.12-biosphere', '009a49e8-09a7-4432-9cb9-f2dd18e8f922')",Manganese II,"['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn']","[4.368327605780774e-06, 2.92085394449423e-08, 1.1200492465317252e-08, 2.176452065164836e-09, 8.769964750206656e-10, 5.529563888464538e-10, 4.5631368335235096e-10, 3.276202740667731e-10, 2.6719024555521577e-10, 8.853205538495002e-11, 2.1823955305155734e-11, 1.3894856789427909e-11]",4.4135184176905194e-06
"('ecoinvent-3.12-biosphere', '01056d4b-f9b0-4dfc-b8d9-8407c8376efb')",Aluminium III,"['Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al']","[0.0023183730268120472, 3.6076957316809366e-05, 7.931173862159367e-06, 4.4718795267014474e-06, 2.8179677556202233e-06, 2.4045334718863272e-06, 1.8473233110460126e-06, 1.1898956729826825e-06, 1.0121206767511444e-06, 7.499307468922807e-08, 3.910458894483003e-08, 3.0882063383452275e-09]",0.0023762420642759767
"('ecoinvent-3.12-biosphere', '01285299-c683-4e15-b654-201987a7a738')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[1.6213910085281205e-07, 3.4487908297918737e-09, 3.127273421191691e-10, 1.7592353752591147e-10, 7.571341909580967e-11, 1.1671452096342727e-11, 2.6590215229896924e-12, 4.592365035020119e-13, 1.6344099348860866e-16]",1.6616704585490867e-07
"('ecoinvent-3.12-biosphere', '02156abf-3839-5778-897a-4c06444701d4')",Zineb,['Zn'],[2.851804163096747e-13],2.851804163096747e-13
"('ecoinvent-3.12-biosphere', '03b279a7-4626-4703-a451-d0650599dbd9')",Chromium VI,"['Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr']","[1.6213910085281205e-07, 3.4487908297918737e-09, 3.127273421191691e-10, 1.7592353752591147e-10, 7.571341909580967e-11, 1.1671452096342727e-11, 2.6590215229896924e-12, 4.592365035020119e-13, 1.6344099348860866e-16]",1.6616704585490867e-07
"('ecoinvent-3.12-biosphere', '04b5664e-7ad4-5b04-a859-ba1ae903d310')",Mancozeb,"['Mn', 'Zn', 'Mn', 'Zn', 'Mn', 'Zn', 'Mn', 'Zn', 'Mn', 'Zn', 'Mn', 'Zn']","[9.401459407602422e-13, 1.4127811046544678e-11, 3.0185995519598294e-13, 4.535774438284096e-12, 1.1607531737955208e-14, 1.76062088003384e-13, 1.6673802496511103e-15, 2.6108066281869285e-14, 5.130400768157293e-16, 8.03325116365204e-15, 0.0, 0.0]",2.0129582738298324e-11
"('ecoinvent-3.12-biosphere', '0545c382-2312-43b6-9ec3-63dbb1438565')",Nickel II,"['Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni', 'Ni']","[8.610646992302025e-05, 1.9371369374595667e-07, 1.8619807852443704e-07, 1.1735799150306382e-07, 2.4810880342319532e-08, 2.3980323853106783e-08, 1.441646077445021e-08, 1.1799758986064122e-08, 5.369703836523154e-09, -1.312055482791985e-09, 9.419728361492876e-10, 4.713221329817012e-10, 1.1385026326299324e-11, 0.0]",8.668422943909884e-05
"('ecoinvent-3.12-biosphere', '05651af0-21fb-5661-992e-0b1f415bd437')",Terbufos,['P'],[1.395393448675193e-16],1.395393448675193e-16
"('ecoinvent-3.12-biosphere', '06d88459-5b00-576e-9c35-d0f24f5cc889')",Ethoprop,['P'],[7.430470114195797e-15],7.430470114195797e-15
"('ecoinvent-3.12-biosphere', '06f4f268-0e1c-51d3-ae8d-759808afab1a')",Phorate,['P'],[1.2663195546728503e-14],1.2663195546728503e-14
