Flow_Name,Flow_Key,Metal,Delta_g_Total,Delta_g_Metal,Metal_Fraction,CF_Metal,CF_Total,grade_fraction,grade_source,Flow_Type
Iron,"('ecoinvent-3.12-biosphere', '8ce3ff02-7a1e-48e3-881e-3248b944f28a')",Fe,2.71102298662885e-06,2.71102298662885e-06,1.0,7.041014851277364e-15,7.041014851277364e-15,0.73,valero_fallback,Natural_Resource
Chromium,"('ecoinvent-3.12-biosphere', 'e189e2d4-3d3f-4ada-b302-91611784311f')",Cr,3.8549810643994183e-07,3.8549810643994183e-07,1.0,9.258469459507842e-14,9.258469459507842e-14,0.296,valero_fallback,Natural_Resource
Aluminium,"('ecoinvent-3.12-biosphere', 'a45cd247-3532-4e27-bddc-b519fdb5e08f')",Al,1.529048412001665e-07,1.529048412001665e-07,1.0,1.5606764123334286e-14,1.5606764123334286e-14,0.243,valero_fallback,Natural_Resource
Manganese,"('ecoinvent-3.12-biosphere', 'c2586875-bb56-4b1e-84c5-5ff255a1108b')",Mn,9.892246220786429e-08,9.892246220786429e-08,1.0,2.0492625381461636e-14,2.0492625381461636e-14,0.316,valero_fallback,Natural_Resource
Uranium,"('ecoinvent-3.12-biosphere', '2ba5e39b-adb6-4767-a51d-90c1cf32fe98')",U,2.2849915937457704e-08,2.2849915937457704e-08,1.0,3.048428146475267e-14,3.048428146475267e-14,0.00333,valero_fallback,Natural_Resource
Nickel,"('ecoinvent-3.12-biosphere', '974213ef-1ba0-40e5-bc7b-52ef099e9e09')",Ni,8.399060204325894e-09,8.399060204325894e-09,1.0,1.3600112532723908e-15,1.3600112532723908e-15,0.015,valero_fallback,Natural_Resource
Zinc,"('ecoinvent-3.12-biosphere', 'be73218b-18af-492e-96e6-addd309d1e32')",Zn,2.283110465144026e-09,2.283110465144026e-09,1.0,4.399650158758845e-15,4.399650158758845e-15,0.0406,valero_fallback,Natural_Resource
Copper,"('ecoinvent-3.12-biosphere', 'a9ac40a0-9bea-4c48-afa7-66aa6eb90624')",Cu,3.7518298973833565e-10,3.7518298973833565e-10,1.0,7.141211333343051e-17,7.141211333343051e-17,0.0058,valero_fallback,Natural_Resource
Lead,"('ecoinvent-3.12-biosphere', 'fbcb9c7a-eea7-4694-ba6c-568e01d28883')",Pb,2.7983027140700007e-10,2.7983027140700007e-10,1.0,2.430327215151162e-15,2.430327215151162e-15,0.0205,valero_fallback,Natural_Resource
Phosphorus,"('ecoinvent-3.12-biosphere', '483ae3c5-4eb0-46e4-b811-a72ad391716b')",P,1.2201464291061238e-10,1.2201464291061238e-10,1.0,2.868498896907551e-16,2.868498896907551e-16,0.0169,valero_fallback,Natural_Resource
Antimony,"('ecoinvent-3.12-biosphere', '47262180-8308-5d4c-9332-c77617e032ef')",Sb,2.613614987173268e-11,2.613614987173268e-11,1.0,8.253281185641636e-13,8.253281185641636e-13,0.0378,valero_fallback,Natural_Resource
Cobalt,"('ecoinvent-3.12-biosphere', 'd0779a5e-6969-4144-954e-ceb81fb83f15')",Co,5.117178344570134e-12,5.117178344570134e-12,1.0,2.1392244663299344e-15,2.1392244663299344e-15,0.0011,valero_fallback,Natural_Resource
Tin,"('ecoinvent-3.12-biosphere', '53d5ef26-66d8-4536-afa2-2f6b114189ba')",Sn,5.099065048590283e-12,5.099065048590283e-12,1.0,6.368916222821901e-16,6.368916222821901e-16,0.0048,valero_fallback,Natural_Resource
Silver,"('ecoinvent-3.12-biosphere', '361a64cb-ab76-4a72-9ea1-c07d6a20c124')",Ag,-1.850466066202032e-16,-1.850466066202032e-16,1.0,5.841129365659687e-19,5.841129365659687e-19,3.72e-06,valero_fallback,Natural_Resource
Lithium,"('ecoinvent-3.12-biosphere', '7d2c1cdd-a64a-5936-a577-5b82db0c0d1b')",Li,-9.556463851046207e-14,-9.556463851046207e-14,1.0,4.55548035898732e-15,4.55548035898732e-15,0.03,valero_fallback,Natural_Resource
Niobium,"('ecoinvent-3.12-biosphere', '8de8befc-efa2-5d07-a58b-b29ea97a3f41')",Nb,-1.4719748717550632e-12,-1.4719748717550632e-12,1.0,1.792787943307509e-13,1.792787943307509e-13,0.011,valero_fallback,Natural_Resource
Molybdenum,"('ecoinvent-3.12-biosphere', 'e5a3dff5-72dc-5287-893c-597dd4a19566')",Mo,-9.202789980940084e-12,-9.202789980940084e-12,1.0,4.9596130451650936e-17,4.9596130451650936e-17,0.0003,valero_fallback,Natural_Resource
